項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,361,-,-,51,-,52,-,51,-,52,-,54,-,51,-,50,-
0,0,0,0,0,世帯人員,3.39,-,-,3.08,-,3.02,-,3.3,-,3.85,-,3.37,-,3.53,-,3.53,-
0,0,0,0,0,有業人員,1.68,-,-,1.62,-,1.65,-,1.55,-,1.62,-,1.62,-,1.86,-,1.87,-
0,0,0,0,0,世帯主平均年齢,48.7,-,-,53.4,-,50.4,-,47.1,-,47.3,-,48.6,-,47,-,47,-
1,0,0,0,0,受取,1074522,-,0.9,576409,-,773149,-,945681,-,1025310,-,1072292,-,1414257,-,1700318,-
1,1,0,0,0,実収入,553050,100,4.6,166051,100,419232,100,474955,100,507879,100,582884,100,718059,100,991996,100
1,2,0,0,0,経常収入,529882,95.8,1.9,164964,99.3,312970,74.7,450784,94.9,499018,98.3,572096,98.1,713268,99.3,985691,99.4
1,3,0,0,0,勤め先収入,499354,90.3,3,82677,49.8,274168,65.4,396274,83.4,482186,94.9,569605,97.7,702921,97.9,975835,98.4
1,4,0,0,0,世帯主収入,438760,79.3,3.8,76161,45.9,256555,61.2,362975,76.4,448207,88.3,519778,89.2,621382,86.5,776673,78.3
1,6,0,0,0,うち男,410308,74.2,0.3,41919,25.2,209276,49.9,328539,69.2,429801,84.6,498403,85.5,602214,83.9,752089,75.8
1,5,0,0,0,定期収入,421163,76.2,2.4,76161,45.9,254390,60.7,362036,76.2,440666,86.8,497787,85.4,596970,83.1,711391,71.7
1,5,0,0,0,臨時収入,6511,1.2,-3.6,-,-,2165,0.5,938,0.2,2409,0.5,13923,2.4,15651,2.2,10335,1
1,5,0,0,0,賞与,11086,2,126.5,-,-,-,-,-,-,5132,1,8068,1.4,8762,1.2,54947,5.5
1,4,0,0,0,世帯主の配偶者の収入,54228,9.8,6.6,1492,0.9,11641,2.8,29603,6.2,29887,5.9,49826,8.5,71539,10,183495,18.5
1,6,0,0,0,うち女,53327,9.6,8.7,1492,0.9,11641,2.8,29603,6.2,29887,5.9,43531,7.5,71539,10,183495,18.5
1,4,0,0,0,他の世帯員収入,6367,1.2,-42.9,5024,3,5972,1.4,3696,0.8,4092,0.8,-,-,10000,1.4,15667,1.6
1,3,0,0,0,事業・内職収入,1758,0.3,-36,2260,1.4,2479,0.6,4874,1,992,0.2,132,0,1543,0.2,102,0
1,4,0,0,0,家賃収入,295,0.1,-85.6,697,0.4,-,-,872,0.2,-,-,-,-,514,0.1,-,-
1,4,0,0,0,他の事業収入,379,0.1,166.9,-,-,1621,0.4,-,-,-,-,-,-,1029,0.1,-,-
1,4,0,0,0,内職収入,1084,0.2,96.7,1563,0.9,858,0.2,4002,0.8,992,0.2,132,0,-,-,102,0
1,3,0,0,0,他の経常収入,28771,5.2,-11.5,80027,48.2,36323,8.7,49636,10.5,15840,3.1,2360,0.4,8803,1.2,9754,1
1,4,0,0,0,財産収入,277,0.1,326.2,-,-,109,0,-,-,-,-,991,0.2,1,0,830,0.1
