項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,755,-,-,107,-,107,-,112,-,113,-,109,-,102,-,105,-
0,世帯人員,2.98,-,-,2.6,-,2.7,-,3.02,-,3.1,-,2.98,-,3.23,-,3.24,-
0,有業人員,1.3,-,-,1.03,-,1.25,-,1.29,-,1.33,-,1.35,-,1.34,-,1.5,-
0,世帯主平均年齢,59.3,-,-,64.3,-,64.6,-,60.9,-,55.4,-,57.6,-,55.4,-,56.9,-
0,消費支出,305922,100,-4,104986,100,169782,100,218313,100,262411,100,319105,100,396390,100,667577,100
2,基礎的支出,165451,54.1,-5.1,76318,72.7,115693,68.1,136962,62.7,152323,58,164018,51.4,200040,50.5,311597,46.7
3,選択的支出,140470,45.9,-2.6,28668,27.3,54090,31.9,81351,37.3,110088,42,155087,48.6,196350,49.5,355980,53.3
1,食料,89287,29.2,6,48827,46.5,69508,40.9,76053,34.8,81927,31.2,96107,30.1,113628,28.7,138504,20.7
2,基礎的支出,67961,22.2,3.9,42410,40.4,56932,33.5,62707,28.7,64619,24.6,72648,22.8,81774,20.6,94369,14.1
3,選択的支出,21326,7,13.7,6417,6.1,12575,7.4,13346,6.1,17308,6.6,23459,7.4,31854,8,44135,6.6
1,住居,23168,7.6,-32,2194,2.1,6875,4,13140,6,24168,9.2,17595,5.5,29451,7.4,68433,10.3
2,基礎的支出,21524,7,-32.4,1600,1.5,6074,3.6,13140,6,22999,8.8,13729,4.3,27005,6.8,65812,9.9
3,選択的支出,1644,0.5,-25.6,594,0.6,801,0.5,-,-,1169,0.4,3866,1.2,2446,0.6,2621,0.4
1,光熱・水道,20371,6.7,-2.5,13697,13,20181,11.9,20192,9.2,19854,7.6,20740,6.5,22666,5.7,25206,3.8
2,基礎的支出,20371,6.7,-2.5,13697,13,20181,11.9,20192,9.2,19854,7.6,20740,6.5,22666,5.7,25206,3.8
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,10857,3.5,-2.7,3129,3,5670,3.3,5956,2.7,8157,3.1,9470,3,13834,3.5,29646,4.4
2,基礎的支出,6844,2.2,-1.8,2364,2.3,4535,2.7,4404,2,5828,2.2,6528,2,8164,2.1,16016,2.4
3,選択的支出,4013,1.3,-4,766,0.7,1134,0.7,1552,0.7,2328,0.9,2942,0.9,5670,1.4,13630,2
1,被服及び履物,17581,5.7,-8.4,3939,3.8,7542,4.4,10816,5,14807,5.6,21694,6.8,22215,5.6,41856,6.3
2,基礎的支出,1282,0.4,-8.5,344,0.3,754,0.4,1455,0.7,1199,0.5,1407,0.4,1661,0.4,2144,0.3
3,選択的支出,16299,5.3,-8.4,3595,3.4,6788,4,9360,4.3,13609,5.2,20287,6.4,20554,5.2,39712,5.9
1,保健医療,17152,5.6,12.7,6214,5.9,8990,5.3,12394,5.7,14145,5.4,19008,6,24480,6.2,34687,5.2
2,基礎的支出,12029,3.9,14,4653,4.4,6452,3.8,9705,4.4,9653,3.7,13215,4.1,15982,4,24440,3.7
3,選択的支出,5123,1.7,9.9,1561,1.5,2539,1.5,2688,1.2,4493,1.7,5792,1.8,8498,2.1,10247,1.5
1,交通・通信,30389,9.9,-7.7,6879,6.6,14317,8.4,23319,10.7,25899,9.9,34210,10.7,40309,10.2,67476,10.1
2,基礎的支出,8361,2.7,3.5,2817,2.7,5448,3.2,7495,3.4,7202,2.7,10397,3.3,10415,2.6,14684,2.2
3,選択的支出,22029,7.2,-11.3,4062,3.9,8868,5.2,15824,7.2,18697,7.1,23813,7.5,29893,7.5,52792,7.9
1,教育,10327,3.4,-10.9,516,0.5,1255,0.7,3590,1.6,7348,2.8,9198,2.9,11810,3,38372,5.7
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,10327,3.4,-10.9,516,0.5,1255,0.7,3590,1.6,7348,2.8,9198,2.9,11810,3,38372,5.7
1,教養娯楽,36758,12,0.5,8720,8.3,16911,10,22074,10.1,26288,10,36762,11.5,44399,11.2,101655,15.2
2,基礎的支出,9304,3,25.6,4062,3.9,7376,4.3,7362,3.4,6583,2.5,9993,3.1,11179,2.8,18493,2.8
3,選択的支出,27454,9,-5.8,4658,4.4,9535,5.6,14712,6.7,19705,7.5,26769,8.4,33219,8.4,83162,12.5
1,その他の消費支出,50033,16.4,-5.3,10870,10.4,18534,10.9,30780,14.1,39817,15.2,54323,17,73599,18.6,121742,18.2
2,基礎的支出,17775,5.8,-18.5,4373,4.2,7940,4.7,10502,4.8,14386,5.5,15361,4.8,21194,5.3,50432,7.6
3,選択的支出,32257,10.5,4,6498,6.2,10594,6.2,20278,9.3,25431,9.7,38962,12.2,52406,13.2,71310,10.7
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成26年11月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
