年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成19年平均,2007,,28.3,32.1,29.9,30.9,29.6,28.6,26.2,27.2
nen,平成20年平均,2008,,28.3,33,31.4,31.5,29.7,27.4,25.5,27.3
nen,平成21年平均,2009,,27.6,29.8,31.7,31.2,29.9,27.5,25,25.8
nen,平成22年平均,2010,,27.4,31.5,31.5,29.8,28.7,26.9,25.8,25.9
nen,平成23年平均,2011,,28.5,30.4,30.3,29.7,29.2,28.5,26.4,28.3
nen,平成24年平均,2012,,28,30.4,31.9,30,30.2,27.6,25.8,26.9
nen,平成25年平均,2013,,27.9,30,31,30.2,29.6,28.7,27.6,25.6
tuki,平成25年10月,2013,10,29.7,29.1,30.4,28.7,29.8,27.9,30.4,30.2
tuki,平成25年11月,2013,11,25.6,31.4,27.5,31,31,26.3,28.2,19.5
tuki,平成25年12月,2013,12,24.7,28.1,31.6,28.3,28.9,25,26.1,18.5
tuki,平成26年1月,2014,1,28.4,33.9,33.6,31.7,30.6,28.9,26.4,25.2
tuki,平成26年2月,2014,2,29.7,34.8,38.1,36.6,33.4,33.7,28.5,22.9
tuki,平成26年3月,2014,3,25.9,34.5,31.3,31.5,28.8,26.3,26.4,20.6
tuki,平成26年4月,2014,4,32.8,34,34.5,34.2,30,30.3,27.1,36.5
tuki,平成26年5月,2014,5,27.6,28.5,30.8,29.3,28.8,25.9,26.2,27.4
tuki,平成26年6月,2014,6,25.7,29.1,32.3,29.9,28.1,27.1,27.4,20
tuki,平成26年7月,2014,7,23.8,27.3,26.8,26.5,27.3,26.6,25,19.1
tuki,平成26年8月,2014,8,24.1,30.2,30.4,25.8,25.4,25.6,25,19.3
tuki,平成26年9月,2014,9,26.3,30,30.3,31.4,28.7,25.3,30.2,21.9
tuki,平成26年10月,2014,10,27.9,31.3,30.1,31.1,30.2,26.6,27,26.4
,,,,,,,,,,,
東京都生計分析調査　平成26年10月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
公共的料金負担率〔＝（公共的料金÷消費支出）×１００〕,,,,,,,,,,,
