項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,361,-,-,50,-,51,-,50,-,50,-,58,-,53,-,49,-
0,0,世帯人員,3.34,-,-,2.86,-,3.04,-,3.2,-,3.44,-,3.21,-,3.75,-,3.87,-
0,0,有業人員,1.61,-,-,1.6,-,1.67,-,1.53,-,1.49,-,1.53,-,1.58,-,1.85,-
0,0,世帯主平均年齢,49,-,-,55.9,-,53.7,-,46.9,-,45.3,-,46.9,-,48,-,46.2,-
0,0,消費支出,326069,-,-7,246930,-,277321,-,256726,-,306100,-,294829,-,413075,-,486782,-
0,0,公共的料金,92026,28.2,-0.6,71003,28.8,78936,28.5,80654,31.4,90533,29.6,84701,28.7,123976,30,114227,23.5
1,0,公共料金等,57857,17.7,2,45237,18.3,51760,18.7,53772,20.9,52629,17.2,54387,18.4,75277,18.2,71786,14.7
1,1,米,1776,0.5,-0.4,2050,0.8,1578,0.6,1569,0.6,1628,0.5,1414,0.5,2463,0.6,1735,0.4
1,1,食塩,44,0,83.3,110,0,24,0,27,0,23,0,33,0,52,0,39,0
1,1,学校給食,2031,0.6,51.2,1179,0.5,786,0.3,1422,0.6,2674,0.9,2725,0.9,1783,0.4,3628,0.7
1,1,公営家賃,1333,0.4,13.4,904,0.4,2161,0.8,2749,1.1,1477,0.5,1188,0.4,842,0.2,-,-
1,1,電気代,8867,2.7,-2.7,7636,3.1,10129,3.7,7858,3.1,8391,2.7,8374,2.8,9213,2.2,10493,2.2
1,1,都市ガス,5302,1.6,0.2,5308,2.1,6083,2.2,4341,1.7,4901,1.6,4469,1.5,5820,1.4,6217,1.3
