項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,360,-,-,51,-,50,-,50,-,54,-,51,-,51,-,53,-
0,0,世帯人員,3.37,-,-,3.06,-,2.99,-,3.52,-,3.21,-,3.51,-,3.43,-,3.82,-
0,0,有業人員,1.63,-,-,1.57,-,1.78,-,1.61,-,1.67,-,1.63,-,1.52,-,1.61,-
0,0,世帯主平均年齢,48.7,-,-,55.2,-,52.8,-,45.3,-,48.8,-,46.5,-,45.1,-,47,-
0,0,消費支出,407852,-,6.2,287665,-,330529,-,314822,-,386729,-,416761,-,493330,-,622231,-
0,0,公共的料金,108192,26.5,6,82462,28.7,117643,35.6,87362,27.7,96737,25,122975,29.5,112853,22.9,136898,22
1,0,公共料金等,67414,16.5,4.1,52068,18.1,58898,17.8,55725,17.7,66141,17.1,76361,18.3,75789,15.4,86655,13.9
1,1,米,1663,0.4,-25.7,1687,0.6,1253,0.4,1521,0.5,1726,0.4,1561,0.4,1667,0.3,2220,0.4
1,1,食塩,31,0,-41.5,13,0,37,0,24,0,35,0,25,0,59,0,27,0
1,1,学校給食,1706,0.4,69.8,787,0.3,496,0.2,1689,0.5,2080,0.5,1852,0.4,2487,0.5,2536,0.4
1,1,公営家賃,1495,0.4,-41.1,1911,0.7,2849,0.9,457,0.1,2752,0.7,1658,0.4,833,0.2,-,-
1,1,電気代,10510,2.6,9,11606,4,10497,3.2,9679,3.1,10668,2.8,8756,2.1,10405,2.1,11935,1.9
1,1,都市ガス,6756,1.7,2.7,5984,2.1,6912,2.1,5881,1.9,7203,1.9,7586,1.8,5769,1.2,7943,1.3
1,1,上下水道料,6674,1.6,43.7,5835,2,5640,1.7,6031,1.9,7233,1.9,8460,2,5951,1.2,7570,1.2
1,1,医科診療代,3590,0.9,11.4,5063,1.8,3123,0.9,3139,1,1663,0.4,4098,1,5085,1,2984,0.5
1,1,歯科診療代,2402,0.6,84.5,267,0.1,3347,1,598,0.2,2219,0.6,1178,0.3,4743,1,4393,0.7
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
