項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,9379,-,2105,-,1850,-,7895,-,7529,-,621,-
0,0,0,0,0,調査世帯数,249,-,-,231,-,55,-,47,-,194,-,184,-,18,-
0,0,0,0,0,世帯人員,2.47,-,-,2.48,-,2.23,-,2.24,-,2.53,-,2.53,-,2.36,-
0,0,0,0,0,有業人員,0.48,-,-,0.48,-,0.24,-,0.24,-,0.55,-,0.54,-,0.55,-
0,0,0,0,0,世帯主平均年齢,73.3,-,-,73.6,-,71.9,-,72.3,-,73.6,-,73.9,-,68.6,-
1,0,0,0,0,受取,809570,-,4.9,826207,-,509442,-,524582,-,889609,-,900337,-,558168,-
1,1,0,0,0,実収入,362335,100,4.1,371044,100,259415,100,277148,100,389782,100,394120,100,230746,100
1,2,0,0,0,経常収入,358249,98.9,4,366948,98.9,256805,99,275481,99.4,385302,98.9,389427,98.8,226800,98.3
1,3,0,0,0,勤め先収入,13447,3.7,-53.6,11964,3.2,4797,1.8,4841,1.7,15754,4,13715,3.5,35856,15.5
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,2286,0.6,-64.6,2071,0.6,-,-,-,-,2896,0.7,2580,0.7,5530,2.4
1,6,0,0,0,うち女,2286,0.6,-64.6,2071,0.6,-,-,-,-,2896,0.7,2580,0.7,5530,2.4
1,4,0,0,0,他の世帯員収入,11161,3.1,-50.4,9893,2.7,4797,1.8,4841,1.7,12859,3.3,11135,2.8,30326,13.1
1,3,0,0,0,事業・内職収入,11401,3.1,40,11962,3.2,1131,0.4,1286,0.5,14140,3.6,14585,3.7,2924,1.3
1,4,0,0,0,家賃収入,7022,1.9,278.1,7487,2,-,-,-,-,8895,2.3,9327,2.4,-,-
1,4,0,0,0,他の事業収入,1241,0.3,-19,1323,0.4,-,-,-,-,1571,0.4,1648,0.4,-,-
1,4,0,0,0,内職収入,3138,0.9,-34,3152,0.8,1131,0.4,1286,0.5,3673,0.9,3610,0.9,2924,1.3
1,3,0,0,0,他の経常収入,333400,92,8.5,343022,92.4,250878,96.7,269353,97.2,355408,91.2,361127,91.6,188019,81.5
1,4,0,0,0,財産収入,2226,0.6,67.4,2373,0.6,228,0.1,259,0.1,2759,0.7,2893,0.7,-,-
1,4,0,0,0,社会保障給付,328965,90.8,7.7,338597,91.3,248929,96,267136,96.4,350309,89.9,356159,90.4,183424,79.5
1,5,0,0,0,公的年金給付,325703,89.9,7.1,335572,90.4,246030,94.8,266134,96,346950,89,352637,89.5,176578,76.5
1,5,0,0,0,他の社会保障給付,3262,0.9,188.7,3025,0.8,2899,1.1,1002,0.4,3359,0.9,3522,0.9,6846,3
