年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成19年平均,2007,,73,176.8,104.7,84.3,76.7,82.7,70.9,43.6
nen,平成20年平均,2008,,72.4,233.3,97.4,85.3,78.9,80.5,71.7,41.9
nen,平成21年平均,2009,,74.1,216.7,99.6,83.9,78.2,81.2,70.2,46.7
nen,平成22年平均,2010,,73.2,215.7,100,89.3,80.1,77.2,71.6,43.6
nen,平成23年平均,2011,,73.8,230,99.6,82.9,82.1,75.6,68.7,46.8
nen,平成24年平均,2012,,75.2,201.6,100.2,87.6,83,78.1,75.1,46.7
nen,平成25年平均,2013,,78.2,306.9,114.2,88.7,81,76.2,75.8,48
tuki,平成25年11月,2013,11,88.9,350.7,102.9,97.4,83,85.9,86.3,62.1
tuki,平成25年12月,2013,12,48.1,316.1,81.1,75.9,58.8,41.8,34.7,28.9
tuki,平成26年1月,2014,1,82.7,257.4,109.1,79.6,85.3,77.8,66.9,67.8
tuki,平成26年2月,2014,2,72.6,158.8,74.2,81.5,65.1,75.3,65.8,60.2
tuki,平成26年3月,2014,3,99.1,353.8,101,97.1,98.2,99.2,101.1,70.7
tuki,平成26年4月,2014,4,81.7,219.4,74.1,81.4,81.5,72.4,90.2,62.3
tuki,平成26年5月,2014,5,93,360.9,116.5,102.1,89.7,78.5,86,72.4
tuki,平成26年6月,2014,6,50.7,248.1,104.7,68.1,78.9,58.4,35.7,24.6
tuki,平成26年7月,2014,7,72.5,822.5,119.4,84,97,92,65.1,30.9
tuki,平成26年8月,2014,8,82.6,181.7,106,90.5,84.3,82.7,63.3,64.9
tuki,平成26年9月,2014,9,100,335.3,192.1,83.8,94.1,98.7,76,75.9
tuki,平成26年10月,2014,10,81.8,255.8,95.6,69.1,76.2,71.2,79.3,69.3
tuki,平成26年11月,2014,11,84.9,279.7,116.8,77.8,83.6,67.5,83.4,66.8
,,,,,,,,,,,
東京都生計分析調査　平成26年11月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
平均消費性向〔＝（消費支出÷可処分所得）×１００〕,,,,,,,,,,,
