項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,840,-,1289,-,1801,-,1670,-,1110,-,1290,-,1326,-,672,-
0,0,0,0,0,調査世帯数,360,-,33,-,45,-,66,-,58,-,41,-,46,-,47,-,24,-
0,0,0,0,0,世帯人員,3.37,-,3.33,-,3.59,-,3.62,-,3.54,-,3.63,-,3.25,-,2.94,-,2.46,-
0,0,0,0,0,有業人員,1.63,-,1.54,-,1.37,-,1.4,-,1.58,-,1.77,-,1.78,-,2.04,-,1.65,-
0,0,0,0,0,世帯主平均年齢,48.7,-,31.2,-,37.1,-,42,-,46.9,-,51.7,-,56.9,-,62.1,-,67.9,-
1,0,0,0,0,受取,1589990,-,1293701,-,1631814,-,1641933,-,1804598,-,1778814,-,1927027,-,1074327,-,1266147,-
1,1,0,0,0,実収入,979250,100,784885,100,1061293,100,1070656,100,1173140,100,1118068,100,1223373,100,473629,100,637859,100
1,2,0,0,0,経常収入,956629,97.7,759044,96.7,1032533,97.3,1043300,97.4,1143737,97.5,1106773,99,1192298,97.5,469003,99,622587,97.6
1,3,0,0,0,勤め先収入,921933,94.1,752605,95.9,1029332,97,1023788,95.6,1130797,96.4,1092319,97.7,1182036,96.6,394962,83.4,394826,61.9
1,4,0,0,0,世帯主収入,820239,83.8,599463,76.4,922235,86.9,932436,87.1,1013237,86.4,984815,88.1,1052746,86.1,350508,74,329061,51.6
1,6,0,0,0,うち男,799418,81.6,585415,74.6,890920,83.9,925233,86.4,1008867,86,941095,84.2,1042047,85.2,307143,64.8,305416,47.9
1,5,0,0,0,定期収入,399932,40.8,349660,44.5,430669,40.6,447314,41.8,484461,41.3,486574,43.5,389541,31.8,262401,55.4,215053,33.7
1,5,0,0,0,臨時収入,2670,0.3,6945,0.9,3981,0.4,1973,0.2,2619,0.2,1551,0.1,4292,0.4,210,0,398,0.1
1,5,0,0,0,賞与,417637,42.6,242858,30.9,487585,45.9,483149,45.1,526157,44.9,496689,44.4,658913,53.9,87896,18.6,113610,17.8
1,4,0,0,0,世帯主の配偶者の収入,93144,9.5,153142,19.5,107097,10.1,91353,8.5,117226,10,102280,9.1,117236,9.6,21227,4.5,17016,2.7
1,6,0,0,0,うち女,92108,9.4,153142,19.5,99059,9.3,91353,8.5,117226,10,102280,9.1,117236,9.6,21227,4.5,17016,2.7
1,4,0,0,0,他の世帯員収入,8550,0.9,-,-,-,-,-,-,333,0,5224,0.5,12054,1,23227,4.9,48750,7.6
1,3,0,0,0,事業・内職収入,11510,1.2,-,-,279,0,8139,0.8,6376,0.5,11779,1.1,1427,0.1,14759,3.1,81693,12.8
1,4,0,0,0,家賃収入,2612,0.3,-,-,-,-,748,0.1,3208,0.3,7106,0.6,-,-,8691,1.8,-,-
1,4,0,0,0,他の事業収入,8412,0.9,-,-,279,0,7391,0.7,1833,0.2,3053,0.3,777,0.1,6068,1.3,81693,12.8
1,4,0,0,0,内職収入,487,0,-,-,-,-,-,-,1334,0.1,1620,0.1,650,0.1,-,-,-,-
1,3,0,0,0,他の経常収入,23185,2.4,6439,0.8,2921,0.3,11373,1.1,6564,0.6,2675,0.2,8836,0.7,59282,12.5,146068,22.9
1,4,0,0,0,財産収入,1440,0.1,-,-,684,0.1,194,0,328,0,2478,0.2,7651,0.6,-,-,-,-
1,4,0,0,0,社会保障給付,21022,2.1,6439,0.8,2237,0.2,9633,0.9,5045,0.4,197,0,-,-,58582,12.4,146068,22.9
1,5,0,0,0,公的年金給付,17522,1.8,-,-,-,-,2447,0.2,-,-,-,-,-,-,54723,11.6,146068,22.9
1,5,0,0,0,他の社会保障給付,3500,0.4,6439,0.8,2237,0.2,7186,0.7,5045,0.4,197,0,-,-,3859,0.8,-,-
1,4,0,0,0,仕送り金,723,0.1,-,-,-,-,1546,0.1,1191,0.1,-,-,1184,0.1,700,0.1,-,-
1,2,0,0,0,特別収入,22621,2.3,25841,3.3,28760,2.7,27356,2.6,29403,2.5,11295,1,31074,2.5,4627,1,15272,2.4
1,3,0,0,0,受贈金,4848,0.5,1739,0.2,833,0.1,62,0,9347,0.8,213,0,22740,1.9,136,0,690,0.1
1,3,0,0,0,他の特別収入,17773,1.8,24103,3.1,27928,2.6,27294,2.5,20057,1.7,11082,1,8334,0.7,4491,0.9,14582,2.3
1,1,0,0,0,実収入以外の受取(繰入金を除く),535358,-,425361,-,488540,-,522337,-,547123,-,592115,-,624442,-,522109,-,529578,-
1,2,0,0,0,預貯金引出,428095,-,281258,-,388328,-,412880,-,466289,-,513604,-,476999,-,400906,-,452152,-
1,2,0,0,0,保険金,25698,-,65611,-,-,-,-,-,4314,-,-,-,84249,-,49140,-,30932,-
1,3,0,0,0,個人・企業年金保険金,4068,-,-,-,-,-,-,-,-,-,-,-,-,-,14985,-,30932,-
1,3,0,0,0,他の保険金,21630,-,65611,-,-,-,-,-,4314,-,-,-,84249,-,34155,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,376,-,-,-,-,-,-,-,2037,-,324,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,3212,-,-,-,23634,-,9,-,142,-,1078,-,152,-,4,-,-,-
1,2,0,0,0,一括払購入借入金,77438,-,78377,-,75947,-,107214,-,74340,-,76853,-,62917,-,72060,-,46495,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,538,-,116,-,630,-,2235,-,-,-,254,-,126,-,-,-,-,-
1,1,0,0,0,繰入金,75382,-,83455,-,81981,-,48940,-,84335,-,68631,-,79212,-,78588,-,98709,-
2,0,0,0,0,支払,1589990,-,1293701,-,1631814,-,1641933,-,1804598,-,1778814,-,1927027,-,1074327,-,1266147,-
2,1,0,0,0,実支出,584665,-,425052,-,529400,-,594708,-,678939,-,659578,-,737987,-,448972,-,478582,-
2,2,0,0,0,生計支出,407852,-,306774,-,361429,-,397551,-,441555,-,444770,-,482359,-,391193,-,395860,-
2,3,0,0,0,消費支出,407852,100,306774,100,361429,100,397551,100,441555,100,444770,100,482359,100,391193,100,395860,100
2,4,1,0,0,食料,103143,25.3,71416,23.3,91173,25.2,90457,22.8,117613,26.6,125463,28.2,109453,22.7,108927,27.8,103380,26.1
2,5,1,1,0,穀類,7543,1.8,5793,1.9,6780,1.9,7256,1.8,8079,1.8,9979,2.2,8164,1.7,7179,1.8,6132,1.5
2,6,1,1,1,米類,1663,0.4,1513,0.5,1353,0.4,1391,0.3,1783,0.4,2771,0.6,1523,0.3,1757,0.4,1126,0.3
2,6,1,1,2,パン,3197,0.8,2557,0.8,2986,0.8,3337,0.8,3563,0.8,3646,0.8,3634,0.8,2458,0.6,2998,0.8
2,6,1,1,3,めん類,1690,0.4,1121,0.4,1515,0.4,1562,0.4,1896,0.4,2204,0.5,1993,0.4,1686,0.4,1151,0.3
2,6,1,1,4,他の穀類,993,0.2,601,0.2,926,0.3,966,0.2,838,0.2,1358,0.3,1014,0.2,1277,0.3,857,0.2
2,5,1,2,0,魚介類,8291,2,3978,1.3,4821,1.3,6338,1.6,8501,1.9,9124,2.1,10795,2.2,12145,3.1,11250,2.8
2,6,1,2,1,生鮮魚介,4391,1.1,2308,0.8,2796,0.8,3422,0.9,4733,1.1,5088,1.1,4545,0.9,6779,1.7,5640,1.4
2,6,1,2,2,塩干魚介,1359,0.3,629,0.2,797,0.2,1154,0.3,1187,0.3,1174,0.3,2100,0.4,1981,0.5,1987,0.5
2,6,1,2,3,魚肉練製品,1295,0.3,439,0.1,568,0.2,771,0.2,1228,0.3,1611,0.4,2642,0.5,1609,0.4,1595,0.4
2,6,1,2,4,他の魚介加工品,1246,0.3,603,0.2,660,0.2,991,0.2,1353,0.3,1251,0.3,1507,0.3,1776,0.5,2029,0.5
2,5,1,3,0,肉類,9325,2.3,6401,2.1,8079,2.2,7758,2,9757,2.2,13344,3,10676,2.2,9970,2.5,7994,2
2,6,1,3,1,生鮮肉,7566,1.9,4904,1.6,6576,1.8,6141,1.5,7767,1.8,11009,2.5,8748,1.8,8488,2.2,6341,1.6
2,6,1,3,2,加工肉,1759,0.4,1496,0.5,1503,0.4,1617,0.4,1990,0.5,2335,0.5,1928,0.4,1482,0.4,1653,0.4
2,5,1,4,0,乳卵類,4040,1,2681,0.9,3940,1.1,4002,1,4069,0.9,4956,1.1,4047,0.8,4266,1.1,3982,1
2,6,1,4,1,牛乳,1204,0.3,747,0.2,1280,0.4,1195,0.3,1140,0.3,1758,0.4,1216,0.3,958,0.2,1361,0.3
2,6,1,4,2,乳製品,2000,0.5,1486,0.5,1888,0.5,2071,0.5,2033,0.5,2235,0.5,1913,0.4,2340,0.6,1686,0.4
