項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,754,-,-,105,-,115,-,107,-,108,-,107,-,105,-,107,-
0,世帯人員,2.98,-,-,2.55,-,2.87,-,2.83,-,2.96,-,3.14,-,3.33,-,3.16,-
0,有業人員,1.29,-,-,1.1,-,1.13,-,1.1,-,1.35,-,1.44,-,1.52,-,1.39,-
0,世帯主平均年齢,59.2,-,-,62.8,-,62.4,-,60,-,59.7,-,56.8,-,55.7,-,57,-
0,消費支出,318758,100,-1.2,106329,100,171193,100,213046,100,259593,100,321474,100,406376,100,751208,100
2,基礎的支出,165977,52.1,-0.9,77552,72.9,112678,65.8,133906,62.9,151545,58.4,170347,53,200503,49.3,314537,41.9
3,選択的支出,152781,47.9,-1.5,28777,27.1,58514,34.2,79141,37.1,108048,41.6,151126,47,205873,50.7,436671,58.1
1,食料,85949,27,3.6,49819,46.9,66835,39,75499,35.4,84443,32.5,91920,28.6,107602,26.5,125271,16.7
2,基礎的支出,67827,21.3,5,42876,40.3,55364,32.3,61471,28.9,69804,26.9,73660,22.9,83791,20.6,87677,11.7
3,選択的支出,18122,5.7,-1.5,6943,6.5,11472,6.7,14028,6.6,14639,5.6,18260,5.7,23811,5.9,37594,5
1,住居,29943,9.4,-6,1589,1.5,7567,4.4,14515,6.8,17043,6.6,22219,6.9,32351,8,113949,15.2
2,基礎的支出,27951,8.8,-6.1,1412,1.3,6762,3.9,14275,6.7,14071,5.4,18622,5.8,29683,7.3,110466,14.7
3,選択的支出,1992,0.6,-5.2,177,0.2,805,0.5,241,0.1,2971,1.1,3597,1.1,2667,0.7,3483,0.5
1,光熱・水道,20855,6.5,5.5,14275,13.4,18034,10.5,19450,9.1,21296,8.2,24000,7.5,25657,6.3,23244,3.1
2,基礎的支出,20855,6.5,5.5,14275,13.4,18034,10.5,19450,9.1,21296,8.2,24000,7.5,25657,6.3,23244,3.1
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,11098,3.5,-10.5,2976,2.8,6113,3.6,6298,3,9245,3.6,10967,3.4,15035,3.7,26975,3.6
2,基礎的支出,7141,2.2,8.5,2409,2.3,4121,2.4,4442,2.1,5619,2.2,7482,2.3,9515,2.3,16355,2.2
3,選択的支出,3957,1.2,-32,567,0.5,1991,1.2,1857,0.9,3626,1.4,3485,1.1,5520,1.4,10620,1.4
1,被服及び履物,15645,4.9,1.5,3014,2.8,7434,4.3,8341,3.9,11187,4.3,19158,6,21911,5.4,38360,5.1
2,基礎的支出,1140,0.4,-9.6,346,0.3,971,0.6,818,0.4,1223,0.5,1377,0.4,1327,0.3,1918,0.3
3,選択的支出,14504,4.6,2.5,2669,2.5,6463,3.8,7523,3.5,9964,3.8,17782,5.5,20584,5.1,36442,4.9
1,保健医療,17840,5.6,2.3,6265,5.9,9453,5.5,13868,6.5,13040,5,16302,5.1,21713,5.3,44103,5.9
2,基礎的支出,12391,3.9,6.3,5204,4.9,7498,4.4,10709,5,9967,3.8,12091,3.8,15787,3.9,25402,3.4
3,選択的支出,5449,1.7,-6,1061,1,1954,1.1,3159,1.5,3072,1.2,4211,1.3,5926,1.5,18701,2.5
1,交通・通信,32518,10.2,0.9,8523,8,15509,9.1,20255,9.5,27885,10.7,36093,11.2,49423,12.2,69737,9.3
2,基礎的支出,7984,2.5,-6.5,3054,2.9,5352,3.1,6154,2.9,7666,3,9573,3,9657,2.4,14399,1.9
3,選択的支出,24534,7.7,3.6,5469,5.1,10157,5.9,14102,6.6,20220,7.8,26520,8.2,39766,9.8,55337,7.4
1,教育,18807,5.9,-12.4,694,0.7,2529,1.5,4722,2.2,6757,2.6,9604,3,19710,4.9,87346,11.6
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,18807,5.9,-12.4,694,0.7,2529,1.5,4722,2.2,6757,2.6,9604,3,19710,4.9,87346,11.6
1,教養娯楽,37401,11.7,3.1,10444,9.8,18181,10.6,21123,9.9,26232,10.1,39971,12.4,55182,13.6,90403,12
2,基礎的支出,8743,2.7,3.6,4837,4.5,7800,4.6,7447,3.5,8688,3.3,9744,3,9313,2.3,13346,1.8
3,選択的支出,28658,9,2.9,5608,5.3,10380,6.1,13676,6.4,17544,6.8,30227,9.4,45869,11.3,77057,10.3
1,その他の消費支出,48704,15.3,-7.8,8731,8.2,19539,11.4,28974,13.6,42465,16.4,51240,15.9,57792,14.2,131821,17.5
2,基礎的支出,11946,3.7,-29.6,3140,3,6777,4,9140,4.3,13211,5.1,13799,4.3,15772,3.9,21730,2.9
3,選択的支出,36758,11.5,2.5,5591,5.3,12762,7.5,19833,9.3,29255,11.3,37441,11.6,42020,10.3,110091,14.7
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成26年10月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
