項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,8959,-,2174,-,1682,-,7826,-,7278,-,1041,-
0,0,0,0,0,調査世帯数,248,-,-,224,-,56,-,45,-,192,-,179,-,24,-
0,0,0,0,0,世帯人員,2.43,-,-,2.44,-,2.36,-,2.33,-,2.46,-,2.46,-,2.42,-
0,0,0,0,0,有業人員,0.44,-,-,0.43,-,0.3,-,0.28,-,0.48,-,0.46,-,0.53,-
0,0,0,0,0,世帯主平均年齢,72.2,-,-,72.6,-,71.4,-,73.1,-,72.5,-,72.4,-,69.5,-
1,0,0,0,0,受取,706291,-,-8.8,737433,-,494575,-,539931,-,765102,-,783066,-,438229,-
1,1,0,0,0,実収入,293045,100,-11.3,304999,100,200138,100,225328,100,318852,100,323407,100,190147,100
1,2,0,0,0,経常収入,289611,98.8,-11.8,301255,98.8,198305,99.1,222989,99,314974,98.8,319338,98.7,189388,99.6
1,3,0,0,0,勤め先収入,18136,6.2,50.8,18031,5.9,3780,1.9,4887,2.2,22124,6.9,21068,6.5,19043,10
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,4196,1.4,8.5,3896,1.3,-,-,-,-,5361,1.7,4796,1.5,6772,3.6
1,6,0,0,0,うち女,4196,1.4,8.5,3896,1.3,-,-,-,-,5361,1.7,4796,1.5,6772,3.6
1,4,0,0,0,他の世帯員収入,13941,4.8,70.9,14135,4.6,3780,1.9,4887,2.2,16763,5.3,16272,5,12270,6.5
1,3,0,0,0,事業・内職収入,9228,3.1,55.9,9250,3,4329,2.2,-,-,10589,3.3,11387,3.5,9041,4.8
1,4,0,0,0,家賃収入,4672,1.6,39.6,5215,1.7,-,-,-,-,5970,1.9,6420,2,-,-
1,4,0,0,0,他の事業収入,380,0.1,-42.8,424,0.1,-,-,-,-,486,0.2,522,0.2,-,-
1,4,0,0,0,内職収入,4175,1.4,118.8,3610,1.2,4329,2.2,-,-,4133,1.3,4444,1.4,9041,4.8
1,3,0,0,0,他の経常収入,262247,89.5,-15.5,273974,89.8,190196,95,218102,96.8,282261,88.5,286883,88.7,161305,84.8
1,4,0,0,0,財産収入,3085,1.1,28.2,3444,1.1,-,-,-,-,3942,1.2,4239,1.3,-,-
1,4,0,0,0,社会保障給付,256607,87.6,-16.6,270190,88.6,187696,93.8,218102,96.8,275748,86.5,282225,87.3,139684,73.5
1,5,0,0,0,公的年金給付,251919,86,-17.8,269192,88.3,175346,87.6,218102,96.8,273189,85.7,280996,86.9,103238,54.3
1,5,0,0,0,他の社会保障給付,4688,1.6,234.9,998,0.3,12350,6.2,-,-,2560,0.8,1229,0.4,36445,19.2
1,4,0,0,0,仕送り金,2555,0.9,...,340,0.1,2500,1.2,-,-,2571,0.8,419,0.1,21621,11.4
1,2,0,0,0,特別収入,3433,1.2,72.2,3744,1.2,1834,0.9,2339,1,3878,1.2,4069,1.3,759,0.4
1,3,0,0,0,受贈金,1180,0.4,-9.7,1317,0.4,1500,0.7,1939,0.9,1091,0.3,1173,0.4,-,-
1,3,0,0,0,他の特別収入,2253,0.8,227.9,2427,0.8,334,0.2,400,0.2,2787,0.9,2895,0.9,759,0.4
1,1,0,0,0,実収入以外の受取(繰入金を除く),325677,-,-12.1,340694,-,235977,-,259111,-,350593,-,359543,-,196414,-
1,2,0,0,0,預貯金引出,241520,-,-17.1,247362,-,175895,-,181484,-,259749,-,262584,-,191232,-
1,2,0,0,0,保険金,36933,-,-18.8,41224,-,14709,-,19017,-,43106,-,46355,-,-,-
