項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,1800,-,6783,-,436,-,73,-,981,-,3999,-
0,0,0,0,0,調査世帯数,360,-,65,-,245,-,15,-,3,-,35,-,143,-
0,0,0,0,0,世帯人員,3.37,-,2,-,3.69,-,2.75,-,2.25,-,3.89,-,3.4,-
0,0,0,0,0,有業人員,1.63,-,1.51,-,1.63,-,2.12,-,1,-,1.59,-,2.18,-
0,0,0,0,0,世帯主平均年齢,48.7,-,52.8,-,46.7,-,55.4,-,40.7,-,51.8,-,47.7,-
1,0,0,0,0,受取,1589990,-,1312066,-,1734102,-,874318,-,671213,-,1421442,-,1760089,-
1,1,0,0,0,実収入,979250,100,760761,100,1101656,100,359305,100,326436,100,809217,100,1107605,100
1,2,0,0,0,経常収入,956629,97.7,745235,98,1074089,97.5,357475,99.5,326436,100,798534,98.7,1086721,98.1
1,3,0,0,0,勤め先収入,921933,94.1,700249,92,1044424,94.8,309664,86.2,226655,69.4,753766,93.1,1050230,94.8
1,4,0,0,0,世帯主収入,820239,83.8,642166,84.4,926646,84.1,221086,61.5,226655,69.4,677406,83.7,816034,73.7
1,6,0,0,0,うち男,799418,81.6,639921,84.1,917903,83.3,-,-,-,-,627926,77.6,801204,72.3
1,5,0,0,0,定期収入,399932,40.8,339942,44.7,436308,39.6,168212,46.8,226655,69.4,361418,44.7,397005,35.8
1,5,0,0,0,臨時収入,2670,0.3,1557,0.2,3492,0.3,248,0.1,-,-,106,0,1163,0.1
1,5,0,0,0,賞与,417637,42.6,300667,39.5,486847,44.2,52626,14.6,-,-,315882,39,417866,37.7
1,4,0,0,0,世帯主の配偶者の収入,93144,9.5,58083,7.6,114504,10.4,-,-,-,-,51177,6.3,232924,21
1,6,0,0,0,うち女,92108,9.4,58083,7.6,112976,10.3,-,-,-,-,51177,6.3,230332,20.8
1,4,0,0,0,他の世帯員収入,8550,0.9,-,-,3274,0.3,88579,24.7,-,-,25183,3.1,1272,0.1
1,3,0,0,0,事業・内職収入,11510,1.2,4741,0.6,14756,1.3,-,-,-,-,6607,0.8,24454,2.2
1,4,0,0,0,家賃収入,2612,0.3,-,-,3427,0.3,-,-,-,-,2937,0.4,4135,0.4
1,4,0,0,0,他の事業収入,8412,0.9,4741,0.6,10612,1,-,-,-,-,3671,0.5,20134,1.8
1,4,0,0,0,内職収入,487,0,-,-,717,0.1,-,-,-,-,-,-,186,0
1,3,0,0,0,他の経常収入,23185,2.4,40245,5.3,14909,1.4,47811,13.3,99781,30.6,38161,4.7,12036,1.1
1,4,0,0,0,財産収入,1440,0.1,5142,0.7,758,0.1,-,-,-,-,-,-,599,0.1
1,4,0,0,0,社会保障給付,21022,2.1,34254,4.5,13392,1.2,47811,13.3,99781,30.6,37593,4.6,10742,1
1,5,0,0,0,公的年金給付,17522,1.8,33025,4.3,9634,0.9,31056,8.6,-,-,37593,4.6,9632,0.9
1,5,0,0,0,他の社会保障給付,3500,0.4,1229,0.2,3758,0.3,16756,4.7,99781,30.6,-,-,1109,0.1
1,4,0,0,0,仕送り金,723,0.1,849,0.1,758,0.1,-,-,-,-,567,0.1,696,0.1
1,2,0,0,0,特別収入,22621,2.3,15526,2,27567,2.5,1830,0.5,-,-,10682,1.3,20884,1.9
1,3,0,0,0,受贈金,4848,0.5,934,0.1,6740,0.6,-,-,-,-,1101,0.1,4718,0.4
1,3,0,0,0,他の特別収入,17773,1.8,14591,1.9,20826,1.9,1830,0.5,-,-,9581,1.2,16167,1.5
1,1,0,0,0,実収入以外の受取(繰入金を除く),535358,-,471110,-,560919,-,384261,-,243132,-,543613,-,570618,-
1,2,0,0,0,預貯金引出,428095,-,356267,-,452551,-,308089,-,240518,-,444091,-,445003,-
1,2,0,0,0,保険金,25698,-,38597,-,17715,-,36533,-,-,-,52401,-,43539,-
1,3,0,0,0,個人・企業年金保険金,4068,-,8000,-,2971,-,-,-,-,-,6241,-,4757,-
1,3,0,0,0,他の保険金,21630,-,30598,-,14744,-,36533,-,-,-,46160,-,38783,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,376,-,-,-,555,-,-,-,-,-,-,-,851,-
1,2,0,0,0,分割払購入借入金,3212,-,968,-,4479,-,-,-,-,-,-,-,491,-
1,2,0,0,0,一括払購入借入金,77438,-,75107,-,84894,-,39639,-,2614,-,46956,-,79723,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,538,-,171,-,724,-,-,-,-,-,165,-,1012,-
1,1,0,0,0,繰入金,75382,-,80194,-,71528,-,130752,-,101645,-,68613,-,81866,-
2,0,0,0,0,支払,1589990,-,1312066,-,1734102,-,874318,-,671213,-,1421442,-,1760089,-
2,1,0,0,0,実支出,584665,-,505549,-,625945,-,453465,-,287488,-,502728,-,584705,-
2,2,0,0,0,生計支出,407852,-,379509,-,421208,-,407478,-,250212,-,367698,-,406399,-
2,3,0,0,0,消費支出,407852,100,379509,100,421208,100,407478,100,250212,100,367698,100,406399,100
2,4,1,0,0,食料,103143,25.3,94382,24.9,106520,25.3,74647,18.3,40054,16,108523,29.5,104951,25.8
2,5,1,1,0,穀類,7543,1.8,5609,1.5,8022,1.9,5833,1.4,3312,1.3,8538,2.3,7140,1.8
2,6,1,1,1,米類,1663,0.4,1113,0.3,1759,0.4,1970,0.5,1133,0.5,1866,0.5,1482,0.4
