項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,9355,-,2681,-,2427,-,7319,-,6927,-,645,-
0,0,0,0,0,調査世帯数,254,-,-,236,-,68,-,60,-,186,-,176,-,18,-
0,0,0,0,0,世帯人員,2.49,-,-,2.49,-,2.27,-,2.29,-,2.57,-,2.57,-,2.39,-
0,0,0,0,0,有業人員,0.49,-,-,0.48,-,0.3,-,0.31,-,0.56,-,0.54,-,0.61,-
0,0,0,0,0,世帯主平均年齢,73.6,-,-,73.9,-,72.4,-,72.7,-,74.1,-,74.4,-,69.3,-
1,0,0,0,0,受取,835439,-,1.2,836078,-,534448,-,557836,-,945715,-,933570,-,826180,-
1,1,0,0,0,実収入,349114,100,0.3,341197,100,233690,100,247378,100,391402,100,374070,100,463879,100
1,2,0,0,0,経常収入,346152,99.2,0.4,338095,99.1,229889,98.4,243203,98.3,388748,99.3,371344,99.3,462953,99.8
1,3,0,0,0,勤め先収入,22264,6.4,-46.6,21079,6.2,8444,3.6,8391,3.4,27328,7,25524,6.8,39451,8.5
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,3453,1,-72.9,3367,1,1732,0.7,1913,0.8,4084,1,3876,1,4712,1
1,6,0,0,0,うち女,3453,1,-72.9,3367,1,1732,0.7,1913,0.8,4084,1,3876,1,4712,1
1,4,0,0,0,他の世帯員収入,18811,5.4,-35,17712,5.2,6711,2.9,6477,2.6,23243,5.9,21648,5.8,34739,7.5
1,3,0,0,0,事業・内職収入,8406,2.4,3,8532,2.5,1659,0.7,909,0.4,10877,2.8,11203,3,6568,1.4
1,4,0,0,0,家賃収入,5191,1.5,27.5,5549,1.6,-,-,-,-,7093,1.8,7494,2,-,-
1,4,0,0,0,他の事業収入,85,0,...,91,0,-,-,-,-,116,0,123,0,-,-
1,4,0,0,0,内職収入,3129,0.9,-23.4,2892,0.8,1659,0.7,909,0.4,3668,0.9,3586,1,6568,1.4
1,3,0,0,0,他の経常収入,315482,90.4,7,308484,90.4,219787,94.1,233904,94.6,350543,89.6,334616,89.5,416933,89.9
1,4,0,0,0,財産収入,20349,5.8,49.6,5448,1.6,48,0,53,0,27787,7.1,7338,2,236374,51
1,4,0,0,0,社会保障給付,292723,83.8,4.6,300459,88.1,219420,93.9,233499,94.4,319579,81.6,323921,86.6,180560,38.9
1,5,0,0,0,公的年金給付,290398,83.2,5.9,298908,87.6,214316,91.7,231461,93.6,318272,81.3,322541,86.2,167016,36
1,5,0,0,0,他の社会保障給付,2325,0.7,-57.7,1551,0.5,5104,2.2,2038,0.8,1307,0.3,1380,0.4,13543,2.9
1,4,0,0,0,仕送り金,2411,0.7,53.6,2577,0.8,318,0.1,351,0.1,3178,0.8,3357,0.9,-,-
1,2,0,0,0,特別収入,2962,0.8,-13.1,3102,0.9,3800,1.6,4175,1.7,2654,0.7,2726,0.7,926,0.2
1,3,0,0,0,受贈金,1075,0.3,-50.1,1123,0.3,2435,1,2667,1.1,577,0.1,583,0.2,375,0.1
1,3,0,0,0,他の特別収入,1886,0.5,50,1979,0.6,1365,0.6,1508,0.6,2077,0.5,2143,0.6,551,0.1
1,1,0,0,0,実収入以外の受取(繰入金を除く),423351,-,5.7,430478,-,244455,-,251284,-,488894,-,493265,-,320027,-
1,2,0,0,0,預貯金引出,337113,-,5.5,340020,-,225927,-,230941,-,377848,-,378240,-,294957,-
1,2,0,0,0,保険金,48362,-,4.9,51024,-,4593,-,5074,-,64398,-,67125,-,9771,-
1,3,0,0,0,個人・企業年金保険金,47794,-,37.7,50417,-,4593,-,5074,-,63622,-,66304,-,9771,-
1,3,0,0,0,他の保険金,568,-,-95,608,-,-,-,-,-,777,-,821,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,1122,-,320.2,1191,-,109,-,121,-,1492,-,1567,-,109,-
1,2,0,0,0,一括払購入借入金,36475,-,8.8,38130,-,13826,-,15148,-,44773,-,46183,-,12475,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,279,-,-60.8,111,-,-,-,-,-,382,-,150,-,2714,-
1,1,0,0,0,繰入金,62975,-,-18.3,64403,-,56303,-,59174,-,65419,-,66235,-,42275,-
2,0,0,0,0,支払,835439,-,1.2,836078,-,534448,-,557836,-,945715,-,933570,-,826180,-
2,1,0,0,0,実支出,361825,-,5.5,363351,-,243163,-,249576,-,405299,-,403217,-,339691,-
2,2,0,0,0,生計支出,318956,-,6,322902,-,221300,-,226851,-,354734,-,356556,-,261749,-
2,3,0,0,0,消費支出,318956,100,6,322902,100,221300,100,226851,100,354734,100,356556,100,261749,100
2,4,1,0,0,食料,97283,30.5,7.9,98511,30.5,75896,34.3,77949,34.4,105119,29.6,105716,29.6,79485,30.4
2,5,1,1,0,穀類,7943,2.5,6.1,8033,2.5,6346,2.9,6420,2.8,8528,2.4,8598,2.4,6641,2.5
2,6,1,1,1,米類,2050,0.6,-18,2065,0.6,1458,0.7,1449,0.6,2266,0.6,2281,0.6,1829,0.7
2,6,1,1,2,パン,2639,0.8,28.9,2649,0.8,2139,1,2189,1,2823,0.8,2810,0.8,2500,1
2,6,1,1,3,めん類,1579,0.5,14.7,1598,0.5,1265,0.6,1223,0.5,1694,0.5,1729,0.5,1313,0.5
2,6,1,1,4,他の穀類,1675,0.5,7.4,1721,0.5,1484,0.7,1559,0.7,1744,0.5,1778,0.5,999,0.4
2,5,1,2,0,魚介類,13991,4.4,9.8,14375,4.5,10642,4.8,11257,5,15218,4.3,15468,4.3,8421,3.2
2,6,1,2,1,生鮮魚介,7545,2.4,18.3,7745,2.4,5186,2.3,5518,2.4,8409,2.4,8525,2.4,4643,1.8
2,6,1,2,2,塩干魚介,2091,0.7,-5.2,2096,0.6,1574,0.7,1561,0.7,2281,0.6,2284,0.6,2019,0.8
2,6,1,2,3,魚肉練製品,2248,0.7,14.6,2353,0.7,1991,0.9,2157,1,2342,0.7,2422,0.7,714,0.3
2,6,1,2,4,他の魚介加工品,2107,0.7,-4.1,2181,0.7,1892,0.9,2020,0.9,2186,0.6,2237,0.6,1045,0.4
2,5,1,3,0,肉類,8827,2.8,16,8976,2.8,7170,3.2,7286,3.2,9434,2.7,9568,2.7,6665,2.5
2,6,1,3,1,生鮮肉,7244,2.3,15.4,7366,2.3,5794,2.6,5891,2.6,7775,2.2,7882,2.2,5478,2.1
2,6,1,3,2,加工肉,1583,0.5,18.6,1610,0.5,1375,0.6,1394,0.6,1659,0.5,1685,0.5,1187,0.5
2,5,1,4,0,乳卵類,4262,1.3,8.6,4327,1.3,3063,1.4,3110,1.4,4701,1.3,4754,1.3,3311,1.3
2,6,1,4,1,牛乳,1480,0.5,8.3,1545,0.5,1053,0.5,1097,0.5,1636,0.5,1702,0.5,543,0.2
2,6,1,4,2,乳製品,1895,0.6,9.6,1881,0.6,1295,0.6,1293,0.6,2115,0.6,2088,0.6,2096,0.8
2,6,1,4,3,卵,887,0.3,7,901,0.3,714,0.3,721,0.3,950,0.3,965,0.3,672,0.3
2,5,1,5,0,野菜・海藻,13603,4.3,6.4,13853,4.3,10934,4.9,11429,5,14581,4.1,14702,4.1,9989,3.8
2,6,1,5,1,生鮮野菜,8780,2.8,5.8,8950,2.8,7254,3.3,7630,3.4,9339,2.6,9413,2.6,6304,2.4
2,6,1,5,2,乾物・海藻,1377,0.4,1.9,1400,0.4,958,0.4,1006,0.4,1530,0.4,1538,0.4,1038,0.4
2,6,1,5,3,大豆加工品,1509,0.5,10.3,1542,0.5,1126,0.5,1150,0.5,1649,0.5,1679,0.5,1030,0.4
2,6,1,5,4,他の野菜・海藻加工品,1938,0.6,9.7,1960,0.6,1597,0.7,1643,0.7,2063,0.6,2071,0.6,1616,0.6
2,5,1,6,0,果物,4443,1.4,10.3,4501,1.4,3613,1.6,3625,1.6,4747,1.3,4809,1.3,3597,1.4
2,6,1,6,1,生鮮果物,3783,1.2,8.8,3819,1.2,3120,1.4,3116,1.4,4026,1.1,4065,1.1,3254,1.2
