年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成19年平均,2007,,23.6,42.5,34.8,30.7,28,25.3,22.8,14.4
nen,平成20年平均,2008,,24.5,42.3,35.7,31.2,28.5,25.9,23.6,15.6
nen,平成21年平均,2009,,24.3,44.1,35.5,30.9,28.2,26.5,23.2,15.2
nen,平成22年平均,2010,,23.7,43.1,35.1,31.1,28.3,26,22.2,14.3
nen,平成23年平均,2011,,24.8,43.8,36.2,31.5,28.8,26.5,23.9,15.5
nen,平成24年平均,2012,,24.5,42.6,35,31.7,29.1,27.1,23.4,15.2
nen,平成25年平均,2013,,24.1,43.7,35.8,32.5,28.8,26.5,23.9,14
tuki,平成25年4月,2013,4,22,42.5,33.3,32.7,27.5,25.6,22.7,11.3
tuki,平成25年5月,2013,5,25.1,44.9,34.8,32.1,28.2,27.4,24.6,15.4
tuki,平成25年6月,2013,6,24.2,45.6,38.2,31.9,28.8,25.6,24.1,14.3
tuki,平成25年7月,2013,7,22.7,42.7,36.9,33.4,28.5,25.8,23.7,11.8
tuki,平成25年8月,2013,8,25.2,48.2,35.6,33.9,29.9,28.1,24.6,14.8
tuki,平成25年9月,2013,9,23.9,46.1,38.5,32.9,30.1,28.6,24.7,12.7
tuki,平成25年10月,2013,10,24.4,45.8,36.4,34.9,28.9,28.1,24.4,13.4
tuki,平成25年11月,2013,11,24.3,41,37.5,33.1,27.3,27.2,24.6,14.2
tuki,平成25年12月,2013,12,26.6,43.6,36.7,33.6,29.9,28.3,25.4,17.5
tuki,平成26年1月,2014,1,23.6,37.8,34.5,27.9,25.1,24.4,22,16.9
tuki,平成26年2月,2014,2,24.8,43.1,35.6,32.3,29.6,27.2,24,15.2
tuki,平成26年3月,2014,3,22.7,40.9,35.2,30.2,27.3,23.9,23.5,13
tuki,平成26年4月,2014,4,22.4,43,36.7,29.1,28.4,26.1,23.4,11.8
,,,,,,,,,,,
東京都生計分析調査　平成26年4月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
エンゲル係数〔＝（食料費÷消費支出）×１００〕,,,,,,,,,,,
