項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,335,-,649,-,1092,-,1055,-,834,-,886,-,1038,-,4111,-,1769,-
0,0,0,0,0,調査世帯数,754,-,27,-,45,-,85,-,78,-,61,-,63,-,79,-,316,-,136,-
0,0,0,0,0,世帯人員,2.98,-,3.37,-,3.55,-,3.58,-,3.55,-,3.4,-,3.02,-,2.99,-,2.44,-,2.43,-
0,0,0,0,0,有業人員,1.29,-,1.55,-,1.31,-,1.47,-,1.43,-,1.79,-,1.73,-,1.76,-,0.87,-,0.67,-
0,0,0,0,0,世帯主平均年齢,59.2,-,31.2,-,37.3,-,42.1,-,46.9,-,51.6,-,57,-,62.1,-,73.9,-,80.1,-
2,2,0,0,0,生計支出,321996,-,257967,-,334547,-,314199,-,354928,-,414592,-,358325,-,346106,-,286141,-,256376,-
2,3,0,0,0,消費支出,318758,100,257967,100,284630,100,314199,100,354928,100,414592,100,358325,100,346106,100,286141,100,256376,100
2,4,1,0,0,食料,81995,25.7,57015,22.1,73994,26,82703,26.3,87997,24.8,92356,22.3,80499,22.5,94373,27.3,78660,27.5,74630,29.1
2,5,1,1,0,穀類,6614,2.1,4782,1.9,6543,2.3,6553,2.1,6702,1.9,6589,1.6,6862,1.9,7060,2,6608,2.3,6669,2.6
2,6,1,1,1,米類,1964,0.6,1246,0.5,1529,0.5,1606,0.5,1638,0.5,1676,0.4,1883,0.5,1759,0.5,2397,0.8,2499,1
2,6,1,1,2,パン,2874,0.9,2308,0.9,3016,1.1,3154,1,3297,0.9,2815,0.7,3203,0.9,3116,0.9,2596,0.9,2436,1
2,6,1,1,3,めん類,1352,0.4,875,0.3,1420,0.5,1327,0.4,1334,0.4,1552,0.4,1406,0.4,1564,0.5,1285,0.4,1373,0.5
2,6,1,1,4,他の穀類,424,0.1,353,0.1,578,0.2,466,0.1,433,0.1,546,0.1,371,0.1,621,0.2,329,0.1,361,0.1
2,5,1,2,0,魚介類,6647,2.1,3065,1.2,3351,1.2,4736,1.5,5141,1.4,5864,1.4,5741,1.6,8762,2.5,8172,2.9,7964,3.1
2,6,1,2,1,生鮮魚介,4111,1.3,1831,0.7,1979,0.7,3056,1,3163,0.9,3908,0.9,3613,1,5776,1.7,4886,1.7,4596,1.8
