"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"202304","2023/3/13","高度管理医療機器販売業・貸与業","新規","モザークメディカルジャパン合同会社","東京都港区港南一丁目2番70号","品川シーズンテラス22階","03-6776-1253","4港み生機器第337号","2023/4/1"
"202304","2023/2/27","高度管理医療機器販売業・貸与業","新規","エム・シー・ヘルスケア株式会社　東京第２営業所","東京都港区港南二丁目16番1号","品川イーストワンタワー","03-5781-7814","4港み生機器第312号","2023/4/1"
"202304","2023/4/19","高度管理医療機器販売業・貸与業","新規","株式会社シーユーシー","東京都港区芝浦三丁目1番1号","田町ステーションタワーN","03-5005-0808","5港み生機器第10号","2023/4/25"
"202304","2023/2/28","高度管理医療機器販売業","新規","おだいじに薬局芝大門店","東京都港区芝大門二丁目5番1号","アルテビルディングB2階","03-5408-6623","4港み生機器第318号","2023/4/1"
"202304","2023/3/7","高度管理医療機器販売業・貸与業","新規","株式会社ＭＡＴＳＵＭＯＴＯ","東京都港区芝大門二丁目12番3号","5階","050-3612-6221","4港み生機器第327号","2023/4/3"
"202304","2023/3/2","高度管理医療機器販売業・貸与業","新規","白金台南薬局","東京都港区白金六丁目6番1号","マンション芝白金1階106号","03-5421-0880","4港み生機器第321号","2023/4/1"
"202304","2023/3/17","高度管理医療機器販売業・貸与業","新規","三菱オートリース株式会社　日立営業部門","東京都港区西新橋一丁目3番1号","西新橋スクエア","050-3816-2132","4港み生機器第338号","2023/4/1"
"202305","2023/3/27","高度管理医療機器販売業・貸与業","新規","富士レビオ株式会社　本社オフィス","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR","03-6279-0859","4港み生機器第345号","2023/5/8"
"202305","2023/4/25","高度管理医療機器販売業・貸与業","新規","株式会社エスアールエル","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR",,"5港み生機器第16号","2023/5/8"
"202305","2023/5/18","高度管理医療機器販売業・貸与業","新規","西尾レントオール株式会社　通信測機東京センター","東京都港区海岸三丁目21番32号","安田芝浦7号ビル3F","03-3769-8245","5港み生機器第30号","2023/5/24"
"202305","2023/5/8","高度管理医療機器販売業・貸与業","新規","Ｚａｐ　Ｓｕｒｇｉｃａｌ　Ｊａｐａｎ　合同会社","東京都港区港南二丁目15番1号","品川インターシティーA棟28階","03-6717-4441","5港み生機器第25号","2023/5/18"
"202305","2023/4/28","高度管理医療機器販売業・貸与業","新規","ＩＢＡ　Ｊａｐａｎ株式会社","東京都港区芝浦二丁目17番13号","保坂興産ビル",,"5港み生機器第23号","2023/5/19"
"202305","2023/4/26","高度管理医療機器販売業・貸与業","新規","透析研究開発株式会社","東京都港区芝浦三丁目1番1号","田町ステーションタワーN","03-5005-0808","5港み生機器第19号","2023/5/17"
"202305","2023/4/28","高度管理医療機器販売業・貸与業","新規","メガネスーパーコンタクト新橋駅前ＳＬ広場店","東京都港区新橋二丁目7番1号","ファロシティビル1階",,"5港み生機器第21号","2023/5/17"
"202305","2023/4/20","高度管理医療機器販売業・貸与業","新規","合同会社ユニバーサル・ブレイン","東京都港区六本木六丁目10番1号","六本木ヒルズ森タワー15階",,"5港み生機器第11号","2023/5/2"
"202306","2023/6/7","高度管理医療機器販売業・貸与業","新規","西尾レントオール株式会社　通信測機東京営業所","東京都港区海岸三丁目18番1号","ピアシティ芝浦6階","03-3769-8240","5港み生機器第40号","2023/6/22"
"202306","2023/4/25","高度管理医療機器販売業","新規","ＮＥＣネクサソリューションズ株式会社　本社","東京都港区芝三丁目23番1号","セレスティン芝三井ビル","03-5730-5122","5港み生機器第18号","2023/6/9"
