国/年月,西暦（年）,月,国/日本,国/アメリカ,国/カナダ,国/イギリス,国/ドイツ,国/フランス,国/イタリア,国/中国,国/韓国
前年比(%)/2009年平均,2009,,-1.4,-0.4,0.3,2.2,0.3,0.1,0.8,-0.7,2.8
前年比(%)/2010年平均,2010,,-0.7,1.6,1.8,3.3,1.1,1.5,1.5,3.3,3
前年比(%)/2011年平均,2011,,-0.3,3.2,2.9,4.5,2.1,2.1,2.8,5.4,4
前年比(%)/2012年平均,2012,,0,2.1,1.5,2.8,2,2,3,2.6,2.2
前年比(%)/2013年平均,2013,,0.4,1.5,0.9,2.6,1.5,0.9,1.2,2.6,1.3
前年比(%)/2014年平均,2014,,2.7,1.6,2,1.5,0.9,0.5,0.2,2,1.3
前年比(%)/2015年平均,2015,,0.8,0.1,1.1,0,0.3,0,0.1,1.4,0.7
前年同月比(%)/2014年11月,2014,11,2.4,1.3,2,1,0.6,0.3,0.2,1.4,1
前年同月比(%)/2014年12月,2014,12,2.4,0.8,1.5,0.5,0.2,0.1,0,1.5,0.8
前年同月比(%)/2015年1月,2015,1,2.4,-0.1,1,0.3,-0.3,-0.4,-0.6,0.8,0.8
前年同月比(%)/2015年2月,2015,2,2.2,0,1,0,0.1,-0.3,-0.1,1.4,0.5
前年同月比(%)/2015年3月,2015,3,2.3,-0.1,1.2,0,0.3,-0.1,-0.1,1.4,0.4
前年同月比(%)/2015年4月,2015,4,0.6,-0.2,0.8,-0.1,0.5,0.1,-0.1,1.5,0.4
前年同月比(%)/2015年5月,2015,5,0.5,0,0.9,0.1,0.7,0.3,0.1,1.2,0.5
前年同月比(%)/2015年6月,2015,6,0.4,0.1,1,0,0.3,0.3,0.2,1.4,0.7
前年同月比(%)/2015年7月,2015,7,0.2,0.2,1.3,0.1,0.2,0.2,0.2,1.6,0.7
前年同月比(%)/2015年8月,2015,8,0.2,0.2,1.3,0,0.2,0,0.2,2,0.7
前年同月比(%)/2015年9月,2015,9,0,0,1,-0.1,0,0,0.2,1.6,0.6
前年同月比(%)/2015年10月,2015,10,0.3,0.2,1,-0.1,0.3,0.1,0.3,1.3,0.9
前年同月比(%)/2015年11月,2015,11,0.3,0.5,1.4,0.1,0.4,0,0.1,1.5,1
前年同月比(%)/2015年12月,2015,12,0.2,0.7,1.6,0.2,0.3,0.2,0.1,1.6,1.3
前年同月比(%)/2016年1月,2016,1,0,1.4,2,0.3,0.5,0.2,0.3,1.8,0.8
前年同月比(%)/2016年2月,2016,2,0.3,1,1.4,0.3,0,-0.2,-0.3,2.3,1.3
前年同月比(%)/2016年3月,2016,3,-0.1,0.9,1.3,0.5,0.3,-0.1,-0.2,2.3,1
前年同月比(%)/2016年4月,2016,4,-0.3,1.1,1.7,0.3,-0.1,-0.2,-0.5,2.3,1
,,,,,,,,,,,
東京の物価／2016年5月,,,,,,,,,,,
参考表４　主要国の消費者物価指数変化率,,,,,,,,,,,
資料　総務省統計局,,,,,,,,,,,
