総平均・大類別/類別/品目数/ウエイト,西暦（年）,月,国内需要財,国内需要財/国内品,国内需要財/輸入品,素原材料(1),中間財(2),中間財(2)/製品原材料,中間財(2)/建設用材料(3),中間財(2)/燃料動力,中間財(2)/その他中間財,最終財,最終財/資本財(4),最終財/消費財,最終財/消費財/耐久消費財,最終財/消費財/非耐久消費財,(参考)生産財(1)+(2),(参考)投資財注3)
品目数,,,1213,912,301,76,617,420,104,19,74,520,153,367,73,294,693,260
ウエイト,,,1000,789.64,210.36,98.445,516.205,336.324,59.252,63.731,56.898,385.35,104.397,280.953,70.923,210.03,614.65,164.423
平成23年平均,2011,,102.8,101.5,107.5,118.6,102.4,101.5,102,109.6,100.7,99.1,97.6,99.6,92.7,101.9,105,99.2
平成24年平均,2012,,102,100.6,107.2,120,101.5,98.7,101,116.9,100.9,98.1,97.3,98.4,87.5,102.1,104.4,98.6
平成25年平均,2013,,106.2,101.9,122.7,135.9,105.2,101.4,105.1,128,102.5,100.1,98.4,100.7,86.8,105.4,110.1,100.9
平成26年平均,2014,,108.2,102.9,127.9,138.3,107.9,103.2,109.2,136.2,103.2,100.9,99.3,101.4,86.1,106.6,112.8,102.9
平成27年平均,2015,,102.7,99.8,113.6,102.8,103.9,100.4,109.2,117.9,103.2,101.2,100.8,101.4,86.6,106.4,103.8,103.8
平成23年度平均,2011,,103,101.6,108.3,121.1,102.6,101.2,102.1,112.2,100.9,98.9,97.5,99.4,91.2,102.1,105.6,99.2
平成24年度平均,2012,,102.5,100.5,110.1,122.9,101.8,98.8,101.3,118.5,101.2,98.3,97.4,98.7,87.1,102.6,105.2,98.8
平成25年度平均,2013,,107.1,102.4,125,138,106.2,102,106.7,131.3,102.7,100.4,98.7,101.1,86.5,106,111.3,101.6
平成26年度平均,2014,,107.1,102.3,125.3,130.8,107.4,102.8,109.3,133.3,103.3,100.9,99.8,101.2,86.2,106.3,111.1,103.2
平成27年度平均,2015,,100.9,99,108.1,94.3,102.2,99,108.7,112.5,102.6,100.8,100.4,101,86.3,106,100.9,103.5
平成27年6月,2015,6,104.5,100.7,118.6,109,105.5,101.8,109.8,122.6,103.4,102,101.3,102.3,87.1,107.4,106.1,104.4
平成27年7月,2015,7,103.8,100.3,116.6,106.5,104.8,101.2,109.6,120.6,103.1,101.6,100.8,102,86.8,107.1,105.1,104
平成27年8月,2015,8,102.8,99.7,114.3,103.1,103.7,100.5,109.6,115.9,103,101.4,100.6,101.7,87,106.7,103.6,103.9
平成27年9月,2015,9,101.3,99.2,109.3,96,102.6,99.6,109,112.8,102.6,101,100.4,101.2,86.3,106.3,101.6,103.5
平成27年10月,2015,10,100.5,98.6,107.7,94.4,101.4,98.5,108.6,108.6,102.8,101,100.5,101.2,86.3,106.3,100.2,103.4
平成27年11月,2015,11,100.6,98.5,108.4,93.9,101.4,98.4,108.5,109.2,102.6,101.2,100.9,101.4,86.5,106.4,100.2,103.6
平成27年12月,2015,12,99.7,98.2,105.5,89.2,100.8,97.9,108.5,107.8,102.4,101,100.5,101.2,86.4,106.2,99,103.4
平成28年1月,2016,1,97.7,97.2,99.4,81.3,99.2,96.5,107.7,103.5,102,99.7,99.7,99.7,85.8,104.4,96.4,102.6
平成28年2月,2016,2,96.3,96.9,94.2,74.5,98.4,95.8,107.3,100.6,101.6,99.2,99.4,99.1,85.3,103.8,94.6,102.3
平成28年3月,2016,3,96,96.8,93.1,74.9,97.8,95.3,107,99.2,101.3,99,99.4,98.9,85,103.6,94.1,102.2
平成28年4月,2016,4,95.5,96.5,91.8,75.4,97,94.2,107,99,100.7,98.6,99.1,98.4,84.5,103.1,93.5,102
平成28年5月,2016,5,95.5,96.5,91.6,75.9,97,94,107.2,100,100.8,98.4,98.9,98.3,84.1,103.1,93.6,101.9
平成28年6月注1),2016,6,95.3,96.4,91.1,77.4,96.6,93.4,106.9,100.1,100.6,98.2,98.5,98.1,83.6,103,93.5,101.6
前月比(%),,,-0.2,-0.1,-0.5,2,-0.4,-0.6,-0.3,0.1,-0.2,-0.2,-0.4,-0.2,-0.6,-0.1,-0.1,-0.3
前年同月比(%),,,-8.8,-4.3,-23.2,-29,-8.4,-8.3,-2.6,-18.4,-2.7,-3.7,-2.8,-4.1,-4,-4.1,-11.9,-2.7
,,,,,,,,,,,,,,,,,,
東京の物価／平成28年7月,,,,,,,,,,,,,,,,,,
参考表３　需要段階別・用途別指数,,,,,,,,,,,,,,,,,,
資料　日本銀行調査統計局,,,,,,,,,,,,,,,,,,
注1)  最新月の数値は速報値のため、後日訂正される場合がある。,,,,,,,,,,,,,,,,,,
注2)　平成22年（2010年）基準から、従来の「加工食品」を「食料品・飲料・たばこ・飼料」に変更したほか、従来の類別「一般機器」「精密機器」を類別「はん用機器」「生産用機器」「業務用機器」「その他工業製品」に組み替ています。,,,,,,,,,,,,,,,,,,
注3)  投資財：(3)＋(4)＋素原材料内建設用材料,,,,,,,,,,,,,,,,,,
