年　　　月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(生)(100g)/円,1116かつお(たたき)(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435な　す(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1516いよかん(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成28年６月,2016,6,384,99,84,220,185,132,278,110,71,586,253,114,272,319,122,...,257,920,271,222,197,136,130,190,798,234,786,347,150,767,2082,543,447,1070,164,380,913,283,2677,739,1483,1446,2110,410,498,667,609,759,1643,789,460,653,...,716,...,698,437,479,...,...,...,1816,...,...,...,378,673,...,2427,265,878,194,221,305
平成28年７月,2016,7,377,95,89,192,189,165,273,112,73,579,271,109,278,319,123,...,261,911,278,227,196,137,129,148,979,203,848,301,149,695,1924,574,452,1124,213,380,859,309,2303,754,1519,1366,2043,489,587,650,603,808,1591,746,464,637,...,728,...,707,359,468,...,...,...,1325,2173,...,951,338,541,...,2476,265,859,194,222,306
平成28年７月上旬,2016,7上,363,93,96,199,185,165,...,112,71,583,271,111,...,...,...,...,...,...,...,...,...,...,...,160,997,200,847,286,...,734,2037,...,...,...,209,...,...,309,2482,...,...,1349,2124,496,576,684,584,817,...,813,...,...,...,722,...,...,...,...,...,...,...,1424,2330,...,963,336,552,...,2205,265,...,194,220,304
平成28年７月中旬,2016,7中,381,100,94,176,195,154,273,115,71,577,275,110,278,319,123,...,261,911,278,227,196,137,129,142,963,199,844,310,149,697,1950,574,452,1124,219,380,859,308,2300,754,1519,1382,2078,479,610,641,618,791,1591,764,464,637,...,736,...,707,359,468,...,...,...,1340,2165,...,947,317,516,...,2688,261,859,193,224,307
平成28年７月下旬,2016,7下,389,93,78,202,188,178,...,109,77,578,268,108,...,...,...,...,...,...,...,...,...,...,...,143,977,210,852,307,...,655,1784,...,...,...,211,...,...,310,2126,...,...,1368,1928,491,574,624,606,814,...,661,...,...,...,725,...,...,...,...,...,...,...,1211,2025,...,944,362,554,...,2537,269,...,193,222,306
平成28年８月上旬,2016,8上,380,102,91,199,192,163,...,111,74,583,270,109,...,...,...,...,...,...,...,...,...,...,...,129,991,208,675,288,...,657,1831,...,...,...,182,...,...,343,1819,...,...,1247,1858,456,474,564,568,822,...,540,...,...,754,...,...,...,...,...,...,...,719,1120,1560,...,929,367,625,...,...,264,...,194,222,301
平成28年８月中旬,2016,8中,377,97,106,230,193,145,277,110,105,592,271,125,287,310,130,...,268,907,281,231,194,134,129,136,988,205,679,319,150,705,1648,520,446,1020,195,494,845,348,1686,762,1553,1192,1764,466,431,523,569,763,1636,551,478,617,761,...,...,698,351,450,...,...,678,1073,1464,...,909,368,607,...,...,267,867,193,227,302
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成２８年８月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
