年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
前月比(％)／平成28年7月,2016,7,-0.3,-0.3,-0.4,-0.1,0,0,-1.3,-1.7,-2.8,0.1,0.4,0,-0.4,0
前月比(％)／平成28年8月,2016,8,0.1,0.1,0.1,-0.1,0,0,-1.5,0.1,-1.2,-0.1,0.5,0,1.7,0.2
前月比(％)／平成28年9月,2016,9,0.1,-0.1,0.1,0.9,-0.1,-0.1,-1.1,0.2,5,0,-1.4,0,-1.5,0.3
前年同月比(％)／平成27年9月,2015,9,-0.1,-0.2,0,1.3,-0.4,-0.1,-9.4,1.4,0.6,1,-1.1,0.7,2.1,0.9
前年同月比(％)／平成27年10月,2015,10,0.1,-0.2,0.2,2.9,-0.4,-0.6,-9.4,0.9,0.9,0.8,-1.6,0.7,1.5,0.8
前年同月比(％)／平成27年11月,2015,11,0.1,0,0.2,2.1,-0.4,-0.6,-8.9,2,1.2,1.1,-1.5,0.7,2.6,0.7
前年同月比(％)／平成27年12月,2015,12,0.1,0.1,0.2,1.8,-0.4,-0.6,-8.8,1.9,1,1,-1.3,0.7,2.5,0.7
前年同月比(％)／平成28年1月,2016,1,-0.2,-0.1,-0.2,0.9,-0.2,-0.3,-9.2,1.5,-0.9,1.4,-0.7,0.9,1.5,0.6
前年同月比(％)／平成28年2月,2016,2,0.2,0,0.2,2.2,-0.2,-0.5,-10.4,1.3,0.8,1.3,-0.6,1.2,1.9,0.6
前年同月比(％)／平成28年3月,2016,3,0.1,-0.1,0.1,2.3,-0.1,-0.4,-12,1,1.4,1.3,-1,1.2,1.7,0.9
前年同月比(％)／平成28年4月,2016,4,-0.3,-0.3,-0.4,0.8,-0.2,-0.6,-13,2.1,1.5,1.3,-1.1,0.8,2,0.7
前年同月比(％)／平成28年5月,2016,5,-0.5,-0.4,-0.6,0.6,-0.2,-0.5,-12.7,0.6,0.7,0.9,-1.3,0.8,2.3,0.8
前年同月比(％)／平成28年6月,2016,6,-0.4,-0.3,-0.4,0.8,-0.3,-0.6,-12,0.1,1,1,-1.3,0.8,2.2,0.7
前年同月比(％)／平成28年7月,2016,7,-0.4,-0.4,-0.5,0.8,-0.4,-0.8,-10.5,-1.7,2.1,1,-1.5,0.8,1.3,0.7
前年同月比(％)／平成28年8月,2016,8,-0.5,-0.4,-0.5,0.5,-0.5,-0.8,-9.7,-1.9,2.4,0.8,-1.4,0.8,0.9,1
前年同月比(％)／平成28年9月,2016,9,-0.5,-0.5,-0.5,0.6,-0.5,-0.8,-8.4,-1.7,0.3,0.8,-1.6,0.8,0.6,0.8
,,,,,,,,,,,,,,,,
東京の物価／平成２８年９月,,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,,
２０１５年＝１００／（平成２７年＝１００）,,,,,,,,,,,,,,,,
