年　　　月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1104かつお(生)(100g)/円,1116かつお(たたき)(100g)/円,1105かれい(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1201牛肉(ロース)(100g)/円,1203牛肉(輸入品)(100g)/円,1211豚肉(バラ)(100g)/円,1212豚肉(もも)(100g)/円,1221鶏肉(100g)/円,1241レバー(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さやいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435な　す(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ)(1kg)/円,1511みかん(1kg)/円,1513レモン(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1516いよかん(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
平成27年12月,2015,12,405,87,90,...,...,134,286,103,81,557,257,90,286,317,131,411,236,898,264,222,196,138,133,135,707,116,544,457,152,452,2025,456,303,601,111,317,816,232,981,755,1544,...,1962,446,817,793,610,828,1742,...,538,746,...,456,536,706,453,451,...,...,...,...,...,601,...,...,...,1918,...,242,880,197,223,335
平成28年１月,2016,1,413,116,97,...,...,152,285,114,76,584,275,93,287,318,128,394,235,886,279,224,194,137,130,125,790,115,578,586,152,564,2523,483,310,653,118,277,741,232,998,748,1486,...,2208,462,726,872,702,1069,1785,...,540,741,...,498,659,698,478,483,479,...,...,...,...,...,...,...,...,1778,...,255,936,193,223,323
平成28年１月上旬,2016,1上,414,155,99,...,...,139,...,124,76,576,279,98,...,...,...,396,...,...,...,...,...,...,...,128,840,117,607,594,...,505,2497,...,...,...,127,...,...,230,1060,...,...,...,2244,466,740,818,659,1094,...,...,...,...,...,502,614,...,...,...,514,...,...,...,...,...,...,...,...,1768,...,253,...,197,227,324
平成28年１月中旬,2016,1中,413,90,89,...,...,162,285,109,75,589,279,89,287,318,128,400,235,886,279,224,194,137,130,121,730,114,562,601,152,519,2522,483,310,653,116,277,741,228,958,748,1486,...,2187,476,654,827,705,1034,1785,...,540,741,...,484,665,698,478,483,466,...,...,...,...,...,...,...,...,1722,...,255,936,193,222,323
平成28年１月下旬,2016,1下,411,102,104,...,...,154,...,109,78,586,268,93,...,...,...,386,...,...,...,...,...,...,...,125,799,115,564,565,...,667,2550,...,...,...,112,...,...,237,975,...,...,...,2194,445,784,971,743,1078,...,...,...,...,...,507,696,...,...,...,457,...,...,...,...,...,...,...,...,1843,...,257,...,189,219,322
平成28年２月上旬,2016,2上,402,99,72,...,...,163,...,108,75,579,276,97,...,...,...,378,...,...,...,...,...,...,...,137,1078,133,569,562,...,787,2220,...,...,...,130,...,...,229,1004,...,...,...,2397,451,807,982,826,1208,...,...,...,...,...,546,703,...,...,...,443,943,...,...,...,...,...,...,...,1955,...,254,...,194,222,322
平成28年２月中旬,2016,2中,404,106,80,...,...,153,274,110,73,579,273,94,275,315,123,367,235,888,283,224,196,135,131,137,975,125,561,556,150,727,2042,480,336,676,143,289,795,228,1050,729,1490,...,2510,448,795,934,808,1372,1805,...,549,763,...,513,751,701,473,495,451,803,...,...,...,...,...,...,...,2020,...,252,990,191,219,325
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮品目）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／平成２８年２月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
