"施設の名称","所在地","電話番号","FAX番号","メールアドレス","施設（出入口）の利用可能時間","休業日","備考","施設（出入口）表示有無","施設（出入口）タイトル","出入口の段差","出入口のスロープ","施設出入口表示","施設出入口タイトル","出入口の幅（cm）_1","扉の開閉方式","トイレ1（内部）表示有無","トイレ1（内部）タイトル","車椅子対応_1","オストメイト対応_1","手すり_1","おむつ交換台_1","大人用ベッド_1","音声・音響案内_1","トイレ1（周辺）表示有無","トイレ1（周辺）タイトル","視覚障害者用誘導用ブロック_1","出入口の幅（cm）_2","出入口扉の開閉形式_1","内部の幅／奥行（cm）_1","ベビーチェア_1","背もたれ_1","トイレ2（内部）表示有無","トイレ2（内部）タイトル","車椅子対応_2","オストメイト対応_2","手すり_2","おむつ交換台_2","大人用ベッド_2","音声・音響案内_2","トイレ2（周辺）表示有無","トイレ2（周辺）タイトル","視覚障害者用誘導用ブロック_2","出入口の幅（cm）_3","出入口扉の開閉形式_2","内部の幅／奥行（cm）_2","ベビーチェア_2","背もたれ_2","トイレ3（内部）表示有無","トイレ3（内部）タイトル","車椅子対応_3","オストメイト対応_3","手すり_3","おむつ交換台_3","大人用ベッド_3","音声・音響案内_3","トイレ3（周辺）表示有無","トイレ3（周辺）タイトル","視覚障害者用誘導用ブロック_3","出入口の幅（cm）_4","出入口扉の開閉形式_3","内部の幅／奥行（cm）_3","ベビーチェア_3","背もたれ_3","エレベーター表示有無","エレベータータイトル","エレベーター","点字表記","車椅子使用者対応","音声・音響案内_4","出入口の幅（cm）_5","内部の幅／奥行（cm）_4","鏡","手すり_4","視覚障害者誘導用ブロック_1","エスカレーター表示有無","エスカレータータイトル","エスカレーター","音声・音響案内_5","階段・通路表示有無","階段・通路タイトル","階段なし","スロープ","手すり_5","視覚障害者誘導用ブロック_2","障害者用駐車区画表示有無","障害者用駐車区画タイトル","障害者用駐車区画","障害者用駐車区画の台数","一般駐車区画","子ども関連1表示有無","子ども関連1タイトル","授乳スペース","おむつ交換台_4","乳幼児用ベッド","子ども関連2表示有無","子ども関連2タイトル","ベビーカー貸出","キッズスペース","流し台","湯沸かし器","障害特性表示有無","障害特性タイトル","車椅子対応座席・設備","案内表示","音声案内設備","字幕・文字情報提供設備","建物内の視覚障害者誘導用ブロック","筆談対応","休憩用ベンチ","その他表示有無","その他タイトル","AED","経度","緯度","分類"
"西武新宿線下井草駅","杉並区下井草2-44-10","03-3390-4431","","","4：40～翌0：36","","","有","","無","無","有","","620","-","有","","有","有","有","有","無","有","有","","有","110","自動ドア","260/280","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","140/135","無","有","有","有","","有","有","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","有","有","有","有","有","有","有","","有","139.624731959613","35.7238643299844","公共交通施設"
"八成公園","中野区上鷺宮5-19","","","","","","","有","","無","無","有","","120","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","310/174","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.626356531791","35.7316017707079","文化・レクリエーション・レジャー施設"
"北中野公園","中野区上鷺宮5-8","","","","","","","有","","無","無","有","","120","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","220/248","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","無","有","有","","","無","無","無","無","有","","無","有","無","無","有","無","有","有","","無","139.6271969132","35.7287117625982","文化・レクリエーション・レジャー施設"
"かみさぎ幼稚園","中野区上鷺宮4-8-12","03-3999-7361","03-3999-7923","nk-kamisagi-kg@city.tokyo-nakano.lg.jp","8:15～17:00","土・日・祝日・年末年始・教育活動休止日・振替休業日","","有","","有","無","有","","190","手動（開き戸）","有","","無","無","有","無","無","無","有","","無","120","扉はない","95/100","無","無","有","","無","無","有","無","無","無","有","","無","120","扉はない","100/90","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","無","無","有","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.628184993089","35.7322526627684","教育機関"
"上鷺公園","中野区上鷺宮4-8","","","","","","","有","","無","有","有","","400","-","有","","有","無","無","無","無","無","有","","無","100","手動（引き戸）","210/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","有","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.628310827179","35.7321071346379","文化・レクリエーション・レジャー施設"
"北中野中学校","中野区上鷺宮5-7-1","03-3999-3415","03-3999-3416","nk-kitanakano-jhs＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","95","手動（開き戸）","150/90","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.628531022911","35.7283430679371","教育機関"
"風の子ひろば","中野区上鷺宮4-13","","","","","","","有","","無","無","有","","140","-","有","","有","無","有","無","無","無","有","","有","90","手動（引き戸）","255/255","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.629304419202","35.7341544469036","文化・レクリエーション・レジャー施設"
"キッズ・プラザ武蔵台","中野区上鷺宮5-1-1","03-3970-0440","03-3970-0447","","平日放課後～１８時　土・学校休業日８時半～１８時","日・祝  年末年始","","有","","有","有","有","","120","手動（引き戸）","有","","有","有","有","無","無","無","有","","有","88","手動（引き戸）","200/230","有","無","有","","無","無","有","無","無","無","有","","無","84","手動（引き戸）","48/167","無","無","有","","無","無","有","無","無","無","有","","無","84","手動（引き戸）","48/167","無","無","有","","有","有","有","有","80","124/130","有","有","無","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","有","無","有","","有","139.629517137934","35.7274405936649","教育機関"
"武蔵台学童クラブ","中野区上鷺宮5-1-1","03-3970-0440","03-3970-0447","","平日　放課後～１9時　土・学校休業日８時～１9時","日・祝  年末年始","","有","","有","有","有","","120","手動（引き戸）","有","","有","有","有","無","無","無","有","","有","88","手動（引き戸）","200/230","有","無","有","","無","無","有","無","無","無","有","","無","84","手動（引き戸）","48/167","無","無","有","","無","無","有","無","無","無","有","","無","84","手動（引き戸）","48/167","無","無","有","","有","有","有","有","80","124/130","有","有","無","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","有","無","有","","有","139.629517137934","35.7274405936649","教育機関"
"武蔵台小学校","中野区上鷺宮5-1-1","03-3999-1655","03-3999-1656","nk-musasidai-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","150/140","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.629875216457","35.7279031508469","教育機関"
