区市町村名,学校名,学科名,募集人員／第１学年,募集人員／第２学年,募集人員／第３学年,募集人員／第４学年,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年,昨年度第二学期補欠募集の実施状況／第４学年
江東,第三商業,商業科,19,18,15,13,"8/15,16",8/17,8/17,,,,
足立,足立,商業科,15,17,17,23,"8/21,22",8/23,8/23,,,,
足立,荒川商業,商業科,12,11,34,15,"8/17,18",8/21,8/21,,,,
葛飾,葛飾商業,商業科,12,13,23,17,"8/21,22",8/23,8/23,,,,
国立,第五商業,商業科,2,7,5,6,"8/18,21",8/22,8/22,○,,,
商業科計,,,60,66,94,74,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,
注）商業科の選抜は、次により行う。,,,,,,,,,,,,,
都立第三商業高校／国語・英語・専門教科・面接,,,,,,,,,,,,,
都立足立高校／作文・面接,,,,,,,,,,,,,
都立荒川商業高校／専門教科・面接,,,,,,,,,,,,,
都立葛飾商業高校／国語・数学・専門教科・面接又は国語・英語・専門教科・面接,,,,,,,,,,,,,
都立第五商業高校／専門教科・作文・面接,,,,,,,,,,,,,
