,,国語（件）,数学（件）,英語（件）,社会（件）,理科（件）,総計（件）
記号選択式問題,①正答を誤答として採点した,0,0,0,0,0,0
部分点のない記述式問題,①正答を誤答として採点した,2,33,－,0,－,35
部分点のない記述式問題,②誤答を正答として採点した,24,6,－,1,－,31
部分点のない記述式問題,③入力の誤り,0,0,－,0,－,0
部分点のある記述式問題,①誤答を正答として採点した,0,1,0,0,0,1
部分点のある記述式問題,②部分点を与えていなかった,4,3,0,0,0,7
部分点のある記述式問題,③誤って部分点を与えた,88,19,17,8,7,139
部分点のある記述式問題,④部分点の基準等が不統一,0,0,0,0,0,0
部分点のある記述式問題,⑤入力の誤り,0,0,0,0,0,0
総計,,118,62,17,9,7,213
誤字・脱字等の表記に関する誤りの状況（部分点のある記述式問題）,系統３に該当する誤り,92,22,13,8,7,142
注）ボーダーライン点検との関係：213件のうち､ボーダーライン点検対象者に該当するもの29件,,,,,,,
注）53校213件,,,,,,,
