障害種別/学校区分,小学校学校数,小学校学級数,小学校在籍数,中学校学校数,中学校学級数,中学校在籍数,学校数合計,学級数合計,在籍数合計,,,,,,,,
知的障害,254,486,2940,139,264,1653,393,750,4593,,,,,,,,
肢体不自由,9,12,57,3,3,14,12,15,71,,,,,,,,
病弱,5,5,4,2,2,1,7,7,5,,,,,,,,
健康学園,9,35,183,0,0,0,9,35,183,,,,,,,,
情緒障害,14,18,96,5,5,25,19,23,121,,,,,,,,
固定学級計,291,556,3280,149,274,1693,440,830,4973,,,,,,,,
弱視,9,9,62,2,2,3,11,11,65,,,,,,,,
難聴,41,41,255,12,12,75,53,53,330,,,,,,,,
言語障害,55,112,1695,0,0,0,55,112,1695,,,,,,,,
情緒障害,67,150,1189,38,51,319,105,201,1508,,,,,,,,
通級学級計,172,312,3201,52,65,397,224,377,3598,,,,,,,,
合計,463,868,6481,201,339,2090,664,1207,8571,,,,,,,,
