区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
港,芝商業,商業科,1,1,,6,1,12,"8/9,10",8/12,8/12,○,○,
江東,江東商業,総合ﾋﾞｼﾞﾈｽ科,1,1,1,8,1,3,"8/3,4",8/5,8/5,,,
江東,第三商業,商業科,1,1,1,3,,7,"8/9,10",8/12,8/12,○,○,
渋谷,第一商業,商業科,1,1,1,16,1,24,"8/3,4",8/5,8/5,,,○
北,赤羽商業,商業科,1,1,1,13,1,37,"8/3,4",8/5,8/5,,,
練馬,第四商業※,商業科,1,1,1,5,1,17,"8/9,10",8/12,8/12,,,
練馬,第四商業※,情報処理科,,,,5,,6,"8/9,10",8/12,8/12,,,
足立,荒川商業,総合ﾋﾞｼﾞﾈｽ科,1,1,1,5,,17,"8/3,4",8/5,8/5,,,
葛飾,葛飾商業,商業科,1,1,1,3,1,8,"8/3,4",8/5,8/5,,,
葛飾,葛飾商業,情報処理科,,,,1,,3,"8/3,4",8/5,8/5,,,
国立,第五商業,商業科,,1,1,3,1,3,"8/9,10",8/12,8/12,○,○,○
あきる野,五日市※,商業科,1,1,1,7,1,16,"8/9,10",8/12,8/12,,,
商業科計,,,9,10,9,75,8,153,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）商業科の選抜は、国語・数学・英語・専門教科の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,,
都立第四商業高校／第３学年／国語・英語・専門教科・面接,,,,,,,,,,,,,,
都立五日市高校／第１・２・３学年／国語・英語・専門教科・面接,,,,,,,,,,,,,,
