,,全校で実施（％）,校内の一部で実施（％）,実施していない（％）
異校種の学校を訪問し読み聞かせ等を実践している。（幼稚園・保育園等を除く）,合計,1.5,6.5,92.1
異校種の学校を訪問し読み聞かせ等を実践している。（幼稚園・保育園等を除く）,小学校,1.3,4.5,94.2
異校種の学校を訪問し読み聞かせ等を実践している。（幼稚園・保育園等を除く）,中学校,2.4,10.7,87.1
異校種の学校を訪問し読み聞かせ等を実践している。（幼稚園・保育園等を除く）,高校,0.0,6.0,94.0
幼稚園や保育園を訪問し読み聞かせ等を実施している,合計,1.0,16.7,82.6
幼稚園や保育園を訪問し読み聞かせ等を実施している,小学校,1.2,14.6,84.2
幼稚園や保育園を訪問し読み聞かせ等を実施している,中学校,1.0,19.2,81.0
幼稚園や保育園を訪問し読み聞かせ等を実施している,高校,0.4,20.4,79.3
自校で読書会等を企画し、異校種の学校、幼稚園や保育園の子供を招いたりしている,合計,1.3,8.1,91.0
自校で読書会等を企画し、異校種の学校、幼稚園や保育園の子供を招いたりしている,小学校,1.5,11.4,87.1
自校で読書会等を企画し、異校種の学校、幼稚園や保育園の子供を招いたりしている,中学校,1.0,2.4,97.8
自校で読書会等を企画し、異校種の学校、幼稚園や保育園の子供を招いたりしている,高校,0.7,6.0,93.3
同じ校内で上級生が下級生に読み聞かせ等を行っている,合計,20.6,28.9,49.9
同じ校内で上級生が下級生に読み聞かせ等を行っている,小学校,33.6,46.5,19.6
同じ校内で上級生が下級生に読み聞かせ等を行っている,中学校,3.1,3.9,92.1
同じ校内で上級生が下級生に読み聞かせ等を行っている,高校,1.1,5.6,92.6
