項目,群,よくある,ときどきある,ない,平均点,検定
友だちが、自分をどう思っているか気になる,イライラ感高群,50.7,30.8,18.5,1.32,
友だちが、自分をどう思っているか気になる,イライラ感低群,20.6,45.0,34.4,0.86,
友だちが、自分をどう思っているか気になる,イライラ感高群／イライラ感低群,,,,,**
友だちがムカついていると、自分もムカつく,イライラ感高群,32.0,34.3,33.7,0.98,
友だちがムカついていると、自分もムカつく,イライラ感低群,5.1,17.9,77.0,0.28,
友だちがムカついていると、自分もムカつく,イライラ感高群／イライラ感低群,,,,,**
一人ではやらないことでも、みんなと一緒だとやってしまう,イライラ感高群,42.6,44.0,13.4,1.29,
一人ではやらないことでも、みんなと一緒だとやってしまう,イライラ感低群,16.8,49.3,33.9,0.83,
一人ではやらないことでも、みんなと一緒だとやってしまう,イライラ感高群／イライラ感低群,,,,,**
注）** 1%水準で有意差あり,,,,,,
