区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
新宿,新宿,普通科,2,2,1,1,2,2,"8/2,3",8/4,8/4,○,○,
台東,忍岡,普通科,2,2,2,1,2,4,"8/17,18",8/21,8/21,○,,
墨田,墨田川,普通科,2,2,2,7,1,2,"8/8,9",8/10,8/10,○,,
大田,美原,普通科,2,2,2,8,2,10,"8/15,16",8/17,8/17,○,,
世田谷,芦花,普通科,2,2,1,,2,3,"8/2,3",8/4,8/4,○,○,
北,飛鳥,普通科,2,2,2,5,2,5,"8/2,3",8/4,8/4,○,,
板橋,板橋有徳,普通科,2,2,2,,2,4,"8/8,9",8/10,8/10,○,,
練馬,大泉桜,普通科,2,2,2,1,2,11,"8/8,9",8/10,8/10,○,○,
八王子,翔陽,普通科,2,2,2,2,2,5,"8/8,9",8/10,8/10,,,
国分寺,国分寺,普通科,2,2,2,3,1,2,"8/8,9",8/10,8/10,○,,
武蔵村山,上水,普通科,2,2,2,2,2,6,"8/2,3",8/4,8/4,,,
普通科（単位制）計,,,22,22,20,30,20,54,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）普通科（単位制）の選抜は、国語・数学・英語の学力検査及び面接により行う。,,,,,,,,,,,,,,
