区市町村名,学校名,学科名,募集人員／第２学年相当以上,受付期間,選抜日,発表日,昨年度第一学期補欠募集の実施状況／第２学年相当以上
港,六本木,総合学科,24,"3/17,22",3/23,3/23,○
江東,大江戸,総合学科,64,"3/16,17",3/22,3/22,○
世田谷,世田谷泉,総合学科,70,"3/16,17",3/22,3/23,○
中野,稔ヶ丘,総合学科,30,"3/16,17",3/22,3/22,○
北,桐ヶ丘,総合学科,26,"3/15,16",3/22,3/23,○
青梅,青梅総合※,総合学科,106,"3/16,17",3/21,3/21,○
東久留米,東久留米総合※,総合学科,50,"3/16,17",3/21,3/21,
総合学科（単位制）計,,,370,,,,
注）「昨年度第一学期補欠募集の実施状況」欄では、昨年度の第一学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,
"注）総合学科（単位制）の選抜は、作文、面接及び志願申告書により行う。
／ただし、※印を付した都立高校の選抜は、次により行う。",,,,,,,
都立青梅総合高校／国語・数学・英語・面接,,,,,,,
都立東久留米総合高校／国語・数学・英語・面接,,,,,,,
また、各校の募集人員の内訳は、以下のとおりとする。,,,,,,,
都立六本木高校／第３学年相当（修得単位数３８単位以上５６単位以下）／12 名,,,,,,,
都立六本木高校／第４学年相当（修得単位数５７単位以上）／12 名,,,,,,,
都立大江戸高校／第２学年相当（修得単位数１９単位以上３７単位以下）／1 名,,,,,,,
都立大江戸高校／第３学年相当（修得単位数３８単位以上５６単位以下）／9 名,,,,,,,
都立大江戸高校／第４学年相当（修得単位数５７単位以上）／54 名,,,,,,,
都立世田谷泉高校／第２学年相当（修得単位数１９単位以上３７単位以下）／4 名,,,,,,,
都立世田谷泉高校／第３学年相当（修得単位数３８単位以上５６単位以下）／14 名,,,,,,,
都立世田谷泉高校／第４学年相当（修得単位数５７単位以上）／52 名,,,,,,,
都立稔ヶ丘高校／第３学年相当（修得単位数３８単位以上５６単位以下）／8 名,,,,,,,
都立稔ヶ丘高校／第４学年相当（修得単位数５７単位以上）／22 名,,,,,,,
都立桐ヶ丘高校／第３学年相当（修得単位数３８単位以上５６単位以下）／6 名,,,,,,,
都立桐ヶ丘高校／第４学年相当（修得単位数５７単位以上）／20 名,,,,,,,
都立青梅総合高校／第２学年相当（修得単位数１９単位以上３７単位以下）／6 名,,,,,,,
都立青梅総合高校／第３学年相当（修得単位数３８単位以上５６単位以下）／38 名,,,,,,,
都立青梅総合高校／第４学年相当（修得単位数５７単位以上）／62 名,,,,,,,
都立東久留米総合高校／第２学年相当（修得単位数１９単位以上３７単位以下）／13 名,,,,,,,
都立東久留米総合高校／第３学年相当（修得単位数３８単位以上５６単位以下）／14 名,,,,,,,
都立東久留米総合高校／第４学年相当（修得単位数５７単位以上）／23 名,,,,,,,
