区市町村名,学校名,学科名,募集人員／第２学年相当以上,受付期間,選抜日,発表日,昨年度第一学期補欠募集の実施状況／第２学年相当以上
千代田,一橋,普通科,245,"3/17,21",3/23,3/23,○
新宿,新宿山吹,普通科,16,"3/23,24",3/25,3/27,○
台東,浅草,普通科,115,"3/16,17",3/21,3/21,○
大田,六郷工科,普通科,49,"3/17,21",3/22,3/22,○
杉並,荻窪,普通科,235,"3/16,17",3/27,3/27,○
北,飛鳥,普通科,31,"3/16,17",3/24,3/24,○
板橋,板橋有徳,普通科,14,"3/17,21",3/22,3/22,○
八王子,八王子拓真,普通科,216,"3/17,21",3/22,3/22,○
立川,砂川,普通科,134,"3/17,21",3/22,3/22,○
普通科(単位制）計,,,1055,,,,
注）「昨年度第一学期補欠募集の実施状況」欄では、昨年度の第一学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,
"注）普通科（単位制）の選抜は、国語・数学・英語の学力検査及び面接により行う。
／なお、募集人員の内訳は、以下のとおりとする。",,,,,,,
都立一橋高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅰ部／4名,,,,,,,
都立一橋高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅱ部／10名,,,,,,,
都立一橋高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅲ部／21名,,,,,,,
都立一橋高校／第３学年相当（修得単位数４５単位以上）／Ⅰ部／9名,,,,,,,
都立一橋高校／第３学年相当（修得単位数４５単位以上）／Ⅱ部／18名,,,,,,,
都立一橋高校／第３学年相当（修得単位数４５単位以上）／Ⅲ部／15名,,,,,,,
都立一橋高校／第４学年相当（修得単位数５５単位以上）／Ⅰ部／64名,,,,,,,
都立一橋高校／第４学年相当（修得単位数５５単位以上）／Ⅱ部／68名,,,,,,,
都立一橋高校／第４学年相当（修得単位数５５単位以上）／Ⅲ部／36名,,,,,,,
都立新宿山吹高校／第２学年相当以上（修得単位数１９単位以上）／Ⅰ部～Ⅳ部／16名,,,,,,,
都立浅草高校／第２学年相当（修得単位数１９単位以上３７単位以下）／Ⅰ部／3名,,,,,,,
都立浅草高校／第２学年相当（修得単位数１９単位以上３７単位以下）／Ⅱ部／9名,,,,,,,
都立浅草高校／第２学年相当（修得単位数１９単位以上３７単位以下）／Ⅲ部／9名,,,,,,,
都立浅草高校／第３学年相当（修得単位数３８単位以上５６単位以下）／Ⅰ部／6名,,,,,,,
都立浅草高校／第３学年相当（修得単位数３８単位以上５６単位以下）／Ⅱ部／17名,,,,,,,
都立浅草高校／第３学年相当（修得単位数３８単位以上５６単位以下）／Ⅲ部／13名,,,,,,,
都立浅草高校／第４学年相当（修得単位数５７単位以上）／Ⅰ部／15名,,,,,,,
都立浅草高校／第４学年相当（修得単位数５７単位以上）／Ⅱ部／22名,,,,,,,
都立浅草高校／第４学年相当（修得単位数５７単位以上）／Ⅲ部／21名,,,,,,,
都立六郷工科高校／第２学年相当（修得単位数１９単位以上３７単位以下）／17名,,,,,,,
都立六郷工科高校／第３学年相当（修得単位数３８単位以上５６単位以下）／14名,,,,,,,
都立六郷工科高校／第４学年相当（修得単位数５７単位以上）／18名,,,,,,,
都立荻窪高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅱ部／3名,,,,,,,
都立荻窪高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅲ部／3名,,,,,,,
都立荻窪高校／第３学年相当（修得単位数４５単位以上５４単位以下）／Ⅰ部／5名,,,,,,,
都立荻窪高校／第３学年相当（修得単位数４５単位以上５４単位以下）／Ⅱ部／8名,,,,,,,
都立荻窪高校／第３学年相当（修得単位数４５単位以上５４単位以下）／Ⅲ部／5名,,,,,,,
都立荻窪高校／第４学年相当（修得単位数５５単位以上）／Ⅰ部／86名,,,,,,,
都立荻窪高校／第４学年相当（修得単位数５５単位以上）／Ⅱ部／83名,,,,,,,
都立荻窪高校／第４学年相当（修得単位数５５単位以上）／Ⅲ部／42名,,,,,,,
都立飛鳥高校／第２学年相当（修得単位数１９単位以上４３単位以下）／13名,,,,,,,
都立飛鳥高校／第３学年相当（修得単位数４４単位以上５４単位以下）／18名,,,,,,,
都立板橋有徳高校／第２学年相当（修得単位数１９単位以上、３７単位以下）／4名,,,,,,,
都立板橋有徳高校／第３学年相当（修得単位数３８単位以上、５６単位以下で総合的な学習の時間１単位を含む。)／3名,,,,,,,
"都立板橋有徳高校／
第４学年相当（修得単位数５７単位以上、７３単位以下で総合的な学習の時間２単位を含む。) ／7名",,,,,,,
都立八王子拓真高校／第３学年相当（修得単位数３８単位以上５６単位以下）／24名,,,,,,,
都立八王子拓真高校／第４学年相当（修得単位数５７単位以上）／192名,,,,,,,
都立砂川高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅱ部／2名,,,,,,,
都立砂川高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅲ部／2名,,,,,,,
都立砂川高校／第３学年相当（修得単位数４５単位以上５４単位以下）／Ⅱ部／1名,,,,,,,
都立砂川高校／第４学年相当（修得単位数５５単位以上）／Ⅰ部／57名,,,,,,,
都立砂川高校／第４学年相当（修得単位数５５単位以上）／Ⅱ部／51名,,,,,,,
都立砂川高校／第４学年相当（修得単位数５５単位以上）／Ⅲ部／21名,,,,,,,
