区市町村名,学校名,学科名,募集人員／第１学年相当,募集人員／第２学年相当以上,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年相当,昨年度第二学期補欠募集の実施状況／第２学年相当以上
千代田,一橋,普通科,,269,"8/15,16",8/17,8/17,,○
新宿,新宿山吹,普通科,,17,"8/15,16",8/17,8/17,,○
台東,浅草,普通科,,243,"8/21,22",8/25,8/25,○,○
大田,六郷工科,普通科,8,56,"8/21,22",8/23,8/23,,
杉並,荻窪,普通科,,259,"8/17,18",8/21,8/21,○,○
北,飛鳥,普通科,7,49,"8/15,16",8/22,8/22,○,○
板橋,板橋有徳,普通科,5,15,"8/17,18",8/21,8/21,○,
八王子,八王子拓真,普通科,,267,"8/15,16",8/21,8/21,,○
立川,砂川,普通科,,136,"8/15,16",8/17,8/17,,○
普通科(単位制）計,,,20,1311,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,
注）普通科（単位制）の選抜は、国語・数学・英語の学力検査及び面接により行う。／なお、募集人員の内訳は、以下のとおりとする。,,,,,,,,,
都立一橋高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅰ部／4名,,,,,,,,,
都立一橋高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅱ部／23名,,,,,,,,,
都立一橋高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅲ部／20名,,,,,,,,,
都立一橋高校／第３学年相当（修得単位数４５単位以上）／Ⅰ部／9名,,,,,,,,,
都立一橋高校／第３学年相当（修得単位数４５単位以上）／Ⅱ部／24名,,,,,,,,,
都立一橋高校／第３学年相当（修得単位数４５単位以上）／Ⅲ部／18名,,,,,,,,,
都立一橋高校／第４学年相当（修得単位数５５単位以上）／Ⅰ部／64名,,,,,,,,,
都立一橋高校／第４学年相当（修得単位数５５単位以上）／Ⅱ部／72名,,,,,,,,,
都立一橋高校／第４学年相当（修得単位数５５単位以上）／Ⅲ部／35名,,,,,,,,,
都立新宿山吹高校／第２学年相当以上（修得単位数１９単位以上）／Ⅳ部／17名,,,,,,,,,
都立浅草高校／第２学年相当（修得単位数１９単位以上３７単位以下）／Ⅰ部／4名,,,,,,,,,
都立浅草高校／第２学年相当（修得単位数１９単位以上３７単位以下）／Ⅱ部／13名,,,,,,,,,
都立浅草高校／第２学年相当（修得単位数１９単位以上３７単位以下）／Ⅲ部／14名,,,,,,,,,
都立浅草高校／第３学年相当（修得単位数３８単位以上５６単位以下）／Ⅰ部／13名,,,,,,,,,
都立浅草高校／第３学年相当（修得単位数３８単位以上５６単位以下）／Ⅱ部／20名,,,,,,,,,
都立浅草高校／第３学年相当（修得単位数３８単位以上５６単位以下）／Ⅲ部／23名,,,,,,,,,
都立浅草高校／第４学年相当（修得単位数５７単位以上）／Ⅰ部／68名,,,,,,,,,
都立浅草高校／第４学年相当（修得単位数５７単位以上）／Ⅱ部／55名,,,,,,,,,
都立浅草高校／第４学年相当（修得単位数５７単位以上）／Ⅲ部／33名,,,,,,,,,
都立六郷工科高校／第１学年相当（修得単位数１８単位以下）／8名,,,,,,,,,
都立六郷工科高校／第２学年相当（修得単位数１９単位以上３７単位以下）／18名,,,,,,,,,
都立六郷工科高校／第３学年相当（修得単位数３８単位以上５６単位以下）／19名,,,,,,,,,
都立六郷工科高校／第４学年相当（修得単位数５７単位以上）／19名,,,,,,,,,
都立荻窪高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅰ部／5名,,,,,,,,,
都立荻窪高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅱ部／12名,,,,,,,,,
都立荻窪高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅲ部／11名,,,,,,,,,
都立荻窪高校／第３学年相当（修得単位数４５単位以上５４単位以下）／Ⅰ部／8名,,,,,,,,,
都立荻窪高校／第３学年相当（修得単位数４５単位以上５４単位以下）／Ⅱ部／12名,,,,,,,,,
都立荻窪高校／第３学年相当（修得単位数４５単位以上５４単位以下）／Ⅲ部／8名,,,,,,,,,
都立荻窪高校／第４学年相当（修得単位数５５単位以上）／Ⅰ部／82名,,,,,,,,,
都立荻窪高校／第４学年相当（修得単位数５５単位以上）／Ⅱ部／82名,,,,,,,,,
都立荻窪高校／第４学年相当（修得単位数５５単位以上）／Ⅲ部／39名,,,,,,,,,
都立飛鳥高校／第１学年相当（修得単位数１８単位以下）／7名,,,,,,,,,
都立飛鳥高校／第２学年相当（修得単位数１９単位以上４３単位以下）／9名,,,,,,,,,
都立飛鳥高校／第３学年相当（修得単位数４４単位以上５４単位以下）／40名,,,,,,,,,
都立板橋有徳高校／第１学年相当（修得単位数１８単位以下）／5名,,,,,,,,,
都立板橋有徳高校／第２学年相当（修得単位数１９単位以上、３７単位以下）／6名,,,,,,,,,
都立板橋有徳高校／第３学年相当（修得単位数３８単位以上、５６単位以下）／2名,,,,,,,,,
都立板橋有徳高校／第４学年相当（修得単位数５７単位以上）／7名,,,,,,,,,
都立八王子拓真高校／第２学年相当（修得単位数１９単位以上３７単位以下）／5名,,,,,,,,,
都立八王子拓真高校／第３学年相当（修得単位数３８単位以上５６単位以下）／36名,,,,,,,,,
都立八王子拓真高校／第４学年相当（修得単位数５７単位以上）／226名,,,,,,,,,
都立砂川高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅱ部／1名,,,,,,,,,
都立砂川高校／第２学年相当（修得単位数１９単位以上４４単位以下）／Ⅲ部／1名,,,,,,,,,
