学科等,,年度（平成）,募集人員（Ａ）,最終応募人員（Ｂ)／男,最終応募人員（Ｂ)／女,最終応募人員（Ｂ)／計,受検人員（Ｃ）／男,受検人員（Ｃ）／女,受検人員（Ｃ）／計,受検倍率（C/A）,合格人員（Ｄ）／男,合格人員（Ｄ）／女,合格人員（Ｄ）／計,入学手続人員（Ｅ）／男,入学手続人員（Ｅ）／女,入学手続人員（Ｅ）／計
推薦,普通科,28,6306,9347,11605,20952,9330,11595,20925,3.32,3072,3234,6306,3072,3234,6306
推薦,普通科,27,6263,9395,11625,21020,9379,11614,20993,3.35,3053,3210,6263,3053,3210,6263
推薦,専門教育を主とする学科,28,2067,2311,2397,4708,2307,2397,4704,2.28,1055,1012,2067,1055,1012,2067
推薦,専門教育を主とする学科,27,2067,2413,2644,5057,2410,2643,5053,2.44,997,1067,2064,997,1067,2064
推薦,総合学科,28,732,610,1344,1954,608,1344,1952,2.67,155,577,732,155,577,732
推薦,総合学科,27,720,660,1461,2121,659,1461,2120,2.94,138,582,720,138,582,720
推薦,小計,28,9105,12268,15346,27614,12245,15336,27581,3.03,4282,4823,9105,4282,4823,9105
推薦,小計,27,9050,12468,15730,28198,12448,15718,28166,3.11,4188,4859,9047,4188,4859,9047
第一次募集及び分割前期募集,普通科,28,24940,19635,19375,39010,18174,18632,36806,1.48,12493,12603,25096,12419,12559,24978
第一次募集及び分割前期募集,普通科,27,24745,19452,18807,38259,17928,18130,36058,1.46,12303,12582,24885,12214,12541,24755
第一次募集及び分割前期募集,専門教育を主とする学科,28,5493,4140,3009,7149,3939,2898,6837,1.24,3249,2236,5485,3219,2225,5444
第一次募集及び分割前期募集,専門教育を主とする学科,27,5496,4093,3107,7200,3840,2954,6794,1.24,3193,2301,5494,3180,2294,5474
第一次募集及び分割前期募集,総合学科,28,1668,940,1355,2295,903,1331,2234,1.34,682,1009,1691,680,1007,1687
第一次募集及び分割前期募集,総合学科,27,1640,960,1394,2354,916,1368,2284,1.39,662,997,1659,659,996,1655
第一次募集及び分割前期募集,小計,28,32101,24715,23739,48454,23016,22861,45877,1.43,16424,15848,32272,16318,15791,32109
第一次募集及び分割前期募集,小計,27,31881,24505,23308,47813,22684,22452,45136,1.42,16158,15880,32038,16053,15831,31884
分割後期募集及び第二次募集・第三次募集,普通科,28,1035,671,597,1268,659,591,1250,1.21,401,460,861,399,459,858
分割後期募集及び第二次募集・第三次募集,普通科,27,1035,757,602,1359,723,581,1304,1.26,435,426,861,426,424,850
分割後期募集及び第二次募集・第三次募集,専門教育を主とする学科,28,195,157,24,181,154,23,177,0.91,98,17,115,98,17,115
分割後期募集及び第二次募集・第三次募集,専門教育を主とする学科,27,183,127,19,146,121,18,139,0.76,84,15,99,84,15,99
分割後期募集及び第二次募集・第三次募集,総合学科,28,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
分割後期募集及び第二次募集・第三次募集,総合学科,27,1,3,1,4,3,1,4,4.00,1,1,2,1,1,2
分割後期募集及び第二次募集・第三次募集,小計,28,1230,828,621,1449,813,614,1427,1.16,499,477,976,497,476,973
分割後期募集及び第二次募集・第三次募集,小計,27,1219,887,622,1509,847,600,1447,1.19,520,442,962,511,440,951
推薦、第一次募集・分割前期募集、分割後期募集・第二次募集・第三次募集計,,28,42050,37811,39706,77517,36074,38811,74885,1.78,21205,21148,42353,21097,21090,42187
推薦、第一次募集・分割前期募集、分割後期募集・第二次募集・第三次募集計,,27,41776,37860,39660,77520,35979,38770,74749,1.79,20866,21181,42047,20752,21130,41882
４月募集,普通科,28,148,4,6,10,4,6,10,0.07,4,6,10,4,6,10
４月募集,普通科,27,148,2,3,5,2,3,5,0.03,2,3,5,2,3,5
４月募集,専門教育を主とする学科,28,41,1,1,2,1,1,2,0.05,1,1,2,1,1,2
４月募集,専門教育を主とする学科,27,41,0,0,0,0,0,0,0.00,0,0,0,1,1,2
４月募集,総合学科,28,20,0,0,0,0,0,0,0.00,0,0,0,0,0,0
４月募集,総合学科,27,20,0,0,0,0,0,0,0.00,0,0,0,0,0,0
４月募集,小計,28,209,5,7,12,5,7,12,0.06,5,7,12,5,7,12
４月募集,小計,27,209,2,3,5,2,3,5,0.02,2,3,5,3,4,7
総計,,28,42259,37816,39713,77529,36079,38818,74897,1.77,21210,21155,42365,21102,21097,42199
総計,,27,41985,37862,39663,77525,35981,38773,74754,1.78,20868,21184,42052,20755,21134,41889
注）充足率（E/A×100）：平成28年100.33%、平成27年度100.26%,,,,,,,,,,,,,,,,
注）４月募集は含まない。,,,,,,,,,,,,,,,,
注1）募集人員は転勤者生徒特別枠、転入学者特別枠、在京外国人生徒対象並びに海外帰国生徒対象（現地校出身者）の９月募集及び国際バカロレアコースの９月募集を除いた数である。,,,,,,,,,,,,,,,,
注2）募集人員の総計欄は平成２７年１０月に決定された募集人員であるため、推薦、第一次募集・分割前期募集、分割後期募集・第二次募集の募集人員の合計とは一致しない。,,,,,,,,,,,,,,,,
注3）第一次募集の数は、普通科は、島しょ、コース制、単位制の高校、連携型入学者選抜、在京外国人生徒対象及び海外帰国生徒対象（帰国及び引揚）、専門教育を主とする学科は、連携型入学者選抜、在京外国人生徒対象、海外帰国生徒対象（帰国）及び国際バカロレアコースを含んだ数である。,,,,,,,,,,,,,,,,
