学校区分,学校数(校),設置学部,学級数,在籍者数,,,,,,,,,,,,
盲学校,4,幼稚部,9,24,,,,,,,,,,,,
盲学校,4,小学部,24,61,,,,,,,,,,,,
盲学校,4,中学部,12,42,,,,,,,,,,,,
盲学校,4,高等部,31,141,,,,,,,,,,,,
盲学校,4,小計,76,268,,,,,,,,,,,,
ろう学校,8,幼稚部,27,107,,,,,,,,,,,,
ろう学校,8,小学部,51,178,,,,,,,,,,,,
ろう学校,8,中学部,32,114,,,,,,,,,,,,
ろう学校,8,高等部,41,215,,,,,,,,,,,,
ろう学校,8,小計,151,614,,,,,,,,,,,,
養護学校肢体不自由養護学校,１４（うち２校は知的障害との併置）,小学部,280,898,,,,,,,,,,,,
養護学校肢体不自由養護学校,１４（うち３校は知的障害との併置）,中学部,152,488,,,,,,,,,,,,
養護学校肢体不自由養護学校,１４（うち４校は知的障害との併置）,高等部,154,536,,,,,,,,,,,,
養護学校肢体不自由養護学校,１４（うち５校は知的障害との併置）,小計,586,"1,922",,,,,,,,,,,,
養護学校知的障害養護学校,３０（うち２校は肢体不自由との併置）,小学部,352,"1,306",,,,,,,,,,,,
養護学校知的障害養護学校,３０（うち３校は肢体不自由との併置）,中学部,251,960,,,,,,,,,,,,
養護学校知的障害養護学校,３０（うち４校は肢体不自由との併置）,高等部,388,"2,321",,,,,,,,,,,,
養護学校知的障害養護学校,３０（うち５校は肢体不自由との併置）,小計,991,"4,587",,,,,,,,,,,,
養護学校病弱養護学校,2,小学部,11,35,,,,,,,,,,,,
養護学校病弱養護学校,2,中学部,11,47,,,,,,,,,,,,
養護学校病弱養護学校,2,小計,22,82,,,,,,,,,,,,
合計,58,―,"1,826","7,473",,,,,,,,,,,,
