区市町村名,生涯学習・社会教育主管課名主管課サイトへのリンク,電話
千代田区,地域振興部???生涯学習・スポーツ課,03-5211-3632
中央区,区民部??文化・生涯学習課,03-3546-5345
港区,【教委】生涯学習スポーツ振興課,03-3578-2743
新宿区,A：地域振興部???生涯学習スポーツ課,03-5273-4358
新宿区,B：【教委】教育支援課（社会教育）,03-3232-1078
文京区,アカデミー推進部???アカデミー推進課,03-5803-1307
台東区,【教委】生涯学習課,03-5246-5815
墨田区,【教委】地域教育支援課,03-5608-1433
江東区,【教委】地域教育課,03-3647-9676
品川区,文化スポーツ振興部???文化観光課,03-5742-6836
目黒区,【教委】生涯学習課,03-5722-9314
大田区,地域力推進部???地域力推進課,03-5744-1443
世田谷区,【教委】生涯学習・地域学校連携課,03-5432-2731
渋谷区,【教委】生涯学習振興課,03-3463-3049
中野区,区民部??文化・国際交流課,03-3228-5597
杉並区,【教委】生涯学習推進課,03-3312-2111（代表）
豊島区,文化商工部???学習・スポーツ課,03-4566-2761
北区,【教委】生涯学習・学校地域連携課,03-3908-9323
荒川区,地域文化スポーツ部???生涯学習課,03-3802-4574
板橋区,【教委】生涯学習課,03-3579-2633
練馬区,A：地域文化部???文化・生涯学習課,03-5984-1285
練馬区,B：【教委】教育総務課,03-5984-5609
足立区,地域のちから推進部???地域文化課,03-3880-5111
葛飾区,【教委】生涯学習課,03-5654-8474
江戸川区,文化共育部??健全育成課,03-5662-0300
八王子市,【教委】生涯学習政策課,042-620-7333
立川市,【教委】生涯学習推進センター,042-527-5757
武蔵野市,【教委】生涯学習スポーツ課,0422-60-1902
三鷹市,スポーツと文化部???生涯学習課,0422-45-1151（内2922）
青梅市,【教委】社会教育課,0428-22-1111（内2382）
府中市,文化スポーツ部???文化生涯学習課,042-335-4391
昭島市,【教委】社会教育課,042-544-5111（内2253）
調布市,A：生活文化スポーツ部???文化生涯学習課（生涯学習）,042-481-6881
調布市,B：【教委】社会教育課（社会教育）,042-481-7739
町田市,【教委】生涯学習総務課,042-724-2181
小金井市,【教委】生涯学習課,042-387-9879
小平市,【教委】地域学習支援課,042-346-9574
日野市,【教委】生涯学習課,042-585-8765
東村山市,【教委】社会教育課,042-393-5111（内3513）
国分寺市,【教委】社会教育課,042-574-4044
国立市,【教委】生涯学習課,042-576-2111（内323）
福生市,【教委】生涯学習推進課,042-551-1950
狛江市,A：市民生活部???地域活性課（生涯学習）,03-3430-1111（内2277）
狛江市,B：【教委】社会教育課（社会教育）,03-3430-1111（内2371）
東大和市,【教委】社会教育課,042-563-2111（内1555）
清瀬市,【教委】生涯学習スポーツ課,042-495-7001
東久留米市,【教委】生涯学習課,042-470-7784
武蔵村山市,【教委】文化振興課,042-565-1111（内652）
多摩市,A：くらしと文化部???文化・市民協働課（生涯学習）,042-338-6882
多摩市,B：【教委】教育振興課（社会教育）,042-338-6925
稲城市,【教委】生涯学習課,042-378-2111（内733）
羽村市,【教委】生涯学習総務課,042-555-1111（内363）
あきる野市,【教委】生涯学習推進課,042-558-1111（内3011）
西東京市,【教委】社会教育課,042-438-4079
瑞穂町,【教委】社会教育課,042-557-6695
日の出町,【教委】文化スポーツ課,042-597-0511（内541）
檜原村,【教委】教育課,042-598-1011（内226）
奥多摩町,【教委】教育課,0428-83-2246
大島町,【教委】教育文化課,04992-2-1453
利島村,教育委員会事務局,04992-9-0331
新島村,教育委員会,04992-5-0203
神津島村,教育委員会,04992-8-1222
三宅村,教育委員会,04994-5-0952
御蔵島村,教育委員会事務局,04994-8-2121
八丈町,【教委】教育課,04996-2-7071
青ヶ島村,教育委員会事務局,04996-9-0201
小笠原村,【教委】教育課,04998-2-3117
