,5そう思う永福,5そう思う青峰,4まあそう思う永福,4まあそう思う青峰,3あまり思わない永福,3あまり思わない青峰,2思わない永福,2思わない青峰,1どちらとも言えない永福,1どちらとも言えない青峰,
1介護士は、児童・生徒の状況を把握し、適切に対応していると思う。,11,8,22,7,8,1,1,1,10,2,
1介護士は、児童・生徒の状況を把握し、適切に対応していると思う。(%),21.6,44.4,42.3,38.9,15.4,5.6,1.9,5.6,19.2,11.1,
1介護士は、児童・生徒の状況を把握し、適切に対応していると思う。(合算)(%),26.8,26.8,40.8,40.8,12.7,12.7,2.8,2.8,19.2,19.2,
2教員と介護士との連携は図られていると思う。,11,8,21,7,8,0,2,1,10,3,
2教員と介護士との連携は図られていると思う。(%),21.6,44.4,40.4,38.9,15.4,0,3.8,5.6,19.2,16.7,
2教員と介護士との連携は図られていると思う。(合算)(%),26.8,26.8,39.4,39.4,11.3,11.3,4.2,4.2,18.3,18.3,
3介護士導入で人手が増えたことにより、児童・生徒の健康・安全面で目が行き届くようになったと思う。,14,10,19,3,4,1,4,1,11,4,
3介護士導入で人手が増えたことにより、児童・生徒の健康・安全面で目が行き届くようになったと思う。(%),26.9,55.6,36.5,16.7,7.7,5.6,7.7,5.6,21.2,22.2,
3介護士導入で人手が増えたことにより、児童・生徒の健康・安全面で目が行き届くようになったと思う。(合算)(%),33.8,33.8,31.0,31.0,7.0,7.0,7.0,7.0,21.1,21.1,
4介護士が校外学習や宿泊行事に参加できるようになって良かったと思う。,33,14,14,1,2,1,1,0,2,3,
4介護士が校外学習や宿泊行事に参加できるようになって良かったと思う。(%),63.4,77.8,26.9,5.6,3.8,5.6,1.9,0,3.8,16.7,
4介護士が校外学習や宿泊行事に参加できるようになって良かったと思う。(合算)(%),66.2,66.2,21.1,21.1,4.2,4.2,1.9,1.9,7.0,7.0,
5外部の看護師は、児童・生徒の健康状態や医療的ケアの状況を把握し、適切に対応していると思う。,10,,21,,2,,1,,18,,
5外部の看護師は、児童・生徒の健康状態や医療的ケアの状況を把握し、適切に対応していると思う。(%),19.2,,40.4,,3.8,,1.9,,34.6,,
5外部の看護師は、児童・生徒の健康状態や医療的ケアの状況を把握し、適切に対応していると思う。(合算)(%),19.2,19.2,40.4,40.4,3.8,3.8,1.9,1.9,34.6,34.6,
6学校看護師と外部の看護師との連携は図られていると思う。,11,,17,,2,,0,,22,,
6学校看護師と外部の看護師との連携は図られていると思う。(%),21.2,,32.7,,3.8,,0,,42.3,,
6学校看護師と外部の看護師との連携は図られていると思う。(合算)(%),21.2,21.2,32.7,32.7,3.8,3.8,0,0,42.3,42.3,
7看護師が校外学習や宿泊行事に参加できるようになって良かったと思う。,30,,16,,2,,0,,4,,
7看護師が校外学習や宿泊行事に参加できるようになって良かったと思う。(%),57.7,,30.8,,3.8,,0,,7.7,,
7看護師が校外学習や宿泊行事に参加できるようになって良かったと思う。(合算)(%),57.7,57.7,30.8,30.8,3.8,3.8,0,0,7.7,7.7,
