,,全校で実施（％）,校内の一部で実施（％）,実施していない（％）
図書委員が作成した「図書だより」等を活用した読書指導を行っている,合計,47.4,7.2,45.2
図書委員が作成した「図書だより」等を活用した読書指導を行っている,小学校,34.6,7.6,57.6
図書委員が作成した「図書だより」等を活用した読書指導を行っている,中学校,71.0,5.2,23.8
図書委員が作成した「図書だより」等を活用した読書指導を行っている,高校,51.9,10.2,37.2
図書委員による読み聞かせを実施している,合計,36.2,15.3,48.7
図書委員による読み聞かせを実施している,小学校,56.7,21.8,21.5
図書委員による読み聞かせを実施している,中学校,9.8,7.6,83.8
図書委員による読み聞かせを実施している,高校,1.8,3.2,94.0
学校図書館の利用について図書委員が資料を作成したり、説明したりしている,合計,59.5,15.0,25.8
学校図書館の利用について図書委員が資料を作成したり、説明したりしている,小学校,62.9,13.8,23.3
学校図書館の利用について図書委員が資料を作成したり、説明したりしている,中学校,64.3,14.0,22.7
学校図書館の利用について図書委員が資料を作成したり、説明したりしている,高校,31.6,23.2,44.6
学校図書館の利用状況に関する統計をとっている,合計,58.3,7.9,33.9
学校図書館の利用状況に関する統計をとっている,小学校,51.0,8.5,40.4
学校図書館の利用状況に関する統計をとっている,中学校,71.8,7.1,22.1
学校図書館の利用状況に関する統計をとっている,高校,61.1,7.0,30.9
