区市町村名,学校名,科名,募集人員（男女問わず）(A),最終応募人員／男,最終応募人員／女,最終応募人員／計,受検人員(B)／男,受検人員(B)／女,受検人員(B)／計,受検倍率(B/A)
港,芝商業,商業,161,58,93,151,57,92,149,0.93
江東,江東商業,総合ﾋﾞｼﾞﾈｽ,123,46,81,127,46,80,126,1.02
江東,第三商業,商業,168,54,160,214,54,159,213,1.27
渋谷,第一商業,商業,168,74,83,157,73,80,153,0.91
北,赤羽商業,商業,168,71,116,187,71,115,186,1.11
練馬,第四商業,商業,112,53,84,137,52,82,134,1.20
練馬,第四商業,情報処理,49,46,18,64,46,17,63,1.29
練馬,第四商業,計,161,99,102,201,98,99,197,1.22
足立,荒川商業,総合ﾋﾞｼﾞﾈｽ,147,59,120,179,57,118,175,1.19
葛飾,葛飾商業,商業,112,54,74,128,52,74,126,1.13
葛飾,葛飾商業,情報処理,49,41,19,60,40,19,59,1.20
葛飾,葛飾商業,計,161,95,93,188,92,93,185,1.15
国立,第五商業,商業,168,88,162,250,86,161,247,1.47
あきる野,五日市,商業,56,21,40,61,20,40,60,1.07
商業計,,,1481,665,1050,1715,654,1037,1691,1.14
