,,全校で実施（％）,校内の一部で実施（％）,実施していない（％）
公共図書館から図書資料の団体貸出しを行っている,合計,51.3,24.8,23.8
公共図書館から図書資料の団体貸出しを行っている,小学校,67.3,26.4,6.3
公共図書館から図書資料の団体貸出しを行っている,中学校,31.9,26.2,42.1
公共図書館から図書資料の団体貸出しを行っている,高校,21.8,14.0,63.5
公共図書館の担当者に学校を訪問してもらい、読み聞かせやブックトークを行ってもらっている,合計,17.4,23.5,59.3
公共図書館の担当者に学校を訪問してもらい、読み聞かせやブックトークを行ってもらっている,小学校,25.4,33.4,41.2
公共図書館の担当者に学校を訪問してもらい、読み聞かせやブックトークを行ってもらっている,中学校,7.7,11.7,81.9
公共図書館の担当者に学校を訪問してもらい、読み聞かせやブックトークを行ってもらっている,高校,2.8,4.9,91.2
公共図書館のレファレンス・サービスを利用している,合計,21.6,31.4,47.3
公共図書館のレファレンス・サービスを利用している,小学校,27.1,35.9,37.0
公共図書館のレファレンス・サービスを利用している,中学校,15.0,25.1,61.1
公共図書館のレファレンス・サービスを利用している,高校,11.2,24.9,63.2
インターネット等を活用して公共図書館の蔵書に関する情報を得ている,合計,23.6,34.6,42.1
インターネット等を活用して公共図書館の蔵書に関する情報を得ている,小学校,23.3,36.5,40.2
インターネット等を活用して公共図書館の蔵書に関する情報を得ている,中学校,24.1,30.3,46.8
インターネット等を活用して公共図書館の蔵書に関する情報を得ている,高校,23.9,35.8,39.6
