区市町村名,学校名,募集区分,年度（平成）,募集人員／男,募集人員／女,募集人員／計,合格人員／男,合格人員／女,合格人員／計,入学手続人員／男,入学手続人員／女,入学手続人員／計
文京,小石川中等教育,一般枠募集,29,80,80,160,80,80,160,71,60,131
文京,小石川中等教育,一般枠募集,28,80,80,160,80,80,160,67,65,132
台東,白鴎高等学校附属,一般枠募集,29,78,73,151,78,73,151,77,70,147
台東,白鴎高等学校附属,一般枠募集,28,76,72,148,76,72,148,75,69,144
墨田,両国高等学校附属,一般枠募集,29,60,60,120,60,60,120,52,57,109
墨田,両国高等学校附属,一般枠募集,28,60,60,120,60,60,120,50,58,108
目黒,桜修館中等教育,一般枠募集,29,80,80,160,80,80,160,76,72,148
目黒,桜修館中等教育,一般枠募集,28,80,80,160,80,80,160,76,67,143
中野,富士高等学校附属,一般枠募集,29,60,60,120,60,60,120,60,60,120
中野,富士高等学校附属,一般枠募集,28,60,60,120,60,60,120,57,57,114
練馬,大泉高等学校附属,一般枠募集,29,60,60,120,60,60,120,58,57,115
練馬,大泉高等学校附属,一般枠募集,28,60,60,120,60,60,120,58,58,116
八王子,南多摩中等教育,一般枠募集,29,80,80,160,80,80,160,80,77,157
八王子,南多摩中等教育,一般枠募集,28,80,80,160,80,80,160,75,79,154
立川,立川国際中等教育,一般枠募集,29,65,65,130,65,65,130,64,62,126
立川,立川国際中等教育,一般枠募集,28,65,65,130,65,65,130,65,62,127
武蔵野,武蔵高等学校附属,一般枠募集,29,60,60,120,60,60,120,55,56,111
武蔵野,武蔵高等学校附属,一般枠募集,28,60,60,120,60,60,120,55,53,108
三鷹,三鷹中等教育,一般枠募集,29,80,80,160,80,80,160,79,79,158
三鷹,三鷹中等教育,一般枠募集,28,80,80,160,80,80,160,76,74,150
合計,,,29,703,698,1401,703,698,1401,672,650,1322
合計,,,28,701,697,1398,701,697,1398,654,642,1296
注）入学辞退者が出たため、募集人員に満たない人数が繰上げ合格者となる。,,,,,,,,,,,,
