A自治体名(障害者サービス担当館）,B蔵書数録音資料テープ図書作成ﾀｲﾄﾙ,B蔵書数録音資料テープ図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料テープ図書購入ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌作成ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌寄贈ﾀｲﾄﾙ,B蔵書数録音資料テープ雑誌購入ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書作成ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料DAISY図書購入ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書作成ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書寄贈ﾀｲﾄﾙ,B蔵書数録音資料ﾏﾙﾁﾒﾃﾞｨｱDAISY図書購入ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌作成ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌寄贈ﾀｲﾄﾙ,B蔵書数録音資料DAISY雑誌購入ﾀｲﾄﾙ,B蔵書数録音資料録音資料合計ﾀｲﾄﾙ,B蔵書数点字資料点字図書作成ﾀｲﾄﾙ,B蔵書数点字資料点字図書寄贈ﾀｲﾄﾙ,B蔵書数点字資料点字図書購入ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌作成ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌寄贈ﾀｲﾄﾙ,B蔵書数点字資料点字雑誌購入ﾀｲﾄﾙ,B蔵書数点字資料点字資料合計ﾀｲﾄﾙ,B蔵書数拡大写本ﾀｲﾄﾙ,B蔵書数点字絵本ﾀｲﾄﾙ,B蔵書数さわる絵本ﾀｲﾄﾙ,B蔵書数その他ﾀｲﾄﾙ,C利用者登録者数（人） ,C利用者登録者数内訳登録者内数（視覚障害以外） ,C利用者登録者数内訳登録者内数（視覚障害以外の読書困難者）,D職員数専任（正規職員）（人）,D職員数兼任（正規・非常勤職員）（人）,D職員数専任（委託・指定管理職員）（人）,D職員数兼任（委託・指定管理職員）（人）,D職員数アルバイト（人）,D職員数その他（人）,E講習会等実施回数音訳講習会,E講習会等実施回数研修会,E講習会等実施回数展示会,E講習会等実施回数機器操作講習会,E講習会等実施回数担当者会,E講習会等実施回数その他,F貸出機器台数点字プリンター,F貸出機器台数デイジー再生用,F貸出機器台数その他,F貸出機器台数デイジー再生機器館外貸出サービス実施,G対面音訳利用状況利用者延人数,G対面音訳利用状況利用時間,G対面音訳利用状況音訳者延人数,G対面音訳利用状況対面実施館数,G対面音訳音訳者職員(人),G対面音訳音訳者職員以外(人),H資料の自館製作録音資料音訳者職員(人),H資料の自館製作録音資料音訳者職員以外(人),H資料の自館製作録音資料校正者職員(人),H資料の自館製作録音資料校正者職員以外(人),H資料の自館製作録音資料ＤＡＩＳＹ編集者職員(人),H資料の自館製作録音資料ＤＡＩＳＹ編集者職員以外(人),H資料の自館製作録音資料ＤＡＩＳＹ校正者職員(人),H資料の自館製作録音資料ＤＡＩＳＹ校正者職員以外(人),H資料の自館製作点訳資料点訳者職員(人),H資料の自館製作点訳資料点訳者職員以外(人),H資料の自館製作点訳資料校正者職員(人),H資料の自館製作点訳資料校正者職員以外(人),I貸出・相互貸借個人貸出録音資料テープﾀｲﾄﾙ,I貸出・相互貸借個人貸出録音資料DAISYﾀｲﾄﾙ,I貸出・相互貸借個人貸出録音資料マルチメディアDAISYﾀｲﾄﾙ,I貸出・相互貸借個人貸出点字資料ﾀｲﾄﾙ,I貸出・相互貸借個人貸出その他ﾀｲﾄﾙ,I貸出・相互貸借個人貸出個人貸出合計ﾀｲﾄﾙ,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）テープ,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）DAISY,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）マルチメディアDAISY,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）点字,I貸出・相互貸借相互貸借貸出資料別（ﾀｲﾄﾙ）その他,I貸出・相互貸借相互貸借貸出貸出合計（タイトル）,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）テープ,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）DAISY,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）マルチメディアDAISY,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）点字,I貸出・相互貸借相互貸借借受資料別（ﾀｲﾄﾙ）その他,I貸出・相互貸借相互貸借借受借受合計（タイトル）,J謝礼等対面音訳音訳者単価（円）,J謝礼等資料の自館製作録音資料音訳者単価（円）,J謝礼等資料の自館製作録音資料校正者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ編集者単価（円）,J謝礼等資料の自館製作録音資料ＤＡＩＳＹ校正者単価（円）,J謝礼等資料の自館製作点訳資料点訳者単価（円）,J謝礼等資料の自館製作点訳資料校正者単価（円）,J謝礼等宅配協力者単価（円）,K負担金サピエ会費の有無,L障害者サービス予算（千円）,備　考,,,,,,,
東京都立,"4,453",84,"2,261",1,25,0,"3,645",48,317,31,104,98,2,17,1,"11,087",385,686,60,0,17,4,"1,152",-,?,?,-,380,14,5,4,3,0,2,5,0,1,1,0,0,1,0,0,4,0,有,260,684,282,2,1,94,0,42,0,13,0,9,-,*,0,9,-,*,233,"6,379",0,86,19,"6,717",102,673,0,8,4,787,2,"4,089",0,15,0,"4,106",1200/h,1500/h,3000/h,1200/h,-,285/枚(両面),-,-,2,"19,870","新型コロナウイルス感染拡大防止のため、令和2年2月29日～同年6月21日、同年12月28日～令和3年3月31日対面音訳サービスを休止。
令和2年度の対面音訳の利用状況は約6カ月半の実績である。",,,,,,,
千代田区　　　,0,6,120,0,0,0,39,856,0,0,0,0,0,0,0,"1,021",0,15,0,0,48,0,63,0,1,33,30,12,8,4,0,0,2,6,0,0,0,0,0,0,0,0,0,9,0,有,0,0,0,0,0,0,0,0,0,0,0,?,0,?,0,0,0,0,0,589,0,16,18,623,0,0,0,0,18,18,0,0,0,0,0,0,1000/２h,－,－,－,－,－,－,－,無,0,,,,,,,,
中央区（京橋）,62,0,201,0,0,0,49,0,97,0,0,0,0,0,0,409,0,15,0,0,0,22,37,0,29,1,487,399,?,?,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,有,0,0,0,0,0,9,0,9,0,9,0,9,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000/回,１０００/h,-,-,-,2000/回,-,-,有,537,,,,,,,,
港区,742,313,"2,408",0,0,0,488,72,136,0,93,0,0,0,0,"4,252",0,0,0,0,0,0,0,0,19,58,0,35,23,12,0,3,0,0,0,0,0,0,1,0,0,0,0,12,0,有,0,0,0,0,0,12,0,4,0,4,0,7,0,4,0,0,0,0,1,206,0,0,0,207,0,403,0,0,0,403,1,206,0,0,0,207,800/ｈ,1500/ｈ,800/ｈ,400/ｈ,800/ｈ,-,-,-,有,"1,024",,,,,,,,
新宿区（戸山）,563,0,115,0,0,0,664,94,168,0,67,45,35,143,0,"1,894",0,45,0,0,49,0,94,7,23,4,44,124,11,4,1,0,3,0,0,0,0,2,1,3,1,0,0,23,0,有,37,51,37,1,2,6,0,29,0,14,0,31,2,15,0,0,0,0,1,"1,631",17,0,157,"1,806",7,606,0,0,2,615,1,"1,603",0,0,8,"1,612",2000/回,1500/h,1000/h,1000/h,800/h,2000/回,－,1000/回,有,"2,229","・【Ｉ　貸出・相互貸借】の個人貸出数は、テキストＤＡＩＳＹ、テキストデータ利用数を”その他”に計上。
・国立国会図書館の視覚障害者等用データ送信サービスに参加し、令和2年度分年間ダウンロード数は合計8871回。テキストＤＡＩＳＹは全8タイトルで59回。
・点訳謝礼は購入した市販音楽ＣＤに貼り付ける点字シールの製作のみ、時間単位で計算。2000/1回(2ｈ)。",,,,,,,
文京区,20,0,218,0,0,0,96,0,454,0,0,0,0,0,0,788,223,*,0,0,0,0,223,0,124,0,0,696,?,?,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,無,1,1,0,1,1,0,0,21,0,＊,0,＊,0,＊,0,10,0,＊,168,290,-,54,0,512,174,14,0,0,0,188,0,124,0,0,-,124,―,１００００／　　　１タイトル,＊,＊,＊,25/枚,＊,―,有,"1,429",,,,,,,,
台東区,502,*,*,0,0,0,518,*,*,0,4,68,0,0,0,"1,092",289,*,*,0,0,0,289,0,0,62,184,48,0,11,0,5,0,10,0,0,0,0,0,0,0,0,0,55,0,有,6,12,12,1,0,15,0,15,0,15,0,15,0,15,0,0,0,0,1,338,10,1,150,500,0,0,0,0,0,0,0,222,0,0,0,222,700/h,900/h,240/h,240/h,－,－,－,－,有,"1,371",,,,,,,,
墨田区,61,*,*,0,0,0,0,109,0,0,319,0,0,0,0,489,266,*,0,0,0,0,266,921,0,10,0,222,*,*,1,4,0,13,0,0,1,0,1,1,0,0,2,5,1,有,340,275,338,4,3,32,3,38,1,6,1,8,1,6,1,10,0,0,118,"2,562",*,351,"4,055","7,086",0,"1,284",*,44,0,"1,328",35,"1,378",*,152,0,"1,565",750/h,750/h,750/h,750/h,750/h,50/枚,50/枚,0,有,267,,,,,,,,
江東区,"1,702",50,16,0,‐,‐,370,44,139,‐,35,‐,0,‐,‐,"2,356",282,*,*,‐,‐,2,284,‐,?,？,‐,157,3,0,0,6,3,15,0,0,1,-,1,1,0,0,0,13,5,有,35,69,35,3,0,67,‐,67,‐,？,‐,？,‐,？,‐,34,‐,？,534,"1,875",‐,7,‐,"2,416",2,4,‐,0,‐,6,119,499,‐,2,‐,620,1080/h,"2750/90m(テープ)
220/10m（DAISY）",850/90ｍ,90/10ｍ,90/10ｍ,100/枚,*,-,有,"5,190",予算には、宅配サービス(来館困難者への配本サービス)のための予算を含む。,,,,,,,
品川区,579,75,898,0,0,0,633,28,676,0,35,157,0,0,0,"3,081",174,82,*,0,0,2,258,55,0,797,,97,28,6,1,1,0,8,0,0,0,0,1,0,6,1,0,8,2,有,46,90,48,1,0,21,0,39,0,39,2,39,2,39,0,15,0,15,0,"6,013",0,721,0,"6,734",1,93,0,1,40,135,33,"3,592",0,0,0,"3,625",,,,15000/タイトル,3000/タイトル,50/ペ-ジ,,,,,,,,,,,,
