区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
墨田,橘,産業科,1,1,1,1,1,35,"8/3,4",8/5,8/5,○,,
八王子,八王子桑志※,デザイン分野,1,,,1,1,6,"8/9,10",8/12,8/12,,,
八王子,八王子桑志※,クラフト分野,,,,,,2,"8/9,10",8/12,8/12,,,
八王子,八王子桑志※,ビジネス情報分野,,1,1,1,,5,"8/9,10",8/12,8/12,,,
産業科計,,,2,2,2,3,2,48,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）産業科の選抜は、国語・数学・英語・専門教科の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,,
都立八王子桑志高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,,
,
2596,ニュー政治経済研究会,千代田区九段北４－３－２６,139.739860,35.694539,座標系（JGD2011）,生貝健二,坂本麻耶,H22.1.7,2,参,
2597,ぬかが和子後援会,足立区伊興１－５－３,139.784562,35.788041,座標系（JGD2011）,横川昭,望月みさ子,H7.2.16,,,
2598,ぬのや和代後援会,青梅市西分町１－１１６－３,139.265428,35.789548,座標系（JGD2011）,布谷和代,武石千鶴子,H31.4.8,,,有
2599,根岸としひこ後援会,東大和市向原６－１４０４－７,139.435350,35.735716,座標系（JGD2011）,渡辺治男,根岸荘三,H23.1.28,,,
2600,根岸みつひろ後援会,豊島区南大塚２－２５－５,139.730520,35.726956,座標系（JGD2011）,根岸光洋,原清美,H18.9.25,,,有
2601,Ｎｅｘｔの会,中野区本町２－２９－５,139.682029,35.695095,座標系（JGD2011）,高橋一実,宮島茂明,H19.6.15,,,
2602,熱党,世田谷区下馬６－３１－１０,139.677948,35.631223,座標系（JGD2011）,中松義郎,宮城調二郎,H26.2.6,,,
2603,ねっとわーく東京,町田市成瀬が丘１－１４－１２,139.475371,35.532524,座標系（JGD2011）,吉田勉,川崎忠夫,H20.12.24,,,
2604,根津まちづくり政策会議,文京区根津２－３４－２１,139.763887,35.720711,座標系（JGD2011）,澤田圭司,澤田愛樹,H31.1.24,,,
2605,根本二郎後援会,新宿区新宿１－１９－６,139.712392,35.689637,座標系（JGD2011）,根本二郎,落合清治,H12.12.22,,,有
