区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）,１日目の応募人員／男,１日目の応募人員／女,１日目の応募人員／計,１日目の応募倍率
港,六本木,総合学科１～３部,１学年相当,140,110,143,253,1.81
港,六本木,総合学科１～３部,２学年相当以上,15,2,1,3,0.20
港,六本木,総合学科１～３部,計,155,112,144,256,1.65
江東,大江戸,総合学科１～３部,１学年相当,140,152,131,283,2.02
江東,大江戸,総合学科１～３部,２学年相当以上,15,5,1,6,0.40
江東,大江戸,総合学科１～３部,計,155,157,132,289,1.86
世田谷,世田谷泉,総合学科１～３部,１学年相当,170,121,129,250,1.47
世田谷,世田谷泉,総合学科１～３部,２学年相当以上,15,1,1,2,0.13
世田谷,世田谷泉,総合学科１～３部,計,185,122,130,252,1.36
中野,稔ヶ丘,総合学科１～３部,１学年相当,200,190,136,326,1.63
中野,稔ヶ丘,総合学科１～３部,２学年相当以上,15,3,2,5,0.33
中野,稔ヶ丘,総合学科１～３部,計,215,193,138,331,1.54
北,桐ヶ丘,総合学科１～３部,１学年相当,140,80,88,168,1.20
北,桐ヶ丘,総合学科１～３部,２学年相当以上,15,1,1,2,0.13
北,桐ヶ丘,総合学科１～３部,計,155,81,89,170,1.10
八王子,八王子拓真,普通科１・２部,１学年相当,60,40,34,74,1.23
八王子,八王子拓真,普通科１・２部,計,60,40,34,74,1.23
チャレンジスクール及びチャレンジ枠計,,,１学年相当計,850,693,661,1354,1.59
チャレンジスクール及びチャレンジ枠計,,,２学年相当以上計,75,12,6,18,0.24
チャレンジスクール及びチャレンジ枠計,,,計,925,705,667,1372,1.48
