区市町村名,学校名,注）,科名,注）,募集人員（男女問わず）,応募人員／男,応募人員／女,応募人員／計,合格人員／男,合格人員／女,合格人員／計
港,芝商業,※,商業,,42,32,82,114,9,33,42
江東,江東商業,,総合ﾋﾞｼﾞﾈｽ,,52,18,70,88,8,44,52
江東,第三商業,,商業,,42,17,116,133,2,40,42
渋谷,第一商業,,商業,,42,26,54,80,9,33,42
北,赤羽商業,,商業,,42,29,59,88,10,32,42
練馬,第四商業,※,商業,※,28,34,67,101,9,19,28
練馬,第四商業,※,情報処理,,21,32,12,44,11,10,21
練馬,第四商業,※,計,,49,66,79,145,20,29,49
足立,荒川商業,※,総合ﾋﾞｼﾞﾈｽ,,63,50,84,134,20,43,63
葛飾,葛飾商業,,商業,,28,17,59,76,2,26,28
葛飾,葛飾商業,,情報処理,,21,20,18,38,10,11,21
葛飾,葛飾商業,,計,,49,37,77,114,12,37,49
国立,第五商業,※,商業,,42,42,131,173,6,36,42
あきる野,五日市,※,商業,,14,17,19,36,8,6,14
商業計,,,,,437,334,771,1105,104,333,437
注）※印の学校は文化・スポーツ等特別推薦の実施校であり、募集人員及び応募人員については、一般推薦と特別推薦の合計数である。合格人員については、一般推薦と文化・スポーツ等特別推薦の重複はない。また、特別推薦実施校のうち科名に※印がついている学校は、その学科のみ特別推薦の募集を行うものである。,,,,,,,,,,,
