区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
中央,晴海総合,総合学科,2,2,2,4,2,4,"8/9,10",8/12,8/12,○,,
大田,つばさ総合,総合学科,2,2,2,1,2,3,"8/3,4",8/5,8/5,○,,
世田谷,世田谷総合,総合学科,2,2,2,3,2,4,"8/9,10",8/12,8/12,,,
杉並,杉並総合,総合学科,2,2,2,1,2,3,"8/9,10",8/12,8/12,○,○,
北,王子総合,総合学科,2,2,2,1,2,1,"8/3,4",8/5,8/5,○,,
葛飾,葛飾総合,総合学科,2,2,2,2,2,12,"8/3,4",8/5,8/5,,○,
青梅,青梅総合,総合学科,2,2,2,3,2,6,"8/3,4",8/5,8/5,,,
町田,町田総合,総合学科,2,2,2,2,2,5,"8/9,10",8/12,8/12,,,
東久留米,東久留米総合,総合学科,2,2,2,5,2,10,"8/9,10",8/12,8/12,,,
稲城,若葉総合,総合学科,2,2,2,4,1,1,"8/3,4",8/5,8/5,○,,
総合学科計,,,20,20,20,26,19,49,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）総合学科の選抜は、国語・数学・英語の学力検査及び面接により行う。,,,,,,,,,,,,,,
