区市町村名,学校名,募集人員（男女問わず）（A）,最終応募人員（２月８日）（B）／男,最終応募人員（２月８日）（B）／男／内成人,最終応募人員（２月８日）（B）／女,最終応募人員（２月８日）（B）／女／内成人,最終応募人員（２月８日）（B）／計,最終応募人員（２月８日）（B）／計／内成人,最終応募倍率(B/A)
品川,大崎,30,3,0,2,0,5,0,0.17
品川,小山台,30,6,0,8,0,14,0,0.47
大田,大森,30,12,0,6,0,18,0,0.60
大田,雪谷,30,1,0,0,0,1,0,0.03
世田谷,桜町,30,1,0,3,0,4,0,0.13
世田谷,松原,30,3,0,2,0,5,0,0.17
豊島,豊島,60,14,1,11,1,25,2,0.42
板橋,大山,30,9,0,3,0,12,0,0.40
足立,足立,90,14,1,11,0,25,1,0.28
足立,江北,60,7,1,4,1,11,2,0.18
葛飾,南葛飾,60,11,0,9,0,20,0,0.33
葛飾,葛飾商業,30,2,0,2,0,4,0,0.13
江戸川,江戸川,60,27,0,11,0,38,0,0.63
江戸川,葛西南,60,9,1,10,0,19,1,0.32
区部計,,630,119,4,82,2,201,6,0.32
立川,立川,90,28,0,11,0,39,0,0.43
府中,農業,60,9,0,4,1,13,1,0.22
調布,神代,30,4,0,4,0,8,0,0.27
町田,町田,90,32,0,13,0,45,0,0.50
福生,福生,30,12,1,5,0,17,1,0.57
多摩部計,,300,85,1,37,1,122,2,0.41
島しょを除く計,,930,204,5,119,3,323,8,0.35
大島,大島,30,0,0,1,0,1,0,0.03
八丈,八丈,30,0,0,0,0,0,0,0.00
島しょ計,,60,0,0,1,0,1,0,0.02
普通科合計,,990,204,5,120,3,324,8,0.33
