学科・区分,,,校数,延学校数,年度（平成）,募集人員(A)／男,募集人員(A)／女,募集人員(A)／計,合格人員(Ｂ)／男,合格人員(Ｂ)／女,合格人員(Ｂ)／計,入学手続人員(C)／男,入学手続人員(C)／女,入学手続人員(C)／計,"過不足人員
(C-A)",,
"全
日
制","普
通
科",普通科(ｺｰｽ、単位制、島しょ、海外帰国生徒対象以外)計,106,,29,11422,10502,21924,11367,10890,22257,11296,10861,22157,233,,
"全
日
制","普
通
科",普通科(ｺｰｽ、単位制、島しょ、海外帰国生徒対象以外)計,106,,28,11468,10434,21902,11360,10915,22275,11288,10874,22162,260,,
"全
日
制","普
通
科",普通科(島しょ)計,6,,29,175,175,350,64,48,112,64,48,112,-238,,
"全
日
制","普
通
科",普通科(島しょ)計,6,,28,175,175,350,50,67,117,50,67,117,-233,,
"全
日
制","普
通
科",普通科(ｺｰｽ、単位制、海外帰国生徒対象以外及び島しょ）計,112,,29,11597,10677,22274,11431,10938,22369,11360,10909,22269,-5,,
"全
日
制","普
通
科",普通科(ｺｰｽ、単位制、海外帰国生徒対象以外及び島しょ）計,112,,28,11643,10609,22252,11410,10982,22392,11338,10941,22279,27,,
"全
日
制","普
通
科",ｺｰｽ制計,1,6,29,,,308,93,222,315,93,220,313,5,,
"全
日
制","普
通
科",ｺｰｽ制計,1,6,28,,,308,82,233,315,82,233,315,7,,
"全
日
制","普
通
科",単位制計,11,,29,,,2242,938,1333,2271,927,1330,2257,15,,
"全
日
制","普
通
科",単位制計,11,,28,,,2210,930,1313,2243,928,1310,2238,28,,
"全
日
制","普
通
科",普通科合計,124,,29,,,24824,12462,12493,24955,12380,12459,24839,15,,
"全
日
制","普
通
科",普通科合計,124,,28,,,24770,12422,12528,24950,12348,12484,24832,62,,
"全
日
制","専
門
学
科",商業科,9,10,29,,,1481,562,909,1471,560,909,1469,-12,,
"全
日
制","専
門
学
科",商業科,9,10,28,,,1484,606,899,1505,605,898,1503,19,,
"全
日
制","専
門
学
科",ビジネスコミュニケーション科,2,,29,,,294,125,173,298,125,173,298,4,,
"全
日
制","専
門
学
科",ビジネスコミュニケーション科,2,,28,,,294,111,185,296,111,184,295,1,,
"全
日
制","専
門
学
科",工業科(単位制以外),15,,29,,,1816,1609,223,1832,1600,222,1822,6,,
"全
日
制","専
門
学
科",工業科(単位制以外),15,,28,,,1814,1584,233,1817,1574,233,1807,-7,,
"全
日
制","専
門
学
科",工業科（単位制）,1,,29,,,149,129,25,154,129,25,154,5,,
"全
日
制","専
門
学
科",工業科（単位制）,1,,28,,,149,120,24,144,120,24,144,-5,,
"全
日
制","専
門
学
科",科学技術科,2,,29,,,294,269,46,315,257,41,298,4,,
"全
日
制","専
門
学
科",科学技術科,2,,28,,,294,267,49,316,255,48,303,9,,
"全
日
制","専
門
学
科",農業科,5,,29,,,446,185,274,459,184,273,457,11,,
"全
日
制","専
門
学
科",農業科,5,,28,,,446,187,274,461,187,272,459,13,,
"全
日
制","専
門
学
科",家庭科(単位制以外),0,2,29,,,99,7,94,101,7,94,101,2,,
"全
日
制","専
門
学
科",家庭科(単位制以外),0,2,28,,,99,16,82,98,16,82,98,-1,,
"全
日
制","専
門
学
科",家庭科（単位制）,0,1,29,,,49,0,51,51,0,51,51,2,,
"全
日
制","専
門
学
科",家庭科（単位制）,0,1,28,,,49,0,49,49,0,49,49,0,,
"全
日
制","専
門
学
科",福祉科,0,1,29,,,25,10,15,25,10,15,25,0,,
"全
日
制","専
門
学
科",福祉科,0,1,28,,,25,12,13,25,12,13,25,0,,
"全
日
制","専
門
学
科",芸術科,1,,29,,,112,20,97,117,20,97,117,5,,
"全
日
制","専
門
学
科",芸術科,1,,28,,,112,17,99,116,16,98,114,2,,
"全
日
制","専
門
学
科",体育科,0,2,29,,,76,51,27,78,51,27,78,2,,
"全
日
制","専
門
学
科",体育科,0,2,28,,,76,60,18,78,60,18,78,2,,
"全
日
制","専
門
学
科",国際科,2,,29,,,154,68,94,162,68,93,161,7,,
"全
日
制","専
門
学
科",国際科,2,,28,,,154,59,95,154,59,94,153,-1,,
"全
日
制","専
門
学
科",併合科,0,3,29,,,105,13,6,19,13,6,19,-86,,
"全
日
制","専
門
学
科",併合科,0,3,28,,,105,10,12,22,10,12,22,-83,,
"全
日
制","専
門
学
科",産業科,2,,29,,,295,144,159,303,142,159,301,6,,
"全
日
制","専
門
学
科",産業科,2,,28,,,295,157,147,304,154,146,300,5,,
"全
日
制","専
門
学
科",専門学科合計,39,,29,,,5395,3192,2193,5385,3166,2185,5351,-44,,
"全
日
制","専
門
学
科",専門学科合計,39,,28,,,5396,3206,2179,5385,3179,2171,5350,-46,,
"全
日
制",総合学科,,10,,29,,,1668,637,1053,1690,634,1050,1684,16,,
"全
日
制",総合学科,,10,,28,,,1668,682,1009,1691,680,1007,1687,19,,
"全
日
制",全日制合計,,173,,29,,,31887,16291,15739,32030,16180,15694,31874,-13,,
"全
日
制",全日制合計,,173,,28,,,31834,16310,15716,32026,16207,15662,31869,35,,
一橋・浅草・荻窪・八王子拓真・砂川高校（定時制課程単位制）,,,5,,29,,,579,194,315,509,192,315,507,-72,,
一橋・浅草・荻窪・八王子拓真・砂川高校（定時制課程単位制）,,,5,,28,,,579,240,270,510,239,269,508,-71,,
定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,,,5,6,29,,,925,408,491,899,405,488,893,-32,,
定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,,,5,6,28,,,925,398,498,896,396,495,891,-34,,
注）募集人員は転勤者生徒特別枠、転入学者特別枠、推薦入学手続者、連携型入学手続者、在京外国人生徒対象、国際バカロレアコース、海外帰国生徒対象（帰国生徒対象・引揚生徒対象）及び分割後期募集の人員を除いた数である。,,,,,,,,,,,,,,,,,
注）校数については複数の学科を併設している学校は、その学校の主たる学科欄において算入した。「延学校数」欄は併設校を含めた延学校数である。,,,,,,,,,,,,,,,,,
注）定時制課程単位制総合学科（チャレンジスクール）は、六本木高校、大江戸高校、世田谷泉高校、稔ヶ丘高校及び桐ヶ丘高校をいう。また、定時制課程単位制普通科（チャレンジ枠）は、八王子拓真高校（チャレンジ枠）をいう。,,,,,,,,,,,,,,,,,
注）次の学科・区分の募集人員は男女を問わない。普通科のコース制計、単位制計、専門学科、総合学科、一橋・浅草・荻窪・八王子拓真・砂川高校（定時制課程単位制）、定時制課程単位制総合学科（チャレンジスクール）及び定時制課程単位制普通科（チャレンジ枠）,,,,,,,,,,,,,,,,,
