卒業年度,校種,卒業者計,進学者(%),専修学校等入学者(％),社会福祉施設入所者(%),就業者(%),在家庭(%),その他(%),,,,,,
10,盲,20,15.0,10.0,55.0,15.0,0.0,5.0,,,,,,
10,ろう,33,63.6,9.1,3.0,15.2,6.1,3.0,,,,,,
10,肢体不自由,129,0.8,3.9,86.8,2.3,5.4,0.8,,,,,,
10,知的障害,696,0.0,0.9,65.5,30.3,2.6,0.7,,,,,,
10,合計,878,,,,,,,,,,,,
11,盲,19,31.6,15.8,36.8,5.3,10.5,0.0,,,,,,
11,ろう,50,72.0,2.0,10.0,14.0,2.0,0.0,,,,,,
11,肢体不自由,174,1.1,4.0,90.3,0.6,2.3,1.7,,,,,,
11,知的障害,705,0.0,0.7,64.4,31.7,2.8,0.4,,,,,,
11,合計,948,,,,,,,,,,,,
12,盲,11,18.2,9.1,45.4,18.2,9.1,0.0,,,,,,
12,ろう,61,73.8,4.9,8.2,9.9,1.6,1.6,,,,,,
12,肢体不自由,179,1.7,1.1,87.7,1.7,6.1,1.7,,,,,,
12,知的障害,649,0.0,1.1,64.9,30.5,1.8,1.7,,,,,,
12,合計,900,,,,,,,,,,,,
13,盲,22,54.6,13.6,22.7,0.0,9.1,0.0,,,,,,
13,ろう,55,69.1,14.5,9.1,5.5,1.8,0.0,,,,,,
13,肢体不自由,171,1.2,1.7,92.4,0.6,4.1,0.0,,,,,,
13,知的障害,709,0.7,3.2,64.3,30.2,1.3,0.3,,,,,,
13,合計,957,,,,,,,,,,,,
14,盲,25,44.0,16.0,28.0,4.0,8.0,0.0,,,,,,
14,ろう,55,72.8,9.1,12.7,3.6,1.8,0.0,,,,,,
14,肢体不自由,187,1.6,3.2,89.9,0.5,3.7,1.1,,,,,,
14,知的障害,702,0.6,1.3,66.2,30.1,1.4,0.4,,,,,,
14,合計,969,,,,,,,,,,,,
