区市町村名,学校名,募集人員／男,募集人員／女,募集人員／計,２日目までの応募人員／男,２日目までの応募人員／女,２日目までの応募人員／計,２日目までの応募倍率／男,２日目までの応募倍率／女,２日目までの応募倍率／計
千代田,日比谷,132,122,254,328,262,590,2.48,2.15,2.32
港,三田,124,114,238,254,251,505,2.05,2.20,2.12
新宿,戸山,149,136,285,290,228,518,1.95,1.68,1.82
文京,竹早,93,85,178,190,215,405,2.04,2.53,2.28
文京,向丘,116,106,222,214,240,454,1.84,2.26,2.05
台東,上野,132,121,253,249,191,440,1.89,1.58,1.74
台東,白鴎,31,31,62,48,45,93,1.55,1.45,1.50
墨田,日本橋,102,93,195,138,178,316,1.35,1.91,1.62
墨田,本所,106,97,203,187,177,364,1.76,1.82,1.79
墨田,両国,31,31,62,46,37,83,1.48,1.19,1.34
江東,城東,149,136,285,234,211,445,1.57,1.55,1.56
江東,東,116,107,223,180,172,352,1.55,1.61,1.58
江東,深川,96,89,185,173,144,317,1.80,1.62,1.71
品川,大崎,116,107,223,203,136,339,1.75,1.27,1.52
品川,小山台,132,121,253,212,223,435,1.61,1.84,1.72
品川,八潮,106,96,202,129,91,220,1.22,0.95,1.09
目黒,駒場,116,106,222,210,206,416,1.81,1.94,1.87
目黒,目黒,116,107,223,215,213,428,1.85,1.99,1.92
大田,大森,100,91,191,144,120,264,1.44,1.32,1.38
大田,蒲田,41,38,79,56,42,98,1.37,1.11,1.24
大田,田園調布,87,79,166,180,150,330,2.07,1.90,1.99
大田,雪谷,116,107,223,177,202,379,1.53,1.89,1.70
世田谷,桜町,132,121,253,149,185,334,1.13,1.53,1.32
世田谷,千歳丘,116,107,223,132,141,273,1.14,1.32,1.22
世田谷,深沢,88,80,168,109,130,239,1.24,1.63,1.42
世田谷,松原,82,76,158,120,162,282,1.46,2.13,1.78
渋谷,青山,130,120,250,256,246,502,1.97,2.05,2.01
渋谷,広尾,82,74,156,189,206,395,2.30,2.78,2.53
中野,鷺宮,116,106,222,170,172,342,1.47,1.62,1.54
中野,富士,31,31,62,72,44,116,2.32,1.42,1.87
中野,武蔵丘,132,122,254,221,211,432,1.67,1.73,1.70
杉並,杉並,132,122,254,183,186,369,1.39,1.52,1.45
杉並,豊多摩,132,121,253,318,291,609,2.41,2.40,2.41
杉並,西,132,121,253,262,223,485,1.98,1.84,1.92
豊島,豊島,116,106,222,179,173,352,1.54,1.63,1.59
豊島,文京,149,136,285,303,279,582,2.03,2.05,2.04
荒川,竹台,74,67,141,105,82,187,1.42,1.22,1.33
板橋,板橋,116,107,223,173,194,367,1.49,1.81,1.65
板橋,大山,87,80,167,113,118,231,1.30,1.48,1.38
板橋,北園,132,122,254,290,266,556,2.20,2.18,2.19
板橋,高島,132,121,253,232,217,449,1.76,1.79,1.77
練馬,井草,116,107,223,173,157,330,1.49,1.47,1.48
