,,全校で実施（％）,校内の一部で実施（％）,実施していない（％）
教師や児童による読み聞かせを実施している,合計,44.3,31.1,24.6
教師や児童による読み聞かせを実施している,小学校,67.3,31.7,1.0
教師や児童による読み聞かせを実施している,中学校,15.1,27.8,57.2
教師や児童による読み聞かせを実施している,高校,5.3,36.1,58.6
学級活動等で読書会を実施している,合計,14.8,38.2,47.0
学級活動等で読書会を実施している,小学校,20.4,52.2,27.4
学級活動等で読書会を実施している,中学校,8.1,16.7,75.2
学級活動等で読書会を実施している,高校,4.2,23.2,72.6
独自の「課題図書」等のリストを作成している,合計,40.8,13.3,45.9
独自の「課題図書」等のリストを作成している,小学校,40.5,11.0,48.5
独自の「課題図書」等のリストを作成している,中学校,39.7,16.1,44.2
独自の「課題図書」等のリストを作成している,高校,44.6,17.9,37.5
読書指導の資料・教材を校内で組織的に活用している,合計,33.8,30.9,35.3
読書指導の資料・教材を校内で組織的に活用している,小学校,40.5,31.4,28.1
読書指導の資料・教材を校内で組織的に活用している,中学校,26.9,28.8,44.6
読書指導の資料・教材を校内で組織的に活用している,高校,26.9,33.7,47.4
教師の推薦図書を児童に紹介している,合計,54.0,28.4,17.6
教師の推薦図書を児童に紹介している,小学校,52.7,29.2,18.1
教師の推薦図書を児童に紹介している,中学校,53.2,28.2,18.6
教師の推薦図書を児童に紹介している,高校,62.1,24.9,13.0
学級文庫を設置している,合計,70.0,17.9,12.1
学級文庫を設置している,小学校,89.9,8.9,1.2
学級文庫を設置している,中学校,56.7,31.8,11.5
学級文庫を設置している,高校,7.4,27.7,64.9
書評合戦(ビブリオバトル)を実施している(高校のみ),合計,,,
書評合戦(ビブリオバトル)を実施している(高校のみ),小学校,,,
書評合戦(ビブリオバトル)を実施している(高校のみ),中学校,,,
書評合戦(ビブリオバトル)を実施している(高校のみ),高校,39.0,43.2,17.8
