年度,視覚障害,視覚障害累計(校),聴覚障害,聴覚障害累計(校),知的障害,知的障害累計(校),肢体不自由,肢体不自由累計(校),病弱,病弱累計(校),特別支援学校累計(校),
大正15,,－,大塚(小・6中・22高・23幼)〔36末高廃止->石神井、H17末中廃止->中央〕,1,,－,,－,,－,1,
7,,－,,1,,－,光明(小・22中・33高),1,,－,2,
9,,－,品川(小・15中・22幼高専)〔34末幼廃止->玉川分、H2末分校廃止->本校、36末高専廃止->大田、H17末閉校->幼小:大塚・品川分，中:中央〕,2,,－,,1,,－,3,
23,文京(小中高・25専前身明治41)〔36末小中廃止〕,1,,2,,－,,1,,－,4,
25,八王子(小中高・46幼・51専前身昭和5),2,足立(幼小中・33高・37専)〔39末高専廃止->綾瀬、H13末閉校->葛飾〕,3,青鳥(中・32高・H9職業学科新設)->H4久我山分校(小中),1,,1,,－,7,
26,,2,立川(幼小・32中・35高・41専),4,,1,,1,,－,8,
32,,2,江東(幼小中)〔H17末閉校->幼小:大塚・江東分，中:中央〕,5,,1,,1,,－,9,
33,,2,杉並(幼小中)〔H17末閉校->幼小:大塚・杉並分，中:中央〕,6,,1,,1,,－,10,
34,,2,,6,,1,小平(小中・42高),2,久留米(小中・H18高)片浜(小中)〔H15末閉校〕,2,13,
36,,2,,6,,1,江戸川(小中・38高),3,,2,14,
37,葛飾(小・38中・45幼)久我山(小中・43幼),4,大田(高専)〔H17末専廃止、H18末閉校〕石神井(高専)〔H17末専廃止、H18末閉校〕,8,,1,,3,,2,18,
38,,4,,8,,1,北(小中・39高),4,,2,19,
40,,4,綾瀬(高専)〔H13末閉校->葛飾〕,9,王子(中・41小高)〔49末小廃止->王子第二、H元末中廃止->王子第二〕,2,,4,,2,21,
41,,4,,9,八王子(小中・44高),3,,4,,2,22,
42,,4,,9,立川(小中高)〔H16移転->武蔵台〕,4,,4,,2,23,
44,,4,,9,しいの木(小中・53高),5,城南(小中・45高),5,,2,25,
45,,4,,9,,5,城北(幼小中・46高)〔H元末幼廃止〕,6,,2,26,
46,,4,,9,七生(小中・H5高),6,,6,,2,27,
48,,4,,9,小岩(小・50中)〔60末中廃止->白鷺〕町田(小・50中・52高),8,村山(小・49中・52高),7,,2,30,
49,,4,,9,高島(小・50中・60高)〔63末高廃止->板橋〕矢口(小・50中・52高)羽村(小・50中高),11,,7,,2,33,
50,,4,,9,王子第二(小・H2中),12,<町田>(小中・53高),7<1>,,2,34,
51,,4,,9,調布(小中)小金井(小中),14,,7<1>,,2,36,
52,,4,,9,水元(小中)<府中>(高)〔H2末廃止->府中朝日〕,15<1>,府中(小中高),8<1>,,2,38,
53,,4,,9,墨田(小中高)江東(小中高)中野(小中・54高)足立(小中高)->H5花畑分校(小中)〔H13末小中廃止->南花畑〕,19<1>,,8<1>,,2,42,
54,,4,,9,清瀬(小中高),20<1>,八王子東(小中・55高),9<1>,,2,44,
55,,4,,9,葛飾(高),21<1>,大泉(小中高),10<1>,,2,46,
57,,4,,9,港(小・58中・61高),22<1>,,10<1>,,2,47,
58,,4,,9,石神井(小中高),23<1>,,10<1>,,2,48,
60,,4,,9,<多摩>(小中高)〔H7末廃止->南大沢学園〕,23<2>,多摩(小中高),11<1>,,2,49,
61,,4,,9,白鷺(中高),24<2>,,11<1>,,2,50,
62,,4,,9,,24<2>,墨東(小中高),12<1>,,2,51,
1,,4,,9,板橋(高),25<2>,,12<1>,,2,52,
2,,4,,9,田無(高),26<2>,,12<1>,,2,53,
3,,4,,9,府中朝日(高),27<1>,,12<1>,,2,54,
8,,4,,9,南大沢学園(小中高、職業学科新設),28,,12<1>,,2,55,
9,,4,,9,<あきる野学園>(小中高),28<1>,あきる野学園(小中高),13<1>,,2,56,
14,,4,葛飾(幼小中高専)〔H13末閉校の足立(幼小中)と綾瀬(高専)を統合〕,8,南花畑(小中),29<1>,,13<1>,,2,56,
16,,4,,8,武蔵台(小中高),29<1>,,13<1>,,1,55,
18,,4,中央(中高)〔H17末中廃止の大塚とH17末閉校の品川、江東、杉並(中)を統合〕,6,田園調布(高),30<1>,,13<1>,,1,54,
19,,4,,4,永福学園(高)<多摩>(小),31<2>,,13<1>,,1,53,
,,,,,,,,,,,,（注）１例「33高」は33年4月高等部設置、「39末高専廃止」は40年3月高等部･専攻科廃止の略記。２町田養護学校は、知的障害教育部門に肢体不自由教育部門を併設している。肢体不自由欄に<>書き外数。３多摩養護学校及びあきる野学園養護学校は、肢体不自由教育部門に知的障害教育部門を併設している。知的障害欄に<>書き外数。４上記累計に分校は含まない。
