区市町村名,学校名,コース名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
練馬,田柄,外国文化,,2,,11,,11,"8/8,9",8/10,8/10,○,,
八王子,片倉※,造形美術,,,,,,7,"8/2,3",8/4,8/4,,,
八王子,松が谷,外国語,,,,,,1,"8/2,3",8/4,8/4,,,
小平,小平,外国語,,,,1,,,"8/8,9",8/10,8/10,,,
あきる野,五日市,ことばと情報,,1,,3,,15,"8/2,3",8/4,8/4,,,
普通科（コース制）計,,,,3,,15,,34,,,,,,
注）募集区分／区分１：保護者の転勤等による都外からの一家転住者／区分２：一般,,,,,,,,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,,
注）普通科（コース制）の選抜は、国語・数学・英語の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,,
都立片倉高校／第３学年／国語・数学・英語・面接・実技検査,,,,,,,,,,,,,,
