区市町村名,学校名,科名,対象生徒,年度（平成）,募集人員（男女問わず）,最終応募人員／男,最終応募人員／女,最終応募人員／計,合格人員／男,合格人員／女,合格人員／計,入学手続人員／男,入学手続人員／女,入学手続人員／計
港,三田,普通科,"日本人学校出身者及び
外国の学校出身者",29,18,13,10,23,7,10,17,7,10,17
港,三田,普通科,"日本人学校出身者及び
外国の学校出身者",28,18,22,10,32,12,6,18,12,6,18
文京,竹早,普通科,"日本人学校出身者及び
外国の学校出身者",29,13,15,25,40,4,10,14,4,10,14
文京,竹早,普通科,"日本人学校出身者及び
外国の学校出身者",28,13,17,13,30,8,6,14,8,6,14
日野,日野台,普通科,"日本人学校出身者及び
外国の学校出身者",29,13,13,6,19,10,3,13,10,3,13
日野,日野台,普通科,"日本人学校出身者及び
外国の学校出身者",28,13,11,6,17,9,4,13,9,4,13
普通科計,,,,29,44,41,41,82,21,23,44,21,23,44
普通科計,,,,28,44,50,29,79,29,16,45,29,16,45
目黒,国際,国際,日本人学校出身者,29,15,9,29,38,3,14,17,3,13,16
目黒,国際,国際,日本人学校出身者,28,15,9,19,28,4,11,15,3,11,14
目黒,国際,国際,外国の学校出身者,29,25,24,32,56,11,15,26,10,14,24
目黒,国際,国際,外国の学校出身者,28,25,24,34,58,12,16,28,10,14,24
目黒,国際,国際,小計,29,40,33,61,94,14,29,43,13,27,40
目黒,国際,国際,小計,28,40,33,53,86,16,27,43,13,25,38
合計,,,,29,84,74,102,176,35,52,87,34,50,84
合計,,,,28,84,83,82,165,45,43,88,42,41,83
注）募集人員は９月募集を除いた数値である。,,,,,,,,,,,,,,
