区市町村名,学校名,科名,募集人員（男女問わず）,受検人員／男,受検人員／女,受検人員／計,合格人員／男,合格人員／女,合格人員／計
港,芝商業,商業,161,57,92,149,57,92,149
江東,江東商業,総合ﾋﾞｼﾞﾈｽ,123,46,80,126,43,80,123
江東,第三商業,商業,168,54,159,213,39,132,171
渋谷,第一商業,商業,168,73,80,153,73,80,153
北,赤羽商業,商業,168,71,115,186,63,107,170
練馬,第四商業,商業,112,52,82,134,43,71,114
練馬,第四商業,情報処理,49,46,17,63,35,15,50
練馬,第四商業,計,161,98,99,197,78,86,164
足立,荒川商業,総合ﾋﾞｼﾞﾈｽ,147,57,118,175,42,107,149
葛飾,葛飾商業,商業,112,52,74,126,46,68,114
葛飾,葛飾商業,情報処理,49,40,19,59,34,16,50
葛飾,葛飾商業,計,161,92,93,185,80,84,164
国立,第五商業,商業,168,86,161,247,68,102,170
あきる野,五日市,商業,56,20,40,60,19,39,58
商業計,,,1481,654,1037,1691,562,909,1471
