区市町村名,学校名,科名・部,募集区分,募集人員（男女問わず）(A),最終応募人員／男,最終応募人員／女,最終応募人員／計,受検人員(B)／男,受検人員(B)／女,受検人員(B)／計,受検倍率(B/A)
千代田,一橋,普通科１部,１学年相当,36,19,36,55,19,34,53,1.47
千代田,一橋,普通科１部,２学年相当以上,6,1,0,1,1,0,1,0.17
千代田,一橋,普通科２部,１学年相当,36,32,33,65,31,32,63,1.75
千代田,一橋,普通科２部,２学年相当以上,6,2,0,2,2,0,2,0.33
千代田,一橋,普通科３部,１学年相当,24,11,10,21,11,10,21,0.88
千代田,一橋,普通科３部,２学年相当以上,3,0,0,0,0,0,0,0.00
千代田,一橋,計,１学年相当計,96,62,79,141,61,76,137,1.43
千代田,一橋,計,２学年相当以上計,15,3,0,3,3,0,3,0.20
千代田,一橋,計,計,111,65,79,144,64,76,140,1.26
新宿,新宿山吹,普通科１～４部,１学年相当,100,104,90,194,88,80,168,1.68
新宿,新宿山吹,普通科１～４部,２学年相当以上,50,4,5,9,4,5,9,0.18
新宿,新宿山吹,普通科１～４部,計,150,108,95,203,92,85,177,1.18
新宿,新宿山吹,情報科２・４部,１学年相当,46,51,18,69,47,18,65,1.41
新宿,新宿山吹,計,１学年相当計,146,155,108,263,135,98,233,1.60
新宿,新宿山吹,計,２学年相当以上計,50,4,5,9,4,5,9,0.18
新宿,新宿山吹,計,計,196,159,113,272,139,103,242,1.23
台東,浅草,普通科１部,１学年相当,36,37,51,88,35,50,85,2.36
台東,浅草,普通科１部,２学年相当以上,5,0,0,0,0,0,0,0.00
台東,浅草,普通科２部,１学年相当,36,25,34,59,25,33,58,1.61
台東,浅草,普通科２部,２学年相当以上,5,0,0,0,0,0,0,0.00
台東,浅草,普通科３部,１学年相当,24,13,21,34,13,21,34,1.42
台東,浅草,普通科３部,２学年相当以上,5,0,2,2,0,2,2,0.40
台東,浅草,計,１学年相当計,96,75,106,181,73,104,177,1.84
台東,浅草,計,２学年相当以上計,15,0,2,2,0,2,2,0.13
台東,浅草,計,計,111,75,108,183,73,106,179,1.61
杉並,荻窪,普通科１部,１学年相当,36,21,35,56,19,35,54,1.50
杉並,荻窪,普通科１部,２学年相当以上,6,0,0,0,0,0,0,0.00
杉並,荻窪,普通科２部,１学年相当,36,38,45,83,36,42,78,2.17
杉並,荻窪,普通科２部,２学年相当以上,6,0,0,0,0,0,0,0.00
杉並,荻窪,普通科３部,１学年相当,24,11,6,17,11,6,17,0.71
杉並,荻窪,普通科３部,２学年相当以上,3,0,1,1,0,1,1,0.33
杉並,荻窪,計,１学年相当計,96,70,86,156,66,83,149,1.55
杉並,荻窪,計,２学年相当以上計,15,0,1,1,0,1,1,0.07
杉並,荻窪,計,計,111,70,87,157,66,84,150,1.35
八王子,八王子拓真,普通科１部,１学年相当,36,60,52,112,57,52,109,3.03
八王子,八王子拓真,普通科１部,２学年相当以上,6,1,1,2,1,1,2,0.33
八王子,八王子拓真,普通科２部,１学年相当,36,44,46,90,44,46,90,2.50
八王子,八王子拓真,普通科２部,２学年相当以上,6,0,0,0,0,0,0,0.00
八王子,八王子拓真,普通科３部,１学年相当,24,27,14,41,27,14,41,1.71
八王子,八王子拓真,普通科３部,２学年相当以上,3,0,0,0,0,0,0,0.00
八王子,八王子拓真,計,１学年相当計,96,131,112,243,128,112,240,2.50
八王子,八王子拓真,計,２学年相当以上計,15,1,1,2,1,1,2,0.13
八王子,八王子拓真,計,計,111,132,113,245,129,113,242,2.18
立川,砂川,普通科１～３部,１学年相当,120,69,100,169,67,96,163,1.36
立川,砂川,普通科１～３部,２学年相当以上,15,0,1,1,0,1,1,0.07
立川,砂川,普通科１～３部,計,135,69,101,170,67,97,164,1.21
定時制課程単位制計,,,１学年相当計,650,562,591,1153,530,569,1099,1.69
定時制課程単位制計,,,２学年相当以上計,125,8,10,18,8,10,18,0.14
定時制課程単位制計,,,計,775,570,601,1171,538,579,1117,1.44
