区市町村名,学校名,科名,募集人員（男女問わず）(A),最終応募人員／男,最終応募人員／女,最終応募人員／計,受検人員(B)／男,受検人員(B)／女,受検人員(B)／計,受検倍率(B/A)
中央,晴海総合,総合,192,73,236,309,68,227,295,1.54
大田,つばさ総合,総合,164,117,106,223,108,103,211,1.29
世田谷,世田谷総合,総合,164,76,136,212,72,133,205,1.25
杉並,杉並総合,総合,164,79,178,257,73,172,245,1.49
北,王子総合,総合,164,113,152,265,107,150,257,1.57
葛飾,葛飾総合,総合,164,81,115,196,76,111,187,1.14
青梅,青梅総合,総合,164,94,109,203,91,107,198,1.21
町田,町田総合,総合,164,64,126,190,63,126,189,1.15
東久留米,東久留米総合,総合,164,118,116,234,113,114,227,1.38
稲城,若葉総合,総合,164,72,175,247,70,173,243,1.48
総合学科計,,,1668,887,1449,2336,841,1416,2257,1.35
