支出月日,支出者,支出件名,支出金額（円）
6月6日,都立葛飾盲学校長,児童・生徒怪我見舞い　,1000
6月6日,都立光明特別支援学校長,児童・生徒怪我見舞い　,2000
6月7日,都立千歳丘高等学校長,その他見舞い,3000
6月16日,都立北園高等学校長,生徒怪我見舞い,3000
6月16日,都立葛飾盲学校長,児童・生徒怪我見舞い,1000
6月16日,都立高島特別支援学校長,児童・生徒怪我見舞い,1000
6月21日,都立城南特別支援学校長,児童・生徒怪我見舞い,1000
6月21日,都立高島特別支援学校長,児童・生徒怪我見舞い,1000
6月24日,都立光明特別支援学校長,児童・生徒怪我見舞い,1000
6月24日,都立練馬特別支援学校長,児童・生徒怪我見舞い,1000
6月26日,都立青鳥特別支援学校長,児童・生徒怪我見舞い,3000
6月27日,都立水元小合学園校長,児童・生徒見舞い,1000
6月27日,都立高島特別支援学校長,児童・生徒怪我見舞い,1000
6月30日,都立田無高等学校長,生徒宅火災見舞い,2000
6月30日,都立城北特別支援学校長,児童・生徒怪我見舞い,1000
6月分計,,15件,23000
