区市町村名,学校名,学科名,募集人員／第１学年／区分１,募集人員／第１学年／区分２,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年
千代田,日比谷,普通科,1,2,1,2,,,"8/9,10",8/12,8/12,○,,
港,三田,普通科,1,2,2,1,,,"8/9,10",8/12,8/12,○,,
新宿,戸山,普通科,2,2,1,1,2,,"8/3,4",8/5,8/5,○,,
文京,竹早,普通科,1,2,1,1,1,1,"8/3,4",8/5,8/5,,○,
文京,向丘,普通科,2,2,2,2,1,3,"8/9,10",8/12,8/12,○,,○
台東,上野,普通科,2,2,1,1,2,6,"8/3,4",8/5,8/5,○,,
台東,白鴎,普通科,,2,,7,,11,"8/3,4",8/5,8/5,,,
墨田,日本橋,普通科,1,2,1,6,,13,"8/3,4",8/5,8/5,○,○,
墨田,本所,普通科,1,2,,1,1,3,"8/9,10",8/12,8/12,○,,
墨田,両国,普通科,,2,,6,,13,"8/9,10",8/12,8/12,,○,
江東,城東,普通科,1,2,1,2,2,4,"8/9,10",8/12,8/12,○,○,
江東,東,普通科,,2,1,4,,7,"8/9,10",8/12,8/12,,,
江東,深川,普通科,1,2,1,2,1,4,"8/3,4",8/5,8/5,,,
品川,大崎,普通科,1,2,1,4,1,7,"8/3,4",8/5,8/5,○,○,
品川,小山台,普通科,2,2,2,2,2,2,"8/3,4",8/5,8/5,,○,
品川,八潮,普通科,2,2,2,30,2,35,"8/9,10",8/12,8/12,○,,
目黒,駒場,普通科,2,2,2,,1,,"8/9,10",8/12,8/12,○,,
目黒,目黒,普通科,1,2,1,4,,1,"8/3,4",8/5,8/5,,,
大田,大森,普通科,1,2,1,14,,36,"8/3,4",8/5,8/5,,○,
大田,蒲田※,普通科,1,2,1,30,1,54,"8/3,4",8/5,8/5,○,○,
大田,田園調布,普通科,2,2,2,,2,5,"8/9,10",8/12,8/12,○,,
大田,雪谷,普通科,1,2,1,1,,4,"8/9,10",8/12,8/12,,○,
世田谷,桜町,普通科,2,2,2,9,2,9,"8/3,4",8/5,8/5,○,,
世田谷,千歳丘,普通科,1,2,1,19,,25,"8/9,10",8/12,8/12,○,,
世田谷,深沢,普通科,,2,,30,,24,"8/3,4",8/5,8/5,○,,
世田谷,松原,普通科,2,2,2,1,2,16,"8/9,10",8/12,8/12,○,○,
渋谷,青山,普通科,,2,,,,,"8/9,10",8/12,8/12,○,,
渋谷,広尾,普通科,1,2,1,5,1,5,"8/3,4",8/5,8/5,○,○,
中野,鷺宮,普通科,2,2,2,4,2,5,"8/9,10",8/12,8/12,,,
中野,富士,普通科,,11,,6,,7,"8/9,10",8/12,8/12,,○,
中野,武蔵丘,普通科,1,2,1,6,,,"8/9,10",8/12,8/12,○,,
杉並,杉並,普通科,1,2,1,3,1,14,"8/3,4",8/5,8/5,○,,
杉並,豊多摩,普通科,2,2,2,4,2,2,"8/9,10",8/12,8/12,○,,
杉並,西,普通科,2,2,1,1,2,,"8/3,4",8/5,8/5,,○,
豊島,豊島,普通科,1,2,2,2,2,4,"8/9,10",8/12,8/12,○,,
豊島,文京,普通科,2,2,1,4,1,,"8/3,4",8/5,8/5,○,,
荒川,竹台,普通科,1,2,1,39,1,39,"8/9,10",8/12,8/12,○,○,
板橋,板橋,普通科,1,2,,9,1,22,"8/9,10",8/12,8/12,○,,○
板橋,大山,普通科,1,2,,16,,42,"8/3,4",8/5,8/5,○,,
板橋,北園,普通科,1,2,1,2,1,7,"8/3,4",8/5,8/5,,,
板橋,高島,普通科,2,2,2,2,2,6,"8/9,10",8/12,8/12,○,,
練馬,井草,普通科,,2,1,3,,10,"8/9,10",8/12,8/12,○,,
練馬,大泉,普通科,,2,,5,,7,"8/3,4",8/5,8/5,,○,
練馬,石神井,普通科,2,2,2,4,2,2,"8/3,4",8/5,8/5,,○,
練馬,田柄,普通科,,1,,12,,17,"8/3,4",8/5,8/5,○,○,
練馬,練馬,普通科,1,2,1,12,1,24,"8/9,10",8/12,8/12,○,○,
練馬,光丘,普通科,1,2,1,4,,23,"8/3,4",8/5,8/5,○,,
足立,青井,普通科,1,2,1,24,1,45,"8/9,10",8/12,8/12,○,,
足立,足立,普通科,2,2,2,7,2,16,"8/3,4",8/5,8/5,,○,
足立,足立新田,普通科,,2,,6,,10,"8/3,4",8/5,8/5,○,,
足立,足立西,普通科,2,2,2,4,2,2,"8/9,10",8/12,8/12,,,
足立,足立東※,普通科,,2,,18,,49,"8/9,10",8/12,8/12,○,,
足立,江北,普通科,2,2,1,1,2,12,"8/9,10",8/12,8/12,○,,
足立,淵江,普通科,1,2,1,7,1,39,"8/3,4",8/5,8/5,○,○,
葛飾,葛飾野,普通科,,2,1,8,1,18,"8/9,10",8/12,8/12,○,,
葛飾,南葛飾,普通科,1,2,,2,,24,"8/3,4",8/5,8/5,○,,
江戸川,江戸川,普通科,1,2,1,3,1,8,"8/3,4",8/5,8/5,○,,
江戸川,葛西南,普通科,,2,,14,,29,"8/3,4",8/5,8/5,○,○,
江戸川,小岩,普通科,2,3,1,3,1,7,"8/9,10",8/12,8/12,○,,
江戸川,小松川,普通科,1,2,1,5,,1,"8/9,10",8/12,8/12,,,
江戸川,篠崎,普通科,,2,,7,,10,"8/9,10",8/12,8/12,○,,
江戸川,紅葉川,普通科,1,2,1,3,1,6,"8/3,4",8/5,8/5,○,,
八王子,片倉,普通科,1,2,1,,1,2,"8/9,10",8/12,8/12,○,,
八王子,八王子北,普通科,,2,,2,,4,"8/9,10",8/12,8/12,○,○,○
八王子,八王子東,普通科,2,2,1,2,2,3,"8/3,4",8/5,8/5,○,,
八王子,富士森,普通科,1,2,1,,1,10,"8/3,4",8/5,8/5,,,
八王子,松が谷,普通科,2,2,2,1,2,1,"8/9,10",8/12,8/12,○,,
立川,立川,普通科,2,2,1,2,2,4,"8/9,10",8/12,8/12,○,○,
武蔵野,武蔵,普通科,,2,,4,,3,"8/9,10",8/12,8/12,○,,
