区市町村名,学校名,学科名,募集人員／第１学年,募集人員／第２学年,募集人員／第３学年,募集人員／第４学年,受付期間,選抜日,発表日,昨年度第二学期補欠募集の実施状況／第１学年,昨年度第二学期補欠募集の実施状況／第２学年,昨年度第二学期補欠募集の実施状況／第３学年,昨年度第二学期補欠募集の実施状況／第４学年
文京,工芸※,ﾏｼﾝｸﾗﾌﾄ科,13,15,15,17,"8/21,22",8/23,8/23,,,,
文京,工芸※,ｱｰﾄｸﾗﾌﾄ科,4,4,4,7,"8/21,22",8/23,8/23,,,,
文京,工芸※,ｲﾝﾃﾘｱ科,11,11,16,14,"8/21,22",8/23,8/23,,,,
文京,工芸※,ｸﾞﾗﾌｨｯｸｱｰﾂ科,,3,4,7,"8/21,22",8/23,8/23,,,,
台東,蔵前工業※,建築工学科,18,19,20,19,"8/15,16",8/17,8/17,,,,
江東,墨田工業,総合技術科,,6,12,12,"8/22,23",8/24,8/24,,,,
世田谷,総合工科,総合技術科,20,18,11,29,"8/28,29",8/30,8/30,,,,
中野,中野工業,総合技術科,17,13,16,14,"8/24,25",8/28,8/28,○,,,
荒川,荒川工業※,電気・電子科,6,18,16,21,"8/21,22",8/23,8/23,,,,
板橋,北豊島工業※,機械科,12,11,21,20,"8/17,18",8/21,8/21,,,,
葛飾,本所工業※,総合技術科,12,21,23,17,"8/21,22",8/23,8/23,,,,
小金井,小金井工業※,機械科,3,9,25,36,"8/24,25",8/28,8/28,○,○,,
小金井,小金井工業※,電気・電子科,17,20,12,14,"8/24,25",8/28,8/28,,,,
工業科計,,,133,168,195,227,,,,,,,
注）「昨年度第二学期補欠募集の実施状況」欄では、昨年度の第二学期補欠募集を行った学校のうち、実際に検査を実施した（受検者がいた）学年に○印を付している。,,,,,,,,,,,,,
注）工業科の選抜は、国語・数学・英語・専門教科の学力検査及び面接により行う。／ただし、※印を付した都立高校の以下に示す学年の選抜は、次により行う。,,,,,,,,,,,,,
都立工芸高校／第１・２・３・４学年／国語・数学・英語・面接,,,,,,,,,,,,,
都立蔵前工業高校／第１・２・３・４学年／国語・数学・英語・面接,,,,,,,,,,,,,
都立荒川工業高校／第１・２・３・４学年／国語・数学・社会・専門教科・面接,,,,,,,,,,,,,
都立北豊島工業高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,
都立本所工業高校／第１学年／国語・数学・英語・面接,,,,,,,,,,,,,
都立小金井工業高校／第１・２・３・４学年／数学・理科・専門教科・面接,,,,,,,,,,,,,
