区市町村名,学校名,募集人員（男女問わず）(A),応募人員(B)／男,応募人員(B)／女,応募人員(B)／計,取下げ人員(C)／男,取下げ人員(C)／女,取下げ人員(C)／計,再提出人員(D)／男,再提出人員(D)／女,再提出人員(D)／計,最終応募人員(E)／男,最終応募人員(E)／女,最終応募人員(E)／計,最終応募倍率(E/A)
墨田,日本橋※,28,21,17,38,1,0,1,5,1,6,25,18,43,1.54
墨田,両国,1,13,2,15,0,0,0,1,0,1,14,2,16,16.00
品川,八潮※,21,22,13,35,2,1,3,0,0,0,20,12,32,1.52
大田,蒲田※,60,73,33,106,0,0,0,1,0,1,74,33,107,1.78
大田,田園調布※,25,13,18,31,1,0,1,0,0,0,12,18,30,1.20
世田谷,深沢※,26,20,26,46,1,1,2,1,3,4,20,28,48,1.85
荒川,竹台※,36,20,13,33,0,0,0,7,2,9,27,15,42,1.17
板橋,大山※,24,28,31,59,4,2,6,0,0,0,24,29,53,2.21
練馬,田柄※,23,35,18,53,7,3,10,0,0,0,28,15,43,1.87
足立,青井※,47,40,36,76,0,1,1,5,2,7,45,37,82,1.74
足立,足立新田※,30,16,12,28,1,0,1,7,1,8,22,13,35,1.17
足立,足立西,2,1,0,1,0,0,0,1,0,1,2,0,2,1.00
足立,足立東※,56,45,34,79,0,0,0,0,4,4,45,38,83,1.48
足立,淵江※,30,30,22,52,2,2,4,0,0,0,28,20,48,1.60
葛飾,南葛飾※,47,62,55,117,4,4,8,3,1,4,61,52,113,2.40
江戸川,篠崎※,20,40,20,60,12,5,17,0,0,0,28,15,43,2.15
区部計,,476,479,350,829,35,19,54,31,14,45,475,345,820,1.72
府中,府中東※,31,41,38,79,7,6,13,0,0,0,34,32,66,2.13
町田,山崎※,23,20,15,35,2,0,2,2,1,3,20,16,36,1.57
東村山,東村山※,60,48,45,93,0,0,0,9,3,12,57,48,105,1.75
羽村,羽村※,32,48,35,83,4,1,5,0,1,1,44,35,79,2.47
あきる野,秋留台※,72,104,51,155,3,0,3,0,0,0,101,51,152,2.11
多摩部計,,218,261,184,445,16,7,23,11,5,16,256,182,438,2.01
大島,大島,48,2,1,3,0,0,0,0,0,0,2,1,3,0.06
新島,新島,24,0,1,1,0,0,0,0,0,0,0,1,1,0.04
神津島,神津,25,1,0,1,0,0,0,0,0,0,1,0,1,0.04
三宅,三宅,36,0,0,0,0,0,0,0,0,0,0,0,0,0.00
八丈,八丈,91,5,0,5,0,0,0,0,0,0,5,0,5,0.05
小笠原,小笠原,14,0,0,0,0,0,0,0,0,0,0,0,0,0.00
島しょ計,,238,8,2,10,0,0,0,0,0,0,8,2,10,0.04
コース、単位制以外計,,932,748,536,1284,51,26,77,42,19,61,739,529,1268,1.36
注）※は分割後期募集実施校,,,,,,,,,,,,,,,
