区分,,項目,,３か年の目標／平成23年度入試,３か年の目標／平成24年度入試,３か年の目標／平成25年度入試
第１グループ,日比谷高校,センター試験,5教科7科目・6教科7科目の受験者数の増加。,約75％（240人）を目指す。,約80％（256人）を目指す。,80％（256人）以上を目指す。
第１グループ,日比谷高校,センター試験,難関国公立大学等に合格可能な得点水準以上の者の受験者に占める割合の増加。,概ね2．5割（80人）を目指す。,概ね3割（96人）を目指す。,3割（96人）以上を目指す。
第１グループ,日比谷高校,合格実績,難関国公立大学等の現役合格者数の増加。,45人以上を目指す。,50人以上を目指す。,55人以上を目指す。
第１グループ,西高校,センター試験,5教科7科目受験者,236人（約74％）,244人（約76％）,250人（約78％）
第１グループ,西高校,センター試験,難関国立大学等に合格可能な得点水準以上の者の受験者に占める割合,64人（約20％）,73人（約23%）,83人（約26%）
第１グループ,西高校,合格実績,難関国立大学等の現役合格者,32人（約10％）,41人（約13％）,48人（約15％）
第１グループ,国立高校,センター試験,5教科7科目受験者,200人(322中)(62.1％),220人(328名中)(67.1％),240人(323名中)(74.3％)
第１グループ,国立高校,センター試験,難関国立大学等に合格可能な得点水準以上の者の受験者に占める割合,40人(12.4％),50人(15.2％),60人(18.6％)
第１グループ,国立高校,合格実績,難関国立大学等の現役合格者,25人(7.8％),30人(9.1％),40人(12.4％)
第２グループ,八王子東高校,センター試験,5（6）教科7科目受験者,240人(学年全体の75％),240人(学年全体の75％),240人(学年全体の75％)
第２グループ,八王子東高校,センター試験,難関国立大学等に合格可能な得点水準以上の者の受験者に占める割合,50人（5（6）教科7科目受験者の21％）,50人（5（6）教科7科目受験者の21％）,60人（5（6）教科7科目受験者の25％）
第２グループ,八王子東高校,合格実績,難関国立大学等の現役合格者,15人,15人,20人
第２グループ,戸山高校,センター試験,5教科7科目受験者,200人（62.5%),240人(75.0%),240人(75.0%)
第２グループ,戸山高校,センター試験,難関国立大学等に合格可能な得点水準以上の者の受験者に占める割合,・センター試験7科目平均得点率80％以上50人,・センター試験7科目平均得点率80％以上50人／・センター試験全科目全国平均の125％以上目標,・センター試験7科目平均得点率80％以上50人／・センター試験全科目全国平均の125％以上達成
第２グループ,戸山高校,合格実績,難関国立大学等の現役合格者,15人(4.7%),20人(6.3%),25人(7.8%)
第３グループ,青山高校,センター試験,5教科7科目受験者,140人（約50％）,160人（約57％）,170人（約61％）
第３グループ,青山高校,センター試験,難関国立大学等に合格可能な得点水準以上の者の受験者に占める割合,8人（約6％）,12人（約7％）,15人（約9％）
第３グループ,青山高校,合格実績,難関国立大学等の現役合格者,11人（約8％）,13人（約8％）,17人（約10％）
第３グループ,立川高校,センター試験,5教科7科目受験者,180人（55%）,193人（60%）,195人（61%）
第３グループ,立川高校,センター試験,難関国立大学等に合格可能な得点水準以上の者の受験者に占める割合,26人（8%）,28人（9%）,31人（10%）
第３グループ,立川高校,合格実績,難関国立大学等の現役合格者,10人（3%）,13人（4%）,15人（5%）
