,,全校で実施（％）,校内の一部で実施（％）,実施していない（％）
保護者会や各種通信等を通して、読書の意義を家庭に説明している,合計,65.1,19.3,15.7
保護者会や各種通信等を通して、読書の意義を家庭に説明している,小学校,79.0,16.9,4.0
保護者会や各種通信等を通して、読書の意義を家庭に説明している,中学校,53.8,23.0,23.3
保護者会や各種通信等を通して、読書の意義を家庭に説明している,高校,26.0,21.4,52.3
家庭における読書活動を啓発するための、講演会・研修会等を実施している,合計,9.9,8.8,81.6
家庭における読書活動を啓発するための、講演会・研修会等を実施している,小学校,14.8,12.6,72.6
家庭における読書活動を啓発するための、講演会・研修会等を実施している,中学校,3.9,4.0,93.3
家庭における読書活動を啓発するための、講演会・研修会等を実施している,高校,0.7,2.1,96.8
"1,2以外で家庭における読書を推進するための啓発事業を実施している",合計,20.9,12.0,67.0
"1,2以外で家庭における読書を推進するための啓発事業を実施している",小学校,30.6,14.9,54.4
"1,2以外で家庭における読書を推進するための啓発事業を実施している",中学校,7.9,8.6,83.5
"1,2以外で家庭における読書を推進するための啓発事業を実施している",高校,6.0,6.3,87.0
