区市町村名,学校名,学科名,募集人員／第２学年／区分１,募集人員／第２学年／区分２,募集人員／第３学年／区分１,募集人員／第３学年／区分２,受付期間,選抜日,発表日,昨年度第一学期補欠募集の実施状況／第２学年,昨年度第一学期補欠募集の実施状況／第３学年
千代田,日比谷,普通科,1,2,1,2,"3/15,16",3/17,3/17,○,
港,三田,普通科,1,1,2,1,"3/14,15",3/16,3/16,○,
新宿,戸山,普通科,2,,1,1,"3/16,17",3/21,3/21,○,
文京,竹早,普通科,,1,1,,"3/14,15",3/16,3/16,○,○
文京,向丘,普通科,2,2,2,4,"3/14,15",3/16,3/16,,
台東,上野,普通科,2,2,1,1,"3/13,14",3/15,3/15,○,
台東,白鴎,普通科,,7,,8,"3/13,14",3/15,3/15,,
墨田,日本橋,普通科,,1,1,8,"3/13,14",3/16,3/16,○,○
墨田,本所,普通科,1,2,,3,"3/13,14",3/15,3/15,○,
墨田,両国,普通科,,2,,7,"3/13,14",3/15,3/15,,
江東,城東,普通科,1,2,1,2,"3/13,14",3/15,3/15,,
江東,東,普通科,,2,1,6,"3/13,14",3/15,3/15,,
江東,深川,普通科,1,2,1,3,"3/13,14",3/15,3/15,,
品川,大崎,普通科,1,2,1,5,"3/15,16",3/17,3/17,○,
品川,小山台,普通科,2,,2,4,"3/13,14",3/16,3/16,○,○
品川,八潮,普通科,2,10,2,41,"3/13,14",3/15,3/15,○,
目黒,駒場,普通科,2,2,2,,"3/15,16",3/17,3/17,,
目黒,目黒,普通科,1,1,1,6,"3/15,16",3/17,3/17,○,○
大田,大森,普通科,1,18,1,21,"3/13,14",3/16,3/16,○,○
大田,蒲田,普通科,1,11,1,35,"3/14,15",3/17,3/17,○,○
大田,田園調布,普通科,1,1,1,,"3/13,14",3/17,3/17,,○
大田,雪谷,普通科,1,2,1,2,"3/13,14",3/15,3/15,○,
世田谷,桜町,普通科,2,8,2,9,"3/13,14",3/15,3/15,○,○
世田谷,千歳丘,普通科,1,4,1,25,"3/15,16",3/17,3/17,○,○
世田谷,深沢,普通科,,3,,34,"3/13,14",3/15,3/15,○,
世田谷,松原,普通科,2,,2,,"3/13,14",3/21,3/21,○,
渋谷,青山,普通科,,2,,,"3/13,14",3/16,3/16,,
渋谷,広尾,普通科,1,1,1,5,"3/13,14",3/15,3/15,○,
中野,鷺宮,普通科,2,3,2,5,"3/13,14",3/15,3/15,○,
中野,富士,普通科,,14,,7,"3/13,14",3/15,3/15,,
中野,武蔵丘,普通科,1,2,1,8,"3/13,14",3/17,3/17,○,
杉並,杉並,普通科,1,,1,9,"3/13,14",3/15,3/15,,○
杉並,豊多摩,普通科,2,1,2,5,"3/13,14",3/17,3/17,,○
杉並,西,普通科,2,2,,,"3/13,14",3/15,3/15,○,
豊島,豊島,普通科,1,1,1,2,"3/13,14",3/15,3/15,○,
豊島,文京,普通科,2,1,,3,"3/13,14",3/15,3/15,○,
荒川,竹台,普通科,1,,1,39,"3/13,14",3/15,3/15,,
板橋,板橋,普通科,1,,,11,"3/13,14",3/15,3/15,○,○
板橋,大山,普通科,1,9,,22,"3/13,14",3/15,3/15,,○
板橋,北園,普通科,1,2,1,2,"3/13,14",3/16,3/16,○,○
板橋,高島,普通科,2,4,2,2,"3/13,14",3/15,3/15,○,
練馬,井草,普通科,,2,1,6,"3/13,14",3/15,3/15,○,
練馬,大泉,普通科,,3,,5,"3/13,14",3/15,3/15,,
練馬,石神井,普通科,2,3,2,4,"3/13,14",3/16,3/16,○,
練馬,田柄,普通科,,6,,18,"3/13,14",3/15,3/15,,
練馬,練馬,普通科,1,2,1,22,"3/13,14",3/16,3/16,,
練馬,光丘,普通科,1,7,1,6,"3/13,14",3/17,3/17,○,
足立,青井,普通科,1,4,1,33,"3/13,14",3/15,3/15,,
足立,足立,普通科,2,2,2,8,"3/13,14",3/15,3/15,○,
足立,足立新田,普通科,,,,7,"3/13,14",3/17,3/17,,
足立,足立西,普通科,2,1,2,4,"3/13,14",3/16,3/16,,
足立,足立東※,普通科,,7,,32,"3/13,14",3/15,3/15,,
足立,江北,普通科,2,2,1,1,"3/13,14",3/15,3/15,,
足立,淵江,普通科,1,2,1,11,"3/13,14",3/15,3/15,,
葛飾,葛飾野,普通科,,1,1,11,"3/13,14",3/15,3/15,○,
葛飾,南葛飾,普通科,1,5,,8,"3/13,14",3/16,3/16,○,
江戸川,江戸川,普通科,1,2,1,7,"3/15,16",3/17,3/17,,
江戸川,葛西南,普通科,,2,,15,"3/13,14",3/16,3/16,,
江戸川,小岩,普通科,2,3,1,3,"3/13,14",3/15,3/15,○,
江戸川,小松川,普通科,1,5,1,6,"3/13,14",3/15,3/15,○,
