サービス内容,自治体名
電子メールでレファレンスを受け付けている図書館,荒川、葛飾、北、品川（品川）、杉並、墨田、世田谷、中央（京橋）、千代田（千代田）、中野、練馬、文京、昭島、稲城、小平、立川、西東京、東大和、日野、府中、三鷹、武蔵野、武蔵村山、八丈、都立中央、都立多摩
利用者用インターネット端末がある図書館,足立、荒川、板橋、江戸川（中央・小岩・松江・小松川・東部・篠崎・葛西・西葛西・東葛西・清新町・篠崎子ども）、大田、葛飾（中央・立石・お花茶屋・亀有・上小松・水元・鎌倉・こすげ）、北（中央・滝野川・赤羽・浮間・昭和町・田端）、江東、品川、渋谷（中央）、新宿、杉並、墨田、世田谷、台東（中央）、中央、千代田（千代田・日比谷図書文化・昌平まちかど・神田まちかど）、豊島（中央・駒込・巣鴨・上池袋・池袋・千早）、中野、練馬（光が丘・練馬・石神井・平和台・大泉・関町・貫井・稲荷山・小竹・南大泉・春日町・南田中）、文京、港、目黒（八雲中央・大橋・中目黒駅前）、昭島（市民）、あきる野、稲城（中央・第一・第二・第三・第四）、青梅（中央）、清瀬（中央・駅前）、国立（中央・北市民プラザ）、小金井（本館・貫井北）、国分寺、小平、立川、多摩、調布、西東京（中央・保谷駅前・柳沢・ひばりが丘）、羽村（本館）、東久留米（中央）、東村山（中央）、東大和、日野、府中（中央）、福生、町田（中央）、三鷹、武蔵野、日の出（本館）、瑞穂（瑞穂・長岡）、檜原（本館）、八丈、都立中央、都立多摩
利用者持参端末用のインターネット回線がある図書館　有料の無線LAN（docomoWi-Fi、BBモバイルポイントなど。利用者自身でのプロバイダ契約等が別途必要です）,品川（品川）、世田谷、文京、目黒、多摩、日野（中央・高幡・日野・多摩平・百草）、町田（中央）、都立中央
利用者持参端末用のインターネット回線がある図書館　無料の無線LAN（TOKYOFREEWi-Fiなど）,足立、荒川（ゆいの森あらかわ・南千住・尾久・町屋・日暮里）、江戸川（中央・小岩・東部・篠崎・西葛西）、大田、葛飾（中央）、北（中央）、江東（江東・深川・東陽・豊洲・東雲・古石場・城東・亀戸・砂町・東大島）、品川、渋谷、新宿（中央、四谷、鶴巻、西落合、戸山、北新宿、中町、角筈、大久保、下落合）、杉並、墨田、世田谷、台東（中央）、中央、千代田（千代田・日比谷図書文化・四番町）、豊島（駒込・上池袋・巣鴨・目白）、中野、練馬、文京、港（みなと・三田・麻布・赤坂・高輪・港南）、昭島（市民）、あきる野（中央）、稲城（中央）、青梅（中央）、清瀬（中央）、国立（中央）、小平（中央・仲町）、調布（中央）、西東京（中央・保谷駅前・柳沢・ひばりが丘）、八王子（全館（分室を除く））、東久留米（中央）、東村山（中央）、日野（中央・高幡・日野・多摩平・平山・百草）、府中（中央）、福生（中央）、三鷹、武蔵野（吉祥寺、プレイス）、檜原村（本館）、大島、神津、新島、八丈、都立中央、都立多摩無料の有線LAN千代田（千代田・日比谷図書文化）、豊島（中央）、昭島（市民）、府中（中央）
利用者持参端末用のインターネット回線がある図書館　無料の有線LAN,千代田（千代田・日比谷図書文化）、豊島（中央）、昭島（市民）、府中（中央）
パソコン利用が可能な座席を設けている図書館（インターネットの接続有無は問わない）,足立、荒川（ゆいの森あらかわ・南千住・尾久・町屋・日暮里）、板橋（中央・赤塚・氷川・高島平・東板橋・小茂根・西台・志村・成増）、江戸川（中央・小岩・篠崎・東部）、大田、葛飾(中央・立石・お花茶屋・上小松・亀有・水元・鎌倉)、北、江東（江東・深川・東陽・豊洲・東雲・古石場・城東・亀戸・砂町・東大島）、品川、新宿（中央、四谷、西落合、角筈、下落合）、杉並、墨田、世田谷、台東（中央）、中央、千代田（千代田・日比谷図書文化）、豊島（中央・駒込・巣鴨・上池袋・池袋・千早）、中野、練馬、文京、港、目黒、昭島（市民）、あきる野（中央・東部・五日市）、稲城、青梅（中央）、清瀬、国立、小平（中央・仲町・花小金井）、狛江（中央・西河原）、立川、多摩、調布、西東京、八王子（中央・生涯学習）、羽村（本館）、東久留米、東村山（中央・萩山・秋津・廻田）、東大和（中央）、日野（中央・高幡・日野・多摩平・平山・百草）、府中（中央・生涯学習センター）、福生、町田（中央・さるびあ・鶴川駅前・忠生）、三鷹、武蔵野、日の出（本館）、檜原（本館）、瑞穂（瑞穂・長岡）、神津、八丈、都立中央、都立多摩
持参パソコン用電源席を設けている図書館,足立（中央・伊興・興本・江南・江北・佐野・東和・舎人・保塚）、荒川（ゆいの森あらかわ・南千住・尾久・町屋・日暮里）、板橋（中央・赤塚・氷川・高島平・東板橋・小茂根・西台・志村・成増）、江戸川（中央・小岩・東部・篠崎）、大田、葛飾（中央・立石・お花茶屋・上小松）、北（中央・滝野川・赤羽・浮間・赤羽西・昭和町・田端・上十条・赤羽北・神谷・滝野川西・豊島・東十条）、江東（江東・深川・東陽・豊洲・東雲・古石場・城東・亀戸・砂町・東大島）、品川（品川・二葉・五反田・荏原・大崎・八潮・大崎分館）、新宿（中央・四谷・角筈・西落合・下落合）、杉並（中央・永福・柿木・西荻・高井戸・今川）、墨田、世田谷（中央・世田谷・代田・砧・烏山・上北沢・粕谷・鎌田・経堂）、台東（中央）、中央、千代田（千代田・日比谷図書文化）、豊島（中央・巣鴨・上池袋・池袋・千早・駒込）、中野、練馬（光が丘・練馬・石神井・平和台・大泉・関町・貫井・小竹・南大泉・春日町・南田中）、文京（真砂中央・本郷・小石川・本駒込・水道端・目白台・湯島）、港、目黒（八雲中央・大橋・守屋・緑が丘）、昭島（市民）、あきる野（中央・東部）、稲城（中央・iプラザ）、青梅（中央）、清瀬（中央）、小平（中央・仲町）、立川（中央）、多摩（本館）、調布（中央）、西東京、八王子（中央・生涯学習）、羽村（本館）、東久留米（中央・ひばりが丘）、東大和（中央）、日野（中央・高幡・日野・多摩平・平山・百草）、府中（中央）、福生、町田（中央・さるびあ・鶴川駅前・忠生）、三鷹（南部）、武蔵野（中央）、奥多摩（古里・氷川）、檜原（本館）、瑞穂（瑞穂・長岡）、神津、都立中央、都立多摩
WordやExcel等を使えるパソコンのある図書館,荒川、北（中央）
有料オンラインデータベースのプリントアウトサービスが利用できる図書館（*）＝制限あり,足立（中央）、板橋、江戸川（中央）、葛飾（中央・立石）*、北（中央）、江東、品川（品川・大崎）*、渋谷（中央）、新宿*、杉並（中央）、墨田、世田谷（中央）*、台東（中央）、中央、千代田（千代田・日比谷図書文化）*、豊島（中央）*、中野（中央）、練馬（光が丘・関町*）、文京*、目黒（八雲中央）、昭島（市民）、あきる野（中央）、稲城（中央）、青梅（中央）、小金井（本館）、国分寺（駅前分館）、小平（中央・仲町）*、立川（中央）、多摩*、調布（中央）*、八王子（中央・生涯学習）、羽村（本館）、東久留米（中央）、東村山*、東大和、日野、府中（中央）*、福生（中央）、町田（中央）、三鷹（三鷹・南部）*、武蔵野*、都立中央、都立多摩
聞蔵IIテキスト,板橋（赤塚・高島平・成増）、葛飾（上小松・水元）、町田（中央）
