区市町村名,学校名,注）,募集人員(男女問わず）,応募人員／男,応募人員／女,応募人員／計,合格人員／男,合格人員／女,合格人員／計
新宿,新宿,,32,89,153,242,8,24,32
台東,忍岡,,32,10,64,74,0,32,32
墨田,墨田川,※,64,96,134,230,15,49,64
大田,美原,※,48,63,89,152,9,39,48
世田谷,芦花,,56,40,148,188,8,48,56
北,飛鳥,※,43,23,164,187,0,43,43
板橋,板橋有徳,※,48,33,101,134,11,37,48
練馬,大泉桜,※,48,35,188,223,5,43,48
八王子,翔陽,,48,23,71,94,6,42,48
国分寺,国分寺,,64,60,130,190,13,51,64
武蔵村山,上水,※,48,52,107,159,15,33,48
単位制計,,,531,524,1349,1873,90,441,531
注）※印の学校は文化・スポーツ等特別推薦の実施校であり、募集人員及び応募人員については、一般推薦と特別推薦の合計数である。合格人員については、一般推薦と文化・スポーツ等特別推薦の重複はない。,,,,,,,,,
